Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins
Dean Henderson,Goalkeepers,3240,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",38.3,14.7,43.3,27.8,0.28,0.14,14.11,0.56,3.9,1.14,0.31,0.0,6.69,1.44,47.6,54.4,0.33,0.08,-0.02,0.33,24.3,22.86,14.53,3.53,0.0,0.03,0.0,0.03,1.34,65.3,100.0,2.78,4.17,2.97,0.36
Dean Henderson,Goalkeepers,4140,2018-2019 Championship,45.2,10.1,65.1,45.7,0.46,0.2,14.24,0.76,5.3,0.3,0.24,0.04,7.91,0.89,59.8,90.9,0.2,0.02,0.0,0.27,28.0,18.59,18.3,5.13,0.0,0.02,0.02,0.0,0.87,72.8,,2.41,3.28,3.54,0.57
Ederson,Goalkeepers,360,2021 Copa América,33.7,8.6,38.1,75.0,0.75,0.0,8.5,0.75,8.8,0.25,0.0,0.0,5.75,0.25,28.4,47.8,0.25,0.0,0.25,0.18,40.0,16.75,7.5,3.0,0.0,0.0,0.0,0.0,0.5,90.9,,2.5,2.75,3.5,0.75
Ederson,Goalkeepers,360,2024-2025 Champions League,26.9,17.6,31.3,25.0,0.25,0.0,5.5,0.25,4.5,2.0,0.5,0.0,4.0,2.25,17.9,18.8,0.5,0.0,-0.55,0.3,54.5,26.5,5.5,3.0,0.5,0.5,0.0,0.0,1.7,63.2,0.0,2.5,4.75,4.0,0.0
Ederson,Goalkeepers,660,2023-2024 Champions League,24.7,14.4,21.5,14.3,0.14,0.0,6.14,0.57,9.3,0.86,0.14,0.0,3.29,0.86,11.9,8.7,0.0,0.0,-0.07,0.45,69.0,32.29,4.14,2.86,0.0,0.0,0.0,0.0,0.79,53.8,,1.0,1.86,4.14,0.86
Ederson,Goalkeepers,675,2019-2020 Champions League,32.6,21.4,45.0,28.6,0.27,0.0,6.0,0.53,8.9,2.67,0.27,0.0,3.87,0.93,29.3,48.3,0.13,0.0,0.08,0.29,45.0,30.0,10.67,4.8,0.13,0.13,0.0,0.0,1.01,73.9,0.0,2.13,3.07,4.0,0.67
Ederson,Goalkeepers,810,2017-2018 Champions League,26.7,16.0,40.5,44.4,0.44,0.0,7.44,0.56,7.5,1.44,0.0,0.0,5.11,1.11,18.3,34.8,0.33,0.0,0.32,0.3,45.3,29.22,7.11,3.22,0.22,0.33,0.0,0.11,1.43,75.8,33.3,2.44,3.67,4.78,0.67
Ederson,Goalkeepers,900,2018-2019 Champions League,25.9,18.4,41.2,30.0,0.3,0.1,6.9,0.6,8.7,1.8,0.1,0.0,4.8,1.2,14.3,37.5,0.2,0.0,-0.19,0.24,50.0,23.7,5.2,2.6,0.3,0.3,0.0,0.0,1.01,72.7,0.0,2.1,3.3,3.7,0.7
Ederson,Goalkeepers,990,2022-2023 Champions League,29.6,16.2,43.4,63.6,0.64,0.18,8.0,0.36,4.5,0.82,0.36,0.0,4.18,0.36,24.3,50.0,0.0,0.0,0.23,0.19,46.9,27.27,8.73,4.09,0.09,0.09,0.0,0.0,0.59,90.3,0.0,2.45,2.82,4.09,0.64
Ederson,Goalkeepers,1002,2021-2022 Champions League,28.9,20.2,36.0,30.0,0.28,0.0,7.13,0.09,1.3,1.3,0.19,0.0,4.72,1.3,21.3,33.3,0.19,0.09,-0.32,0.28,44.0,25.19,6.94,3.06,0.19,0.19,0.0,0.0,0.9,53.8,0.0,1.39,2.59,3.43,0.65
Ederson,Goalkeepers,1080,2020-2021 Champions League,28.1,19.3,34.0,58.3,0.58,0.08,6.33,0.33,5.3,1.58,0.08,0.0,3.83,0.42,20.2,28.3,0.08,0.0,0.12,0.29,43.7,23.92,5.92,2.58,0.0,0.0,0.0,0.0,0.53,77.3,,1.42,1.83,4.42,0.83
Ederson,Goalkeepers,1170,2024-2025 Premier League,28.4,17.6,31.4,15.4,0.15,0.08,7.92,0.31,3.9,1.77,0.15,0.0,2.92,1.46,20.5,23.7,0.31,0.08,0.09,0.39,47.9,32.69,7.38,3.54,0.15,0.15,0.0,0.0,1.48,63.0,0.0,2.15,3.54,3.23,0.54
Ederson,Goalkeepers,2785,2023-2024 Premier League,27.2,17.3,36.3,34.5,0.32,0.06,7.98,0.81,10.1,1.62,0.19,0.0,3.68,0.87,18.2,36.0,0.1,0.03,0.0,0.3,46.3,35.39,7.95,3.68,0.1,0.06,0.0,0.0,0.88,69.6,0.0,1.81,2.65,4.43,0.78
Ederson,Goalkeepers,2988,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",26.5,17.9,31.7,25.8,0.24,0.03,7.55,0.49,6.5,2.1,0.21,0.0,3.47,1.16,17.1,25.4,0.18,0.03,0.03,0.36,48.8,31.86,6.48,3.16,0.15,0.12,0.0,0.0,1.19,66.7,0.0,1.98,3.1,4.08,0.64
Ederson,Goalkeepers,3071,2019-2020 Premier League,26.0,19.3,30.0,47.1,0.47,0.12,7.62,0.41,5.4,1.85,0.09,0.03,4.07,0.82,15.4,27.3,0.23,0.03,0.08,0.29,40.4,27.52,5.36,2.17,0.09,0.09,0.0,0.0,0.87,73.7,0.0,1.99,2.78,5.22,0.7
Ederson,Goalkeepers,3150,2022-2023 Premier League,28.0,15.7,32.3,31.4,0.31,0.11,8.17,0.54,6.6,0.94,0.11,0.03,4.34,0.91,19.6,30.9,0.14,0.03,-0.14,0.3,44.5,31.54,7.51,3.34,0.09,0.09,0.0,0.0,0.75,62.3,0.0,1.31,2.2,4.2,0.74
Ederson,Goalkeepers,3194,2017-2018 Premier League,26.2,18.8,46.1,45.7,0.45,0.03,7.47,0.54,7.2,2.45,0.11,0.03,4.51,0.73,15.5,53.1,0.06,0.06,-0.03,0.28,47.8,26.35,6.48,3.1,0.0,0.06,0.0,0.06,0.67,66.2,100.0,1.52,2.25,4.71,0.85
Ederson,Goalkeepers,3240,2020-2021 Premier League,28.4,16.6,39.3,52.8,0.53,0.06,8.58,0.53,6.1,1.22,0.14,0.0,4.25,0.78,20.6,43.8,0.17,0.03,0.04,0.23,40.6,26.86,7.39,3.0,0.19,0.22,0.0,0.03,0.79,77.4,12.5,1.81,2.58,4.47,0.69
Ederson,Goalkeepers,3330,2021-2022 Premier League,25.7,19.0,26.8,54.1,0.54,0.03,8.11,0.57,7.0,1.49,0.16,0.0,3.73,0.7,15.7,19.6,0.08,0.0,-0.01,0.3,47.8,26.7,4.92,2.35,0.03,0.03,0.0,0.0,0.69,69.9,0.0,1.54,2.24,4.46,0.76
Ederson,Goalkeepers,3420,2018-2019 Premier League,26.8,16.9,42.9,52.6,0.53,0.13,7.42,0.5,6.7,1.08,0.05,0.03,4.97,0.61,17.1,43.4,0.11,0.0,0.01,0.25,41.0,24.18,6.29,2.58,0.11,0.11,0.0,0.0,0.61,76.5,0.0,1.53,2.13,4.95,0.84
Emiliano Martínez,Goalkeepers,450,2017-2018 La Liga,52.5,9.9,65.7,40.0,0.4,0.4,14.0,0.8,5.7,0.6,0.2,0.0,9.6,1.4,78.6,97.9,0.4,0.0,-0.12,0.29,38.3,20.6,25.6,9.8,0.2,0.2,0.0,0.0,1.28,68.4,0.0,2.4,3.8,2.2,0.4
Emiliano Martínez,Goalkeepers,480,Last 365 Days Men's Next 14 Competitions,28.6,14.7,45.4,40.0,0.4,0.4,9.8,1.4,14.3,1.2,0.2,0.0,5.0,1.0,22.7,56.0,0.4,0.0,0.4,0.41,43.5,42.2,12.4,5.4,0.0,0.0,0.0,0.0,1.4,70.6,,2.4,3.4,4.0,0.4
Emiliano Martínez,Goalkeepers,540,2019-2020 Europa League,35.1,12.6,36.0,33.3,0.33,0.17,15.17,0.83,5.5,0.5,0.33,0.0,10.0,1.17,34.2,36.7,0.17,0.0,-0.27,0.21,29.5,19.0,10.17,3.0,0.0,0.0,0.0,0.0,0.9,73.1,,3.17,4.33,5.0,0.5
Emiliano Martínez,Goalkeepers,540,2024-2025 Champions League,31.3,9.2,49.7,66.7,0.67,0.0,10.67,1.83,17.2,0.33,0.17,0.0,3.5,0.5,25.6,61.9,0.17,0.0,0.6,0.19,44.6,33.83,10.83,4.83,0.17,0.17,0.0,0.0,1.1,93.5,0.0,4.67,5.17,3.33,0.67
Emiliano Martínez,Goalkeepers,570,2021 Copa América,37.1,11.3,52.8,66.7,0.67,0.0,11.17,1.83,16.4,0.33,0.33,0.0,6.0,0.33,42.5,72.2,0.0,0.0,0.12,0.15,38.8,21.17,13.33,5.17,0.0,0.17,0.0,0.17,0.45,85.7,100.0,1.83,2.33,4.33,0.67
Emiliano Martínez,Goalkeepers,570,2024 Copa América,30.7,10.3,41.9,83.3,0.83,0.0,9.33,2.0,21.4,0.0,0.17,0.0,5.83,0.17,23.7,42.9,0.0,0.0,0.32,0.21,39.0,31.0,9.83,3.83,0.0,0.17,0.17,0.0,0.48,92.9,,2.17,2.33,5.0,0.83
Emiliano Martínez,Goalkeepers,690,2022 World Cup,34.3,12.8,45.9,42.9,0.43,0.0,12.57,1.71,13.6,0.71,0.29,0.0,5.57,1.14,38.8,53.8,0.14,0.14,-0.23,0.27,19.2,21.0,11.14,2.14,0.29,0.29,0.0,0.0,0.77,53.8,0.0,0.86,1.86,4.86,0.57
Emiliano Martínez,Goalkeepers,771,2019-2020 Premier League,31.4,13.2,40.2,37.5,0.35,0.35,16.11,0.93,5.8,0.47,0.12,0.0,7.12,1.05,29.3,49.2,0.23,0.0,0.33,0.26,28.6,27.08,11.44,3.27,0.12,0.12,0.0,0.0,1.38,81.0,0.0,3.85,4.9,5.6,0.58
Emiliano Martínez,Goalkeepers,840,2023-2024 Europa Conference League,27.3,18.4,38.9,33.3,0.33,0.22,8.0,1.0,12.5,1.89,0.11,0.0,4.89,1.11,19.7,43.2,0.33,0.0,0.11,0.38,47.3,40.56,10.11,4.78,0.0,0.0,0.0,0.0,1.22,65.5,,2.11,3.22,4.33,0.56
Emiliano Martínez,Goalkeepers,1620,2018-2019 Championship,38.4,11.2,52.0,27.8,0.28,0.06,19.0,1.33,7.0,0.39,0.5,0.0,10.06,1.28,45.0,69.6,0.22,0.0,0.18,0.27,34.3,28.39,19.78,6.78,0.06,0.06,0.0,0.0,1.46,77.1,0.0,4.06,5.33,5.11,0.28
Emiliano Martínez,Goalkeepers,1845,2024-2025 Premier League,29.4,13.1,43.5,15.0,0.15,0.05,13.37,1.56,11.7,0.93,0.24,0.05,4.24,1.51,22.3,54.0,0.29,0.0,-0.1,0.33,44.0,33.32,10.1,4.44,0.05,0.1,0.0,0.05,1.38,63.4,50.0,2.44,4.0,3.51,0.49
