Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins
Guglielmo Vicario,Goalkeepers,1080,2024-2025 Premier League,20.8,14.1,20.1,25.0,0.25,0.17,12.17,1.58,13.0,1.67,0.08,0.0,3.08,1.08,6.6,8.1,0.42,0.0,0.24,0.39,32.3,35.25,2.58,0.83,0.0,0.0,0.0,0.0,1.33,68.3,,2.33,3.42,5.75,0.5
Guglielmo Vicario,Goalkeepers,2783,2022-2023 Serie A,33.8,11.5,42.9,23.3,0.23,0.26,19.6,1.1,5.6,0.71,0.39,0.0,5.5,1.26,33.5,50.0,0.32,0.03,0.04,0.27,30.3,35.77,14.71,4.46,0.13,0.19,0.03,0.03,1.32,73.9,20.0,3.07,4.33,4.88,0.29
Guglielmo Vicario,Goalkeepers,2790,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",21.6,15.4,19.8,19.4,0.19,0.26,12.58,1.16,9.2,1.84,0.1,0.03,3.58,1.42,8.4,8.1,0.39,0.03,0.01,0.34,27.7,35.35,3.26,0.9,0.06,0.1,0.03,0.0,1.4,66.4,0.0,2.65,4.03,5.03,0.52
Guglielmo Vicario,Goalkeepers,2880,2018-2019 Serie B,38.6,13.2,55.1,12.5,0.13,0.06,18.38,0.34,1.9,0.59,0.44,0.0,10.03,1.25,48.7,86.3,0.34,0.0,0.14,0.25,34.4,23.88,20.28,6.97,0.19,0.25,0.0,0.06,1.39,77.5,25.0,3.41,4.72,6.09,0.22
Guglielmo Vicario,Goalkeepers,3150,2019-2020 Serie B,32.7,13.3,39.0,25.7,0.26,0.06,15.51,0.46,2.9,0.51,0.23,0.0,8.63,1.29,32.1,46.7,0.43,0.0,0.21,0.29,34.8,24.83,12.0,4.17,0.2,0.23,0.0,0.03,1.5,76.7,12.5,3.34,4.66,5.43,0.34
Guglielmo Vicario,Goalkeepers,3420,2021-2022 Serie A,29.5,13.9,37.5,18.4,0.18,0.13,15.84,0.92,5.8,1.0,0.29,0.03,6.76,1.84,26.2,41.6,0.45,0.16,0.03,0.28,34.5,28.05,10.16,3.5,0.13,0.26,0.08,0.05,1.72,69.9,28.6,3.95,5.68,5.66,0.26
Guglielmo Vicario,Goalkeepers,3420,2023-2024 Premier League,24.0,17.1,22.2,18.4,0.18,0.21,13.45,0.87,6.5,2.13,0.16,0.03,5.29,1.61,14.3,14.9,0.32,0.08,0.05,0.32,23.6,35.87,5.92,1.39,0.18,0.18,0.0,0.0,1.58,67.7,0.0,2.87,4.39,5.08,0.53
Jakub Stolarczyk,Goalkeepers,450,2024-2025 Premier League,31.2,11.0,43.5,0.0,0.0,0.2,17.6,1.2,6.8,0.8,0.0,0.0,5.8,2.2,42.8,62.1,1.0,0.0,-0.36,0.4,42.2,30.4,16.6,7.0,0.0,0.0,0.0,0.0,1.84,52.2,,2.4,4.6,3.8,0.0
Jakub Stolarczyk,Goalkeepers,450,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",31.2,11.0,43.5,0.0,0.0,0.2,17.6,1.2,6.8,0.8,0.0,0.0,5.8,2.2,42.8,62.1,1.0,0.0,-0.36,0.4,42.2,30.4,16.6,7.0,0.0,0.0,0.0,0.0,1.84,52.2,,2.4,4.6,3.8,0.0
Joe Lumley,Goalkeepers,2430,2019-2020 Championship,34.5,14.3,46.2,11.1,0.11,0.3,15.37,0.48,3.1,1.07,0.22,0.07,8.52,1.74,36.3,57.4,0.41,0.0,-0.27,0.31,36.1,30.11,15.81,5.7,0.19,0.19,0.0,0.0,1.47,63.2,0.0,2.48,4.22,6.0,0.37
Joe Lumley,Goalkeepers,3060,2021-2022 Championship,40.2,16.6,51.5,38.2,0.38,0.06,11.18,0.94,8.4,1.85,0.18,0.0,7.35,1.0,52.4,68.4,0.35,0.09,-0.11,0.29,30.4,26.41,18.88,5.74,0.0,0.0,0.0,0.0,0.8,64.2,,1.88,2.79,3.79,0.47
Joe Lumley,Goalkeepers,3631,2022-2023 Championship,50.8,13.8,65.1,17.5,0.17,0.2,17.0,1.26,7.4,1.14,0.27,0.0,7.93,1.41,74.5,94.7,0.47,0.0,-0.26,0.29,44.5,22.9,24.56,10.93,0.1,0.07,0.0,0.0,1.16,65.6,0.0,2.4,3.82,2.26,0.27
Joe Lumley,Goalkeepers,3780,2018-2019 Championship,43.8,13.4,56.9,33.3,0.33,0.1,16.05,0.71,4.5,1.0,0.21,0.02,9.17,1.38,62.5,81.3,0.45,0.0,-0.05,0.3,36.5,24.5,22.76,8.31,0.17,0.19,0.02,0.0,1.33,70.0,0.0,2.67,4.05,3.64,0.33
John Ruddy,Goalkeepers,1530,Last 365 Days Men's Next 14 Competitions,38.9,12.0,47.6,29.4,0.29,0.24,16.41,2.12,12.9,0.65,0.18,0.0,8.88,1.12,44.0,62.9,0.47,0.0,0.18,0.27,31.8,25.12,16.65,5.29,0.0,0.0,0.0,0.0,1.29,76.3,,3.59,4.71,6.0,0.35
John Ruddy,Goalkeepers,3817,2022-2023 Championship,47.5,16.9,61.0,31.0,0.31,0.14,15.47,1.58,10.2,2.12,0.26,0.02,8.42,1.25,69.2,89.9,0.42,0.0,0.05,0.34,39.0,24.57,24.57,9.57,0.05,0.09,0.0,0.05,1.3,67.3,50.0,2.41,3.7,3.68,0.33
John Ruddy,Goalkeepers,3960,2023-2024 Championship,38.2,13.8,49.9,25.0,0.25,0.18,15.48,1.8,11.6,1.05,0.25,0.02,8.43,1.41,46.6,68.7,0.45,0.05,-0.07,0.28,35.9,28.43,19.05,6.84,0.0,0.0,0.0,0.0,1.3,70.5,,3.41,4.77,5.89,0.3
Jordan Pickford,Goalkeepers,270,2017-2018 Europa League,47.9,17.9,60.2,0.0,0.0,0.0,11.67,0.67,5.7,2.67,0.33,0.0,9.33,2.33,62.5,82.1,0.67,0.0,-0.43,0.27,29.4,24.0,22.67,6.67,0.33,0.33,0.0,0.0,1.9,66.7,0.0,3.67,6.0,3.67,0.0
Jordan Pickford,Goalkeepers,450,2022 World Cup,29.2,16.2,45.9,60.0,0.6,0.2,7.8,0.4,5.1,1.0,0.2,0.0,7.2,0.8,27.6,47.2,0.2,0.0,-0.3,0.24,39.2,24.6,10.2,4.0,0.2,0.2,0.0,0.0,0.5,72.7,0.0,1.4,2.2,2.8,0.6
Jordan Pickford,Goalkeepers,690,2018 World Cup,38.2,20.2,49.1,14.3,0.14,0.14,11.57,0.43,3.7,1.71,0.14,0.0,7.86,1.14,47.2,54.5,0.43,0.0,-0.04,0.29,43.5,28.43,17.71,7.71,0.14,0.14,0.0,0.0,1.1,70.8,0.0,2.29,3.43,4.86,0.43
Jordan Pickford,Goalkeepers,690,2021 UEFA Euro 2020,37.0,11.9,48.2,71.4,0.71,0.14,10.14,0.14,1.4,0.57,0.29,0.14,6.71,0.29,43.8,61.7,0.0,0.0,0.2,0.22,38.0,30.0,17.29,6.57,0.0,0.0,0.0,0.0,0.49,88.9,,2.29,2.57,6.0,0.71
Jordan Pickford,Goalkeepers,690,2024 UEFA Euro 2024,32.1,14.3,53.5,28.6,0.29,0.0,11.86,0.43,3.6,0.57,0.43,0.0,7.29,0.86,33.2,68.6,0.14,0.0,-0.03,0.25,38.3,36.57,17.14,6.57,0.0,0.0,0.0,0.0,0.83,73.9,,2.43,3.29,5.43,0.43
Jordan Pickford,Goalkeepers,1800,2024-2025 Premier League,41.6,16.7,46.1,35.0,0.35,0.2,14.3,0.75,5.2,2.2,0.4,0.0,7.1,1.3,53.4,57.0,0.45,0.0,0.06,0.3,37.3,34.35,22.4,8.35,0.0,0.1,0.0,0.1,1.36,70.5,100.0,3.0,4.4,4.6,0.15
Jordan Pickford,Goalkeepers,2742,2020-2021 Premier League,37.8,13.3,52.4,33.3,0.33,0.16,15.36,0.66,4.3,1.02,0.16,0.03,6.5,1.28,47.4,70.2,0.36,0.03,0.03,0.28,39.0,31.21,19.37,7.55,0.07,0.1,0.03,0.0,1.24,71.1,0.0,2.95,4.2,4.96,0.49
Jordan Pickford,Goalkeepers,3150,2021-2022 Premier League,46.4,14.9,60.5,20.0,0.2,0.29,14.8,0.66,4.4,1.0,0.17,0.06,7.63,1.66,64.6,81.6,0.54,0.11,-0.07,0.31,34.8,24.94,22.34,7.77,0.03,0.03,0.0,0.0,1.48,66.5,0.0,3.31,4.86,3.4,0.29
Jordan Pickford,Goalkeepers,3330,2022-2023 Premier League,43.0,16.2,52.7,21.6,0.22,0.11,15.3,0.59,3.9,1.41,0.32,0.05,8.51,1.54,58.1,71.4,0.49,0.0,0.08,0.31,33.7,26.81,21.65,7.3,0.14,0.16,0.0,0.03,1.62,71.3,16.7,3.32,4.89,4.08,0.19
Jordan Pickford,Goalkeepers,3330,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",41.4,16.0,46.9,35.1,0.35,0.19,15.62,0.89,5.7,1.89,0.38,0.0,7.14,1.32,54.3,58.0,0.41,0.03,0.15,0.29,37.5,36.03,23.7,8.89,0.08,0.14,0.0,0.05,1.44,72.9,40.0,3.24,4.59,4.32,0.22
Jordan Pickford,Goalkeepers,3420,2017-2018 Premier League,47.8,14.9,67.2,26.3,0.26,0.16,15.55,0.71,4.6,1.34,0.26,0.0,8.95,1.53,64.0,92.6,0.39,0.0,-0.05,0.3,34.1,25.89,24.87,8.47,0.08,0.13,0.03,0.03,1.48,69.1,25.0,3.13,4.68,4.26,0.34
Jordan Pickford,Goalkeepers,3420,2018-2019 Premier League,42.3,17.3,53.7,36.8,0.37,0.24,11.34,0.37,3.2,1.05,0.24,0.05,7.66,1.21,54.0,67.0,0.37,0.05,0.03,0.3,34.9,25.76,19.05,6.66,0.05,0.13,0.0,0.08,1.19,67.6,60.0,2.34,3.58,4.0,0.39
Jordan Pickford,Goalkeepers,3420,2019-2020 Premier League,40.1,13.4,48.5,23.7,0.24,0.13,13.42,0.63,4.7,0.66,0.26,0.08,6.95,1.47,50.8,62.1,0.39,0.08,-0.07,0.32,37.0,29.34,19.21,7.11,0.08,0.11,0.03,0.0,1.32,63.9,0.0,2.47,3.87,5.13,0.34
Jordan Pickford,Goalkeepers,3420,2023-2024 Premier League,41.6,15.9,48.3,34.2,0.34,0.24,15.0,0.79,5.3,1.42,0.24,0.0,7.18,1.34,56.7,60.8,0.42,0.08,0.12,0.28,40.0,34.13,23.71,9.47,0.21,0.21,0.0,0.0,1.38,73.9,0.0,3.08,4.34,3.71,0.34
José Sá,Goalkeepers,300,2019-2020 Europa League,38.3,11.2,55.4,0.0,0.0,0.0,21.33,1.0,4.7,0.67,0.33,0.33,12.0,1.0,44.3,77.8,0.33,0.0,0.23,0.34,17.3,35.33,25.0,4.33,0.0,0.0,0.0,0.0,1.23,72.7,,2.67,3.67,4.33,0.33
José Sá,Goalkeepers,360,2020-2021 Europa League,36.9,21.8,51.5,25.0,0.25,0.75,14.5,0.0,0.0,2.5,0.0,0.25,8.25,1.75,45.9,72.7,0.5,0.0,-0.68,0.21,30.6,33.25,21.25,6.5,0.0,0.0,0.0,0.0,1.08,66.7,,3.5,5.25,6.5,0.5
José Sá,Goalkeepers,450,2017-2018 Champions League,30.8,16.7,53.2,0.0,0.0,0.2,11.4,0.2,1.8,0.6,0.2,0.0,7.4,2.4,32.2,73.0,0.4,0.0,-0.4,0.4,33.3,24.2,13.2,4.4,0.2,0.2,0.0,0.0,2.0,54.2,0.0,2.4,4.8,3.6,0.4
José Sá,Goalkeepers,540,2019-2020 Champions League,38.5,9.8,55.0,16.7,0.17,0.5,16.17,1.17,7.2,0.17,0.17,0.0,7.5,2.33,46.7,73.3,0.67,0.0,-0.28,0.33,22.7,27.5,18.33,4.17,0.17,0.33,0.17,0.0,2.05,62.9,0.0,3.5,5.83,6.33,0.17
José Sá,Goalkeepers,540,2020-2021 Champions League,32.2,9.4,42.1,16.7,0.17,0.0,11.33,1.0,8.8,0.0,0.0,0.0,8.17,1.67,32.9,55.1,0.83,0.0,0.18,0.24,35.0,26.83,13.33,4.67,0.5,0.5,0.0,0.0,1.85,79.4,0.0,4.0,5.67,6.5,0.17
José Sá,Goalkeepers,630,2018-2019 Europa League,36.4,17.0,52.9,14.3,0.14,0.14,15.29,0.57,3.7,1.43,0.14,0.0,7.43,1.29,39.4,69.2,0.43,0.0,-0.03,0.22,33.7,18.14,12.29,4.14,0.0,0.14,0.0,0.14,1.26,74.3,100.0,3.57,5.0,4.29,0.43
José Sá,Goalkeepers,1260,2024-2025 Premier League,36.7,16.9,46.1,21.4,0.21,0.29,16.21,1.07,6.6,1.86,0.21,0.07,5.79,2.21,42.8,63.0,0.5,0.14,-0.4,0.31,24.1,28.21,15.71,3.79,0.21,0.29,0.0,0.07,1.67,58.2,25.0,2.64,4.79,4.07,0.29
José Sá,Goalkeepers,2745,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",34.0,15.7,43.6,16.7,0.16,0.36,15.61,0.82,5.3,1.38,0.2,0.03,6.85,2.0,37.6,59.8,0.52,0.07,0.01,0.31,21.9,26.49,14.07,3.08,0.2,0.23,0.0,0.03,1.93,68.8,14.3,3.8,5.77,4.79,0.3
José Sá,Goalkeepers,3037,2023-2024 Premier League,33.0,12.6,42.6,12.1,0.12,0.21,15.47,1.33,8.6,0.83,0.21,0.03,7.5,1.72,33.3,56.9,0.47,0.03,0.3,0.31,20.5,24.92,12.57,2.58,0.24,0.24,0.0,0.0,1.95,73.4,0.0,3.88,5.57,5.63,0.36
José Sá,Goalkeepers,3240,2022-2023 Premier League,30.9,12.6,46.2,30.6,0.31,0.17,15.0,1.19,8.0,0.78,0.19,0.0,7.22,1.53,29.3,61.9,0.5,0.03,-0.16,0.28,27.6,25.97,12.08,3.33,0.06,0.11,0.0,0.06,1.34,67.1,50.0,2.92,4.47,5.06,0.31
José Sá,Goalkeepers,3285,2021-2022 Premier League,34.7,13.3,36.9,30.6,0.3,0.03,15.04,1.18,7.8,1.1,0.14,0.03,7.15,1.1,35.4,43.3,0.47,0.03,0.21,0.24,29.4,23.12,11.29,3.32,0.25,0.27,0.03,0.0,1.27,80.6,0.0,3.32,4.38,5.92,0.41
João Virgínia,Goalkeepers,1530,vs. Goalkeepers,37.3,13.3,48.8,23.5,0.24,0.18,16.71,0.82,4.9,0.88,0.18,0.0,9.88,1.65,40.8,58.9,0.71,0.06,0.19,0.27,38.1,29.29,17.76,6.76,0.18,0.18,0.0,0.0,1.78,75.7,0.0,4.47,6.06,5.65,0.12
Kepa Arrizabalaga,Goalkeepers,360,2023-2024 Champions League,27.1,12.1,25.2,25.0,0.25,0.25,14.5,1.0,6.9,0.5,0.0,0.0,4.75,1.25,14.6,15.8,0.0,0.0,-0.18,0.22,38.1,30.75,5.25,2.0,0.25,0.25,0.0,0.0,1.08,73.3,0.0,2.5,3.75,6.5,1.0
Kepa Arrizabalaga,Goalkeepers,540,2019-2020 Champions League,31.5,17.2,43.8,16.7,0.17,0.17,10.17,0.67,6.6,1.5,0.33,0.0,7.5,1.5,29.0,51.1,0.17,0.33,0.05,0.32,52.5,21.83,10.17,5.33,0.0,0.17,0.0,0.17,1.22,55.0,100.0,2.0,3.33,4.17,0.5
Kepa Arrizabalaga,Goalkeepers,585,2020-2021 Premier League,27.3,9.6,31.1,33.3,0.31,0.0,10.46,0.46,4.4,0.15,0.31,0.0,7.08,1.23,18.5,34.8,0.31,0.0,0.0,0.31,39.6,30.77,8.15,3.23,0.15,0.15,0.0,0.0,1.23,69.6,0.0,2.31,3.54,6.31,0.31
Kepa Arrizabalaga,Goalkeepers,810,2022-2023 Champions League,30.0,17.3,44.2,33.3,0.33,0.11,9.78,0.67,6.8,1.11,0.11,0.0,5.11,0.89,25.7,56.5,0.44,0.0,0.18,0.3,29.8,25.11,9.33,2.78,0.0,0.0,0.0,0.0,1.07,77.1,,3.0,3.89,5.56,0.44
Kepa Arrizabalaga,Goalkeepers,1198,2023-2024 La Liga,27.0,14.7,30.6,61.5,0.6,0.0,11.79,0.45,3.8,0.75,0.15,0.0,5.26,0.68,19.2,25.7,0.08,0.08,0.15,0.28,37.0,29.0,6.91,2.55,0.0,0.0,0.0,0.0,0.75,76.3,,2.25,2.85,4.28,0.75
Kepa Arrizabalaga,Goalkeepers,1200,2018-2019 Europa League,27.4,12.9,41.1,53.8,0.54,0.08,10.92,0.15,1.4,0.46,0.15,0.0,6.15,0.62,16.8,46.3,0.0,0.0,-0.04,0.3,50.5,27.46,7.46,3.77,0.0,0.0,0.0,0.0,0.58,68.0,,1.31,1.92,3.31,0.85
Kepa Arrizabalaga,Goalkeepers,1260,2024-2025 Premier League,33.3,15.9,42.4,28.6,0.29,0.07,11.86,0.64,5.4,1.71,0.21,0.0,6.86,1.29,33.2,55.2,0.29,0.0,0.16,0.29,44.3,24.5,11.93,5.29,0.07,0.07,0.0,0.0,1.44,75.0,0.0,3.57,4.86,3.71,0.5
Kepa Arrizabalaga,Goalkeepers,1468,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",32.1,15.9,41.4,37.5,0.37,0.06,11.71,0.8,6.8,1.66,0.18,0.0,6.87,1.23,32.0,51.8,0.25,0.0,0.13,0.29,44.7,25.32,11.65,5.21,0.06,0.06,0.0,0.0,1.35,74.3,0.0,3.31,4.54,3.8,0.55
Kepa Arrizabalaga,Goalkeepers,2565,2022-2023 Premier League,26.3,16.9,31.5,32.1,0.32,0.14,11.65,0.53,4.5,1.82,0.32,0.04,6.39,1.16,17.1,35.7,0.42,0.11,0.18,0.29,31.9,30.32,7.47,2.39,0.04,0.04,0.0,0.0,1.23,73.3,0.0,3.16,4.21,5.3,0.28
Kepa Arrizabalaga,Goalkeepers,2700,2017-2018 La Liga,42.2,13.4,58.1,23.3,0.23,0.17,13.17,0.77,5.8,0.73,0.3,0.1,6.87,1.43,56.5,81.6,0.47,0.1,0.11,0.3,49.4,28.1,21.47,10.6,0.03,0.1,0.0,0.07,1.45,69.1,66.7,3.13,4.53,3.73,0.23
Kepa Arrizabalaga,Goalkeepers,2970,2019-2020 Premier League,28.3,16.0,32.7,24.2,0.24,0.21,10.39,0.61,5.8,1.06,0.12,0.06,6.0,1.42,20.6,33.3,0.33,0.06,-0.34,0.32,33.2,27.03,7.58,2.52,0.06,0.06,0.0,0.0,1.02,54.5,0.0,1.64,3.0,4.58,0.55
Kepa Arrizabalaga,Goalkeepers,3240,2018-2019 Premier League,25.9,18.1,36.5,38.9,0.39,0.17,10.25,0.39,3.8,0.97,0.22,0.0,7.11,1.08,15.7,34.4,0.22,0.0,-0.07,0.29,49.6,25.08,6.39,3.17,0.03,0.06,0.0,0.03,1.01,68.6,50.0,2.25,3.36,4.33,0.56
Mads Hermansen,Goalkeepers,450,2021-2022 Europa League,33.3,14.1,36.2,20.0,0.2,0.0,11.4,0.2,1.8,1.0,0.4,0.2,9.6,1.8,38.6,43.8,0.6,0.0,0.02,0.33,32.6,35.2,17.8,5.8,0.0,0.0,0.0,0.0,1.82,67.9,,3.8,5.6,7.4,0.0
Mads Hermansen,Goalkeepers,1395,2024-2025 Premier League,33.8,12.9,47.1,6.7,0.06,0.13,17.23,1.16,6.7,0.9,0.32,0.0,6.0,2.0,36.8,67.7,0.52,0.13,0.3,0.37,27.5,32.26,15.94,4.39,0.06,0.06,0.0,0.0,2.25,67.7,0.0,4.13,6.0,5.61,0.19
Mads Hermansen,Goalkeepers,1395,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",33.8,12.9,47.1,6.7,0.06,0.13,17.23,1.16,6.7,0.9,0.32,0.0,6.0,2.0,36.8,67.7,0.52,0.13,0.3,0.37,27.5,32.26,15.94,4.39,0.06,0.06,0.0,0.0,2.25,67.7,0.0,4.13,6.0,5.61,0.19
Mads Hermansen,Goalkeepers,1620,Last 365 Days Men's Next 14 Competitions,27.2,19.5,32.0,22.2,0.22,0.11,8.94,0.56,6.2,1.89,0.11,0.0,2.22,1.11,20.5,32.5,0.39,0.06,0.15,0.35,30.6,43.44,9.61,2.94,0.0,0.06,0.0,0.06,1.21,66.7,100.0,2.22,3.33,5.0,0.5
Mads Hermansen,Goalkeepers,3960,2023-2024 Championship,25.9,18.8,32.8,29.5,0.3,0.18,10.48,0.66,6.3,1.75,0.09,0.02,2.39,0.93,17.8,33.3,0.25,0.02,0.13,0.3,31.2,47.18,9.18,2.86,0.0,0.02,0.0,0.02,1.04,73.4,100.0,2.57,3.5,4.82,0.66
Marcus Bettinelli,Goalkeepers,630,2018-2019 Premier League,37.3,16.0,53.9,0.0,0.0,0.14,18.43,0.14,0.8,1.57,0.29,0.0,9.57,2.86,49.4,83.6,0.57,0.0,-0.36,0.39,44.8,25.14,20.43,9.14,0.14,0.43,0.14,0.14,2.5,52.5,50.0,2.71,5.71,4.57,0.14
Marcus Bettinelli,Goalkeepers,1242,2019-2020 Championship,30.4,19.1,36.7,30.8,0.29,0.14,9.64,0.22,2.3,1.81,0.29,0.0,7.39,1.09,31.2,43.1,0.29,0.0,-0.22,0.32,33.7,29.71,12.46,4.2,0.07,0.07,0.0,0.0,0.87,61.1,0.0,1.52,2.61,3.99,0.36
Marcus Bettinelli,Goalkeepers,3690,2020-2021 Championship,52.2,16.4,63.3,31.7,0.32,0.12,9.95,0.29,2.9,0.71,0.22,0.02,6.63,1.1,82.8,95.6,0.39,0.05,-0.27,0.24,28.1,25.93,27.8,7.8,0.1,0.12,0.02,0.0,0.78,65.5,0.0,1.85,2.9,1.32,0.39
Mark Travers,Goalkeepers,450,2024-2025 Premier League,36.3,12.9,55.8,20.0,0.2,0.2,12.6,0.2,1.6,1.0,0.4,0.2,7.8,1.0,41.7,76.9,0.2,0.0,0.9,0.38,45.2,20.6,14.6,6.6,0.0,0.0,0.0,0.0,1.9,80.0,,4.0,5.0,5.8,0.4
Mark Travers,Goalkeepers,810,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",38.8,13.6,55.7,33.3,0.33,0.11,13.67,0.44,3.3,0.89,0.22,0.11,7.22,1.11,48.2,78.5,0.33,0.0,0.5,0.32,37.9,21.67,16.11,6.11,0.11,0.11,0.0,0.0,1.61,79.1,0.0,3.67,4.78,4.67,0.44
Mark Travers,Goalkeepers,1035,2022-2023 Premier League,31.9,10.5,43.8,18.2,0.17,0.7,19.91,0.43,2.2,0.43,0.0,0.0,10.26,2.78,35.6,55.1,0.78,0.17,-0.52,0.34,46.1,21.74,13.39,6.17,0.17,0.17,0.0,0.0,2.09,54.5,0.0,3.13,5.74,4.7,0.17
Mark Travers,Goalkeepers,1170,2023-2024 Championship,36.7,14.1,56.1,15.4,0.15,0.23,13.38,1.0,7.5,0.92,0.08,0.08,8.77,1.38,45.0,73.7,0.54,0.0,-0.06,0.26,35.0,30.08,20.0,7.0,0.08,0.15,0.08,0.0,1.32,73.4,0.0,3.54,4.92,4.85,0.38
Mark Travers,Goalkeepers,4050,2021-2022 Championship,31.7,13.1,36.3,44.4,0.44,0.16,13.51,0.38,2.8,0.64,0.27,0.0,6.84,0.87,31.9,42.2,0.18,0.07,0.07,0.24,26.4,22.29,10.0,2.64,0.07,0.07,0.0,0.0,0.87,76.5,0.0,2.6,3.4,4.67,0.56
Martin Dúbravka,Goalkeepers,270,2021 UEFA Euro 2020,31.3,7.5,44.6,0.0,0.0,0.67,19.67,1.0,5.1,0.0,0.0,0.0,9.33,2.33,35.5,57.1,0.67,0.67,1.07,0.39,30.6,31.0,16.33,5.0,0.33,0.67,0.0,0.33,2.73,62.5,50.0,3.33,5.33,5.0,0.33
Martin Dúbravka,Goalkeepers,390,2024 UEFA Euro 2024,30.1,11.8,54.7,25.0,0.25,0.0,14.25,0.5,3.5,1.0,0.25,0.0,5.75,1.25,31.9,73.9,0.5,0.0,0.0,0.25,29.5,34.5,15.25,4.5,0.25,0.25,0.0,0.0,1.25,75.0,0.0,2.75,4.0,5.0,0.25
Martin Dúbravka,Goalkeepers,540,2024-2025 Premier League,25.8,14.3,39.5,83.3,0.83,0.0,11.0,1.17,10.6,0.67,0.0,0.0,5.17,0.17,17.6,48.4,0.0,0.0,0.38,0.22,24.4,28.33,7.5,1.83,0.0,0.0,0.0,0.0,0.55,93.3,,2.33,2.5,4.33,1.0
Martin Dúbravka,Goalkeepers,1080,2017-2018 Premier League,38.5,12.9,56.0,33.3,0.33,0.0,15.33,1.08,7.1,1.08,0.08,0.0,7.75,0.92,48.2,80.6,0.42,0.0,0.27,0.36,30.8,21.25,16.5,5.08,0.0,0.08,0.0,0.08,1.18,70.3,100.0,2.08,3.08,2.67,0.5
Martin Dúbravka,Goalkeepers,1170,2020-2021 Premier League,32.5,12.6,40.5,23.1,0.23,0.0,18.77,0.69,3.7,0.85,0.38,0.0,9.38,1.46,32.9,50.8,0.23,0.08,-0.11,0.25,42.2,24.31,12.77,5.38,0.08,0.08,0.0,0.0,1.28,71.0,0.0,3.38,4.77,5.15,0.38
Martin Dúbravka,Goalkeepers,1890,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",25.2,13.7,38.9,38.1,0.38,0.19,11.95,0.95,8.0,1.05,0.19,0.0,6.48,1.19,15.1,51.5,0.14,0.0,-0.04,0.26,31.5,22.95,6.81,2.14,0.1,0.1,0.0,0.0,1.15,73.9,0.0,3.0,4.19,5.67,0.67
Martin Dúbravka,Goalkeepers,1985,2023-2024 Premier League,25.4,12.9,39.1,22.7,0.23,0.23,13.42,0.91,6.8,1.0,0.18,0.0,7.66,1.9,15.6,53.3,0.41,0.0,0.01,0.29,33.9,21.76,7.48,2.54,0.18,0.23,0.0,0.05,1.91,70.8,20.0,3.94,5.89,6.48,0.41
Martin Dúbravka,Goalkeepers,2340,2021-2022 Premier League,37.0,11.9,60.5,30.8,0.31,0.27,13.85,0.85,6.1,0.54,0.15,0.0,9.08,1.35,46.3,91.9,0.35,0.04,0.0,0.32,41.6,23.27,19.12,7.96,0.04,0.04,0.0,0.0,1.31,67.9,0.0,2.77,4.08,3.38,0.5
Martin Dúbravka,Goalkeepers,3420,2018-2019 Premier League,38.9,12.0,57.9,28.9,0.29,0.24,17.13,1.13,6.6,0.87,0.24,0.05,8.5,1.26,51.1,84.8,0.45,0.03,-0.12,0.27,35.3,22.37,18.63,6.58,0.16,0.16,0.0,0.0,1.11,70.0,0.0,2.45,3.68,3.68,0.32
Martin Dúbravka,Goalkeepers,3420,2019-2020 Premier League,42.0,11.6,58.3,28.9,0.29,0.21,18.05,0.55,3.1,0.68,0.29,0.08,8.95,1.53,60.7,86.8,0.42,0.05,0.18,0.32,38.4,19.71,19.74,7.58,0.05,0.05,0.0,0.0,1.66,71.3,0.0,3.66,5.13,3.13,0.29
Matt Turner,Goalkeepers,225,2024 Copa América,39.1,20.1,46.6,50.0,0.4,0.0,13.2,0.4,3.0,1.6,0.0,0.0,8.4,0.8,42.4,52.4,0.8,0.0,0.2,0.22,15.4,26.4,15.6,2.4,0.0,0.0,0.0,0.0,0.72,77.8,,2.8,3.6,4.4,0.4
