Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals
Aaron Wan-Bissaka,Fullbacks,212,2023-2024 Champions League,50.0,100.0,0.42,0.42,0.42,,5.94,0.42,31.84,1.27,0.85,0.0,3.82,0.0,1.27,0.0,10.19,0.85,0.42,0.42,0.0,1.27,0.85,0.0,0.0,0.0,0.85,0.0,0.0,0.85,0.0,0.42,0.0,,,0.0,4.25,0.85,38.63,2.55,0.0,0.0,0.0,0.0,0.0,89.6,50.0,89.7,95.7,48.82,3.4,12.31,29.72,0.42,43.73,1.7,11.04,28.44,0.0,33.11,0.0,1.7,0.42,0.0,0.0,0.0,0.0,1.27,78.96,4.25,1.7,194.86,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,,0.0,40.0,0.85,0.0,60.0,2.97,0.0,1.27,1.7,2.12,2.12,0.0,10.19,1.27,7.22,194.86,564.62,63.68,12.31,1.27,25.05,5.94,63.68,27.17,0.42,0.21,,0.0,0.08,0.21,0.0
Aaron Wan-Bissaka,Fullbacks,410,2022-2023 Europa League,33.3,60.0,1.32,0.66,0.0,20.3,4.83,1.32,32.05,1.54,1.1,0.44,3.07,0.0,1.32,0.22,9.0,0.44,0.66,1.1,0.22,0.88,0.44,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.0,0.0,-0.04,0.0,0.0,0.0,1.76,0.66,40.17,1.32,0.0,-0.04,0.0,0.0,0.0,81.3,75.0,80.6,88.0,49.17,3.51,15.8,25.68,1.4300000000000002,39.95,2.63,12.73,22.61,0.0,32.49,0.44,3.07,0.66,0.0,0.0,0.0,0.0,3.51,93.51,3.73,2.63,234.22,0.0,0.0,0.0,0.0,1.98,0.22,0.22,0.0,2.41,0.22,0.66,0.0,0.22,33.3,0.0,41.7,1.1,0.0,41.7,1.76,0.0,0.66,1.1,1.1,2.63,0.0,8.56,1.1,3.51,170.78,596.85,62.12,11.85,1.76,24.8,4.17,62.12,26.12,0.0,0.15,0.07,0.04,0.11,0.11,0.04
Aaron Wan-Bissaka,Fullbacks,419,2021-2022 Champions League,25.0,83.3,0.64,0.21,0.0,13.9,7.3,0.86,37.16,1.5,0.0,0.21,1.72,0.0,1.93,0.0,8.59,0.86,1.07,1.29,0.0,0.86,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,,0.0,2.36,0.21,56.06,1.29,0.0,-0.02,0.0,0.0,0.0,83.4,52.4,82.7,92.3,64.65,4.51,22.34,33.29,0.965,53.91,2.36,18.47,30.72,0.0,48.11,0.86,2.36,0.64,0.0,0.0,0.0,0.0,3.22,164.11,4.08,2.58,246.59,0.21,0.0,0.0,0.0,1.07,0.0,0.0,0.0,1.07,0.21,0.21,0.0,0.0,0.0,0.0,80.0,1.72,0.21,20.0,2.58,0.86,0.86,0.86,1.5,2.15,0.0,7.73,0.43,4.94,265.27,802.05,75.82,15.68,0.86,26.85,3.65,75.82,34.37,0.0,0.02,0.07,0.02,0.02,0.0,0.02
Aaron Wan-Bissaka,Fullbacks,445,2019-2020 Europa League,33.3,50.0,1.21,0.61,0.0,,5.46,1.42,29.73,1.42,0.4,0.61,1.82,0.0,3.03,0.2,10.72,0.2,0.61,1.21,0.0,0.61,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.02,1.21,45.71,1.01,0.0,0.0,0.0,0.0,0.0,82.8,41.7,84.4,90.5,56.43,2.43,15.57,34.18,1.215,46.72,1.01,13.15,30.94,0.0,36.4,0.61,2.02,0.4,0.0,0.0,0.0,0.0,2.43,76.25,2.43,5.66,184.65,0.0,0.0,0.2,0.0,1.62,0.0,0.0,0.0,1.82,0.4,0.0,0.0,0.0,,0.0,42.9,0.61,0.2,57.1,3.03,0.2,2.02,0.81,2.22,1.42,0.0,10.11,0.81,5.06,150.88,615.03,67.35,19.42,1.01,21.03,2.22,67.35,26.9,0.0,0.06,,0.0,0.04,0.06,0.0
Aaron Wan-Bissaka,Fullbacks,469,2020-2021 Champions League,16.7,75.0,0.96,0.19,0.19,,5.95,1.92,28.21,1.34,0.0,0.58,2.88,0.0,0.58,0.0,7.68,0.58,1.73,2.3,0.0,0.58,0.58,0.0,0.0,0.0,0.19,0.0,0.0,0.19,0.0,0.19,0.0,,,0.0,1.73,0.58,42.03,0.96,0.0,0.0,0.0,0.0,0.0,79.2,26.7,76.5,89.7,49.89,2.88,15.54,28.02,1.06,39.53,0.77,11.9,25.14,0.19,32.81,0.58,2.3,0.38,0.0,0.0,0.0,0.0,1.92,61.41,2.88,2.69,195.74,0.0,0.0,0.0,0.0,0.77,0.0,0.19,0.0,0.96,0.38,0.0,0.0,0.0,,0.0,100.0,0.58,0.0,0.0,2.69,0.19,1.73,0.77,1.15,0.58,0.0,7.1,0.0,4.41,137.4,513.33,61.79,13.43,0.96,21.3,4.99,61.79,27.44,0.0,0.02,,0.0,0.02,0.02,0.0
Aaron Wan-Bissaka,Fullbacks,627,2017-2018 Premier League,47.4,78.9,1.44,1.29,0.0,,5.45,2.58,25.12,3.16,0.14,0.57,6.46,0.0,2.87,0.43,10.19,0.86,2.15,2.73,0.0,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.15,0.43,31.87,1.29,0.0,0.0,0.0,0.0,0.0,66.9,24.2,62.9,83.3,42.06,4.74,12.78,21.53,1.65,28.13,1.15,8.04,17.94,0.0,24.11,0.14,1.72,0.57,0.0,0.0,0.0,0.0,3.16,89.43,3.3,2.01,207.85,0.0,0.0,0.0,0.0,1.0,0.0,0.14,0.0,1.15,1.0,0.0,0.0,0.0,,0.0,86.7,1.87,0.0,13.3,4.31,0.43,2.87,1.0,2.73,2.15,0.0,10.05,0.29,6.46,143.11,384.11,59.0,13.35,0.14,24.26,6.46,59.0,22.11,0.14,0.03,,0.0,0.06,0.03,0.0
Aaron Wan-Bissaka,Fullbacks,723,2020-2021 Europa League,60.0,53.8,0.5,0.75,0.12,16.1,4.98,1.12,36.47,1.12,0.12,0.75,3.49,0.0,1.74,0.25,8.46,1.37,0.87,1.62,0.0,0.62,0.5,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.12,-0.01,0.0,0.0,0.0,1.62,0.25,49.17,0.62,0.0,-0.01,0.0,0.0,0.0,85.5,38.5,88.7,92.8,57.63,3.24,19.79,31.0,0.935,49.29,1.24,17.55,28.76,0.0,40.71,0.75,4.85,0.37,0.0,0.0,0.0,0.0,1.74,85.39,5.23,3.61,233.65,0.0,0.25,0.12,0.0,0.62,0.12,0.0,0.0,1.12,0.12,0.25,0.0,0.12,50.0,0.0,68.8,1.37,0.12,31.3,2.37,0.37,1.24,0.75,1.12,1.99,0.0,7.72,0.62,3.98,181.62,702.45,68.34,17.18,0.75,20.54,3.73,68.34,31.49,0.25,0.02,0.05,0.01,0.04,0.01,0.01
Aaron Wan-Bissaka,Fullbacks,1435,2022-2023 Premier League,43.3,92.0,1.07,0.82,0.0,14.7,4.58,1.51,32.86,1.51,0.25,0.13,2.57,0.0,0.88,0.13,7.71,0.63,1.44,1.57,0.0,0.69,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,-0.08,0.0,0.0,0.0,1.38,0.94,44.84,0.88,0.0,-0.08,0.0,0.0,0.0,84.0,63.6,80.8,92.8,52.68,2.76,15.05,30.29,1.19,44.28,1.76,12.17,28.1,0.13,37.63,0.25,3.01,0.63,0.0,0.0,0.0,0.0,2.57,85.92,3.45,4.01,206.47,0.0,0.0,0.0,0.0,1.82,0.06,0.0,0.0,1.88,0.5,0.63,0.0,0.13,20.0,0.0,48.6,1.07,0.13,51.4,2.51,0.19,1.25,1.07,1.57,2.2,0.13,7.46,1.13,3.89,163.94,598.2,64.35,17.94,2.76,21.7,4.7,64.35,25.09,0.13,0.14,0.12,0.08,0.06,0.06,0.08
Aaron Wan-Bissaka,Fullbacks,1714,2024-2025 Premier League,38.5,70.6,0.84,0.53,0.05,15.5,5.36,1.0,27.46,1.84,0.37,0.26,3.2,0.0,1.73,0.21,6.25,0.68,0.63,0.89,0.0,0.84,0.84,0.0,0.0,0.0,0.16,0.05,0.0,0.21,0.11,0.16,0.06,0.18,0.67,0.0,1.79,0.95,42.22,1.0,0.11,0.06,0.11,0.0,0.0,80.9,46.4,79.8,89.3,48.57,2.94,14.81,28.51,1.025,39.28,1.37,11.81,25.47,0.11,34.24,0.32,2.78,0.74,0.0,0.0,0.0,0.0,3.15,113.21,4.04,3.89,205.73,0.0,0.11,0.11,0.0,2.15,0.11,0.21,0.0,2.68,0.32,0.58,0.0,0.16,27.3,0.0,50.8,1.58,0.05,33.9,1.89,0.11,0.95,0.84,1.47,3.1,0.16,5.93,1.05,3.68,190.45,560.22,60.23,16.12,1.37,19.9,4.46,60.23,25.41,0.05,0.12,0.09,0.05,0.08,0.06,0.05
Aaron Wan-Bissaka,Fullbacks,1780,2023-2024 Premier League,52.5,73.1,0.96,1.06,0.1,20.2,4.75,1.47,30.03,1.37,0.2,0.35,3.44,0.0,0.71,0.15,7.33,0.46,0.96,1.31,0.05,0.86,0.46,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.1,-0.01,0.0,0.0,0.0,2.07,0.61,42.42,1.01,0.0,-0.01,0.0,0.0,0.0,83.5,50.0,85.3,89.5,49.85,1.92,14.41,30.29,1.04,41.61,0.96,12.29,27.1,0.1,34.94,0.35,2.58,0.81,0.0,0.05,0.0,0.0,1.52,72.25,3.89,2.73,178.94,0.0,0.05,0.0,0.05,1.21,0.0,0.0,0.0,1.31,0.76,0.15,0.0,0.05,33.3,0.0,53.1,0.86,0.05,28.1,2.12,0.2,0.91,1.01,1.26,1.62,0.0,6.98,0.46,4.2,147.08,547.28,61.94,14.06,1.21,21.44,4.3,61.94,27.2,0.2,0.08,0.04,0.01,0.07,0.08,0.01
