Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals
Adam Lallana,Midfielders,1596,2020-2021 Premier League,27.8,20.5,1.47,0.56,0.06,17.3,6.6,1.02,33.05,0.85,0.73,1.75,0.73,0.17,0.68,0.11,1.24,0.85,0.45,2.2,0.0,1.02,1.13,0.0,0.0,0.0,0.23,0.0,0.0,0.23,0.06,0.11,-0.03,0.05,0.2,0.06,0.85,1.41,51.77,1.35,0.06,-0.03,0.17,0.0,0.0,83.9,63.6,85.4,88.1,53.23,3.1,15.85,28.82,0.8200000000000001,44.66,1.97,13.53,25.38,0.23,45.56,0.62,3.44,1.47,0.0,0.06,0.0,0.0,1.86,74.66,6.15,4.34,168.44,0.0,0.0,0.0,0.17,2.82,0.06,0.11,0.0,3.16,0.17,1.24,0.0,0.28,22.7,0.0,64.3,1.02,0.11,35.7,1.58,0.23,0.62,0.73,0.73,1.58,0.11,0.28,0.56,2.42,153.72,620.3,62.26,19.68,3.44,11.67,1.47,62.26,31.35,0.0,0.24,0.07,0.09,0.15,0.15,0.09
Adam Wharton,Midfielders,622,2024-2025 Premier League,31.3,34.6,1.59,0.72,0.0,25.6,7.38,0.72,32.56,1.45,0.29,2.46,1.88,1.88,2.32,0.29,3.04,1.45,1.3,3.76,0.0,0.72,1.74,0.0,0.0,0.0,0.14,0.0,0.0,0.14,0.0,0.0,-0.03,0.0,0.0,1.16,1.45,1.16,49.2,0.72,0.0,-0.03,0.0,0.14,0.0,78.7,57.6,86.3,86.4,52.38,8.54,23.15,18.09,0.7949999999999999,41.24,4.92,19.97,15.63,0.14,38.78,1.16,5.64,1.59,0.0,0.0,0.0,0.0,0.87,72.93,8.83,0.87,270.72,0.0,0.58,0.14,0.0,2.89,0.14,0.0,0.0,3.76,0.0,1.3,0.0,0.72,55.6,0.0,14.3,0.14,0.14,85.7,2.6,0.0,1.3,1.3,1.45,1.01,0.29,0.0,0.87,4.05,139.05,775.85,62.8,15.77,0.87,13.89,1.88,62.8,33.57,0.0,0.12,0.03,0.03,0.09,0.09,0.03
Adam Wharton,Midfielders,1055,2022-2023 Championship,41.7,48.6,1.19,0.85,0.09,21.4,7.17,1.62,35.83,1.28,0.09,1.54,1.28,1.88,2.73,0.09,2.64,0.68,1.45,2.99,0.09,0.85,1.36,0.0,0.0,0.0,0.34,0.0,0.0,0.34,0.17,0.26,0.14,0.22,0.5,0.34,1.28,1.11,52.98,2.47,0.17,0.14,0.0,1.02,0.0,79.6,58.1,84.4,89.1,56.13,7.93,22.44,22.61,0.98,44.7,4.61,18.94,20.13,0.51,45.73,0.43,4.44,1.02,0.0,0.0,0.0,0.0,1.11,76.18,6.4,2.64,250.21,0.0,0.26,0.0,0.26,2.64,0.0,0.09,0.0,3.24,0.34,0.77,0.0,0.34,44.4,0.0,32.0,0.68,0.43,44.0,2.64,0.17,1.62,0.85,1.79,2.13,0.43,0.17,0.94,3.92,153.04,789.53,67.91,15.44,1.11,16.29,2.39,67.91,37.11,0.09,0.15,0.04,0.03,0.09,0.11,0.03
Adam Wharton,Midfielders,1297,2023-2024 Premier League,36.8,50.0,0.83,0.49,0.21,24.2,5.27,1.18,24.01,1.6,0.0,1.6,1.67,1.04,1.73,0.21,2.36,0.83,1.6,3.19,0.07,1.25,1.46,0.0,0.0,0.0,0.35,0.0,0.0,0.35,0.0,0.21,-0.02,0.0,0.0,0.49,1.39,1.46,38.37,0.83,0.0,-0.02,0.0,0.28,0.0,77.9,56.3,85.0,85.7,41.36,5.55,16.24,16.93,0.865,32.2,3.12,13.81,14.5,0.62,31.16,0.9,3.54,1.11,0.0,0.0,0.0,0.0,0.97,50.17,5.48,0.69,172.51,0.0,0.49,0.0,0.0,2.08,0.0,0.0,0.0,2.57,0.21,0.69,0.0,0.07,10.0,0.0,42.9,0.21,0.14,28.6,3.33,0.56,1.25,1.53,2.22,0.49,0.21,0.0,0.14,4.72,99.99,561.44,51.49,12.7,0.28,9.92,2.01,51.49,29.56,0.14,0.19,0.03,0.02,0.1,0.17,0.02
Adam Wharton,Midfielders,1919,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",34.3,44.4,1.08,0.56,0.14,24.9,5.96,1.03,26.78,1.55,0.09,1.88,1.74,1.31,1.92,0.23,2.58,1.03,1.5,3.38,0.05,1.08,1.55,0.0,0.0,0.0,0.28,0.0,0.0,0.28,0.0,0.14,-0.03,0.0,0.0,0.7,1.41,1.36,41.88,0.8,0.0,-0.03,0.0,0.23,0.0,78.2,56.8,85.5,85.9,44.93,6.52,18.48,17.31,0.845,35.13,3.71,15.81,14.87,0.47,33.63,0.98,4.22,1.27,0.0,0.0,0.0,0.0,0.94,57.55,6.57,0.75,204.34,0.0,0.52,0.05,0.0,2.35,0.05,0.0,0.0,2.95,0.14,0.89,0.0,0.28,31.6,0.0,28.6,0.19,0.14,57.1,3.1,0.38,1.27,1.45,1.97,0.66,0.23,0.0,0.38,4.5,112.65,630.94,55.15,13.69,0.47,11.21,1.97,55.15,30.86,0.09,0.17,0.03,0.03,0.1,0.14,0.03
Adam Wharton,Midfielders,1957,2023-2024 Championship,40.0,39.4,0.97,0.64,0.14,21.8,6.58,1.38,38.49,1.1,0.18,1.84,0.78,1.47,2.12,0.09,2.99,1.1,1.2,3.04,0.05,1.43,1.43,0.05,0.05,0.0,0.14,0.0,0.0,0.23,0.09,0.23,0.02,0.09,0.4,0.51,1.47,1.61,54.63,1.33,0.09,0.02,0.05,0.46,0.0,82.0,62.6,86.1,88.7,57.9,8.6,23.45,23.91,0.805,47.51,5.38,20.19,21.2,0.28,48.61,1.29,5.47,1.56,0.0,0.0,0.0,0.0,1.01,80.57,6.48,2.02,274.74,0.0,0.55,0.18,0.14,2.35,0.09,0.05,0.0,3.36,0.28,1.01,0.05,0.23,22.7,0.09,51.5,0.78,0.32,24.2,2.76,0.55,1.24,0.97,1.66,1.52,0.64,0.23,0.37,4.23,153.83,853.97,68.11,18.53,0.69,17.43,2.3,68.11,32.56,0.23,0.19,0.07,0.07,0.17,0.12,0.07
Alex Iwobi,Midfielders,1596,2019-2020 Premier League,40.0,36.4,0.68,0.45,0.0,17.3,5.53,1.02,30.11,3.1,0.68,1.18,0.56,0.06,2.71,0.51,0.56,0.96,0.68,1.86,0.06,0.68,0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.06,0.06,-0.08,0.04,0.1,0.0,0.79,1.35,33.67,1.97,0.06,-0.08,0.0,0.0,0.0,74.9,61.3,78.1,84.1,34.4,4.23,12.63,14.55,0.985,25.77,2.59,9.87,12.24,0.17,30.56,0.06,2.82,1.58,0.0,0.0,0.0,0.0,3.38,101.5,5.98,4.74,135.9,0.0,0.0,0.0,0.0,2.82,0.17,0.06,0.0,3.05,0.11,1.3,0.0,0.56,43.5,0.0,61.5,1.8,0.51,38.5,1.41,0.11,0.45,0.85,0.96,2.93,0.51,0.11,1.13,2.2,187.05,443.68,44.77,19.23,2.65,6.54,0.9,44.77,19.79,0.0,0.25,0.11,0.14,0.15,0.11,0.14
Alex Iwobi,Midfielders,2035,2021-2022 Premier League,30.0,40.4,0.93,0.4,0.09,16.4,5.75,1.72,25.7,1.64,0.84,1.37,1.11,0.04,1.42,0.27,2.52,1.19,0.93,2.3,0.09,0.71,0.27,0.0,0.0,0.0,0.27,0.0,0.04,0.31,0.09,0.18,-0.01,0.08,0.33,0.0,0.88,1.59,31.89,1.95,0.09,-0.01,0.13,0.04,0.0,76.6,53.9,77.4,88.5,34.58,3.94,10.97,16.19,1.35,26.49,2.12,8.49,14.33,0.18,28.22,0.09,2.7,1.77,0.0,0.04,0.0,0.0,1.95,73.42,4.56,4.6,142.94,0.0,0.13,0.0,0.0,2.61,0.09,0.09,0.0,2.92,0.13,1.06,0.0,0.27,25.0,0.0,56.1,1.42,0.27,43.9,1.77,0.22,1.02,0.53,0.84,2.52,0.27,2.21,1.11,2.65,146.57,401.57,46.53,19.28,2.7,10.35,1.77,46.53,17.51,0.04,0.22,0.1,0.1,0.13,0.12,0.1
Alex Iwobi,Midfielders,3378,2022-2023 Premier League,26.3,50.8,0.75,0.27,0.19,21.0,6.9,1.09,31.15,2.1,0.4,0.85,0.77,0.45,2.77,0.45,1.55,1.12,0.88,1.73,0.0,0.51,0.4,0.0,0.0,0.03,0.21,0.0,0.0,0.24,0.05,0.24,-0.01,0.05,0.13,0.37,0.67,1.71,39.14,1.81,0.05,-0.01,0.11,0.03,0.0,75.1,60.0,78.4,84.4,40.92,5.86,14.79,17.26,1.135,30.75,3.52,11.59,14.57,0.24,34.24,0.08,3.57,1.68,0.0,0.0,0.0,0.03,2.4,91.49,5.17,3.86,175.04,0.0,0.24,0.05,0.08,2.42,0.19,0.21,0.0,3.2,0.05,1.12,0.0,0.4,35.7,0.0,50.0,1.47,0.35,45.5,1.84,0.11,0.99,0.75,0.99,2.93,0.37,0.83,1.33,2.5,184.18,535.58,50.94,18.89,1.57,9.56,1.39,50.94,23.77,0.05,0.23,0.06,0.07,0.11,0.16,0.07
Alex Scott,Midfielders,935,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",36.4,59.5,2.02,1.16,0.0,23.4,6.45,1.64,31.38,1.54,0.87,1.44,1.44,1.25,2.12,0.1,2.5,1.25,2.12,3.56,0.1,1.64,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,1.16,1.16,2.12,39.37,1.73,0.0,-0.07,0.0,0.0,0.0,78.5,49.0,87.7,83.2,42.06,4.72,14.92,20.02,1.205,33.02,2.31,13.09,16.65,0.19,33.88,0.58,3.47,1.54,0.0,0.0,0.0,0.0,2.02,90.29,6.26,4.43,165.95,0.0,0.19,0.29,0.29,2.98,0.1,0.1,0.0,3.95,0.29,1.44,0.1,0.29,20.0,0.0,21.1,0.77,0.39,60.5,3.47,0.87,1.35,1.25,1.73,3.66,0.19,0.29,2.21,4.62,190.2,542.98,57.27,21.37,2.79,10.4,2.7,57.27,27.14,0.1,0.21,0.05,0.07,0.08,0.14,0.07
