Player,Versus,BasedOnMinutes,scouting_period,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
Odisseas Vlachodimos,Goalkeepers,540,2019-2020 Champions League,23.0,57.0,28.0,41.0,41.0,24.0,67.0,21.0,20.0,87.0,46.0,51.0,71.0,41.0,21.0,21.0,60.0,12.0,35.0,34.0,28.0,28.0,18.0,18.0,39.0,52.0,45.0,44.0,62.0,38.0,44.0,45.0,41.0,82.0,45.0
Odisseas Vlachodimos,Goalkeepers,570,2018-2019 Europa League,47.0,8.0,31.0,61.0,61.0,43.0,48.0,49.0,52.0,16.0,46.0,58.0,72.0,82.0,37.0,28.0,37.0,64.0,51.0,32.0,59.0,25.0,38.0,42.0,27.0,67.0,49.0,44.0,78.0,72.0,44.0,28.0,22.0,86.0,72.0
Odisseas Vlachodimos,Goalkeepers,900,2021-2022 Champions League,84.0,44.0,66.0,93.0,94.0,41.0,79.0,40.0,29.0,38.0,85.0,14.0,81.0,44.0,81.0,61.0,26.0,19.0,86.0,78.0,38.0,56.0,76.0,79.0,76.0,44.0,48.0,89.0,24.0,51.0,76.0,68.0,70.0,71.0,45.0
Odisseas Vlachodimos,Goalkeepers,900,2022-2023 Champions League,76.0,53.0,50.0,40.0,40.0,62.0,67.0,50.0,34.0,60.0,64.0,53.0,55.0,52.0,69.0,53.0,17.0,58.0,29.0,65.0,24.0,10.0,45.0,34.0,17.0,73.0,47.0,38.0,71.0,31.0,38.0,8.0,17.0,38.0,84.0
Odisseas Vlachodimos,Goalkeepers,1620,2020-2021 Primeira Liga,2.0,60.0,2.0,79.0,79.0,21.0,2.0,25.0,58.0,37.0,17.0,69.0,6.0,83.0,2.0,2.0,13.0,37.0,75.0,31.0,65.0,21.0,2.0,2.0,90.0,21.0,37.0,79.0,83.0,85.0,90.0,52.0,29.0,90.0,87.0
Odisseas Vlachodimos,Goalkeepers,2837,2021-2022 Primeira Liga,2.0,41.0,6.0,74.0,74.0,20.0,13.0,9.0,15.0,39.0,13.0,31.0,9.0,87.0,2.0,2.0,11.0,41.0,76.0,78.0,41.0,46.0,2.0,2.0,83.0,15.0,41.0,67.0,83.0,57.0,87.0,13.0,9.0,80.0,91.0
Odisseas Vlachodimos,Goalkeepers,2970,2019-2020 Primeira Liga,5.0,88.0,9.0,95.0,95.0,68.0,20.0,16.0,14.0,95.0,23.0,77.0,9.0,95.0,9.0,9.0,5.0,36.0,88.0,45.0,41.0,48.0,5.0,2.0,59.0,23.0,38.0,29.0,88.0,91.0,29.0,27.0,13.0,63.0,95.0
Odisseas Vlachodimos,Goalkeepers,3054,2018-2019 Primeira Liga,8.0,81.0,2.0,89.0,89.0,82.0,2.0,5.0,18.0,69.0,15.0,27.0,11.0,92.0,8.0,2.0,2.0,21.0,92.0,35.0,85.0,24.0,2.0,5.0,56.0,47.0,42.0,76.0,89.0,81.0,84.0,27.0,15.0,76.0,98.0
Odisseas Vlachodimos,Goalkeepers,3057,2022-2023 Primeira Liga,6.0,72.0,6.0,98.0,98.0,83.0,6.0,17.0,50.0,28.0,17.0,65.0,6.0,98.0,6.0,6.0,2.0,54.0,28.0,22.0,80.0,9.0,2.0,6.0,83.0,6.0,26.0,31.0,98.0,46.0,31.0,9.0,2.0,35.0,98.0
Remi Matthews,Goalkeepers,1620,vs. Goalkeepers,87.0,67.0,97.0,8.0,8.0,67.0,69.0,16.0,14.0,71.0,3.0,79.0,31.0,6.0,87.0,94.0,99.0,73.0,45.0,51.0,97.0,29.0,90.0,94.0,29.0,91.0,42.0,94.0,3.0,45.0,77.0,94.0,99.0,13.0,24.0
