Player,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,age,player_market_value_euro
Aarón Martín,39.0,67.6,1.03,0.66,0.12,23.9,3.9700000000000006,1.16,23.29,0.91,0.17,0.5,2.23,3.18,8.15,0.62,13.28,0.5,1.03,1.53,0.04,1.16,0.87,0.12,0.0,0.0,0.12,0.0,0.0,0.25,0.0,0.12,-0.03,0.0,0.0,1.53,0.58,2.11,34.45,0.74,0.0,-0.03,0.12,1.57,0.0,72.0,43.6,78.8,87.6,47.9,10.63,19.36,16.05,0.8500000000000001,34.49,4.63,15.260000000000002,14.06,0.17,29.08,2.61,2.23,0.87,0.0,0.04,0.0,0.0,1.57,65.68,2.56,3.68,247.66999999999996,0.0,1.57,0.0,0.08,1.36,0.04,0.08,0.0,3.14,0.37,0.54,0.17,0.17,30.8,0.0,57.1,0.5,0.08,38.1,2.27,0.17,1.2,0.91,1.45,0.87,0.0,7.49,0.33,2.85,134.26,642.78,56.25,18.74,0.66,15.260000000000002,2.85,56.25,23.08,0.17,0.21,0.06,0.03,0.2,0.18,0.03,27.0,15.424948470398375
Abdou Harroui,53.3,100.0,1.36,1.5599999999999998,0.38999999999999996,17.7,4.28,0.9700000000000001,34.02,3.8900000000000006,0.7799999999999999,0.0,0.9700000000000001,0.0,1.75,0.38999999999999996,0.7799999999999999,1.9400000000000002,0.7799999999999999,0.7799999999999999,0.0,1.9400000000000002,0.58,0.0,0.0,0.0,0.58,0.0,0.0,0.58,0.19,0.58,-0.23,0.07,0.25,0.0,0.38999999999999996,0.7799999999999999,38.29,2.33,0.19,-0.23,0.0,0.0,0.0,79.2,40.0,78.3,90.6,39.27,2.92,13.41,20.6,1.0699999999999998,31.1,1.17,10.5,18.66,0.19,39.46,0.19,3.1099999999999994,0.58,0.0,0.0,0.0,0.0,4.469999999999999,122.66000000000001,4.08,6.61,112.74,0.0,0.0,0.0,0.0,2.53,0.0,0.38999999999999996,0.0,2.92,0.0,2.92,0.19,0.7799999999999999,26.7,0.0,30.0,1.17,0.0,65.0,1.75,0.0,1.17,0.58,1.17,3.8900000000000006,0.19,0.58,2.53,2.14,241.23,451.75,55.00999999999999,20.41,3.3,7.969999999999999,0.9700000000000001,55.00999999999999,27.99,0.19,0.51,0.15,0.43,0.12,0.08,0.43,27.0,14.73180128983843
Adam Marusic,61.625253456221195,70.74341013824885,0.7901751152073733,1.2408479262672811,0.0,16.560921658986175,3.4396497695852535,0.5003410138248848,31.145142857142854,0.9976129032258063,0.12507834101382487,0.33356682027649764,2.241529953917051,0.0,1.9903410138248847,0.3335576036866359,8.505419354838711,0.5420368663594469,0.8735483870967743,1.2001658986175114,0.0,0.5837235023041474,0.6661013824884793,0.0,0.0,0.0,0.12507834101382487,0.0,0.0,0.12507834101382487,0.12508755760368664,0.12508755760368664,0.059493087557603686,0.1598341013824885,0.2988202764976958,0.0,1.0382857142857143,0.6650783410138249,43.30127188940092,0.5410046082949309,0.12508755760368664,0.059493087557603686,0.08440552995391705,0.0,0.041695852534562206,85.54405529953915,50.115207373271886,87.11013824884793,91.69327188940093,51.79974193548387,3.6511981566820277,21.651649769585255,24.75672811059908,0.4581336405529954,44.334663594470044,1.8245806451612903,18.86910599078341,22.68505069124424,0.0,38.27923502304147,0.9103502304147464,2.7804976958525347,0.4983041474654378,0.0,0.0,0.0,0.0,0.9162672811059909,55.86654377880184,3.8128479262672816,4.228764976958525,223.50560368663594,0.0,0.08440552995391705,0.12406451612903227,0.0,1.0799815668202766,0.041695852534562206,0.0,0.0,1.330147465437788,0.25118894009216586,0.7922027649769585,0.0,0.4993179723502304,62.79953917050691,0.0,52.03142857142857,0.3345806451612903,0.12610138248847927,44.58230414746544,1.6974377880184333,0.12610138248847927,0.9569308755760368,0.6244055299539171,1.0810046082949307,0.7891428571428571,0.0,7.588119815668203,0.41490322580645156,2.738774193548387,125.75057142857142,690.3860921658986,59.72526267281106,14.893078341013824,1.1177972350230414,17.00593548387097,2.783557603686636,59.72526267281106,28.285917050691246,0.041695852534562206,0.11,0.08254377880184333,0.06559447004608294,0.03525345622119816,0.04440552995391705,0.06559447004608294,32.0,15.201804919084164
Adam Masina,75.8,57.1,0.99,3.1,0.11999999999999998,14.5,3.9100000000000006,1.4300000000000002,40.1,0.5,0.05999999999999999,0.93,3.9100000000000006,0.0,0.81,0.11999999999999998,2.9100000000000006,0.25,1.24,2.17,0.11999999999999998,1.12,0.93,0.0,0.0,0.05999999999999999,0.11999999999999998,0.0,0.05999999999999999,0.25,0.05999999999999999,0.19,0.05,0.2,0.5,0.0,1.12,0.19,57.09,0.43,0.05999999999999999,0.05,0.05999999999999999,0.0,0.0,84.2,55.6,88.5,90.9,60.11999999999999,8.37,29.690000000000005,21.07,0.375,50.64,4.65,26.280000000000005,19.15,0.11999999999999998,46.489999999999995,1.12,3.1600000000000006,0.31,0.0,0.0,0.0,0.05999999999999999,0.81,104.37999999999998,3.78,0.43,343.26,0.0,0.0,0.0,0.05999999999999999,0.81,0.0,0.11999999999999998,0.0,0.99,0.87,0.31,0.0,0.11999999999999998,40.0,0.0,37.5,0.19,0.43,62.5,1.74,0.05999999999999999,1.24,0.43,0.87,0.5,0.05999999999999999,1.4300000000000002,0.31,2.85,184.20999999999998,931.43,70.6,4.15,0.56,30.619999999999997,8.12,70.6,36.07,0.31,0.029999999999999995,0.05,0.01,0.029999999999999995,0.02,0.01,31.0,14.22097566607244
Adam Obert,60.5,54.5,1.79,2.75,0.11999999999999998,12.0,5.49,1.6699999999999997,24.469999999999995,0.72,0.0,1.19,4.18,0.0,0.95,0.11999999999999998,8.83,0.84,1.43,2.63,0.23999999999999996,1.55,0.72,0.0,0.0,0.0,0.36,0.0,0.0,0.36,0.11999999999999998,0.23999999999999996,0.01,0.11,0.5,0.0,1.6699999999999997,0.95,34.38,2.27,0.11999999999999998,0.01,0.0,0.0,0.0,75.8,44.9,83.2,87.3,43.45,5.85,16.35,18.74,1.19,32.94,2.63,13.609999999999998,16.35,0.23999999999999996,25.9,1.07,3.3399999999999994,0.4799999999999999,0.0,0.0,0.0,0.0,1.43,73.53,4.77,1.91,225.0,0.0,0.36,0.0,0.11999999999999998,1.91,0.23999999999999996,0.0,0.0,2.63,0.72,1.07,0.0,0.23999999999999996,22.2,0.0,62.5,0.6,0.36,37.5,2.86,0.0,1.19,1.6699999999999997,1.55,0.95,0.0,7.76,0.36,4.54,132.73,555.04,58.37,9.55,1.55,25.19,5.61,58.37,25.069999999999997,0.23999999999999996,0.14,0.11,0.11,0.02,0.05,0.11,22.0,14.914122846632385
Ademola Lookman,45.738252530633986,55.28811933937134,0.5289611081513053,0.48047416089504524,0.28682472029834843,14.651038891848694,2.6897336174746935,0.813233883857219,35.96389984017048,2.9764091635588703,3.0673308470964304,0.3874480554075653,0.14151305274374001,3.1661108151305273,4.411779435269047,0.4818700053276505,3.743558870538092,2.017863612147043,0.4842727757059137,0.861720831113479,0.04468833244539158,1.2975066595631326,0.958694725625999,0.0,0.0,0.04468833244539158,0.530207778369739,0.04468833244539158,0.19,0.8170324986680874,0.8133830580713906,1.100207778369739,0.21323388385721895,0.20234416622269577,0.4872402770378263,1.2490197123068727,0.09682472029834843,2.592759722962174,35.00127863612147,2.5913638785295685,0.7686947256259989,0.23661694192860952,1.2005327650506126,1.1523441662226956,0.0,75.42226957911559,46.280713905167815,75.2320724560469,87.80623335109216,38.84166222695791,3.837980820458178,10.40323388385722,20.52258391049547,1.1745391582312201,29.2997389451252,1.775578050079915,7.817064464571124,18.02789557805008,0.09682472029834843,40.99962173681406,0.19364944059669686,1.442818327117741,1.8197069792221632,0.09317527970165157,0.0,0.04468833244539158,0.0,5.3656686201385195,123.08695258391047,3.0202397442727755,12.276323921150775,115.07684603090037,0.0,1.1521949920085244,0.09697389451251999,0.09682472029834843,3.3093180607352157,0.5748961108151305,0.861720831113479,0.0,6.091928609483218,0.0,3.8821097496004264,0.0,1.5858763985082576,40.938572189664356,0.0,42.762333510921685,1.9187852956846032,0.04468833244539158,56.04597762386788,1.245370271710176,0.29062333510921684,0.43198721363878523,0.530207778369739,0.6718700053276505,4.414720298348429,0.14531166755460842,0.3353116675546084,2.4437986148108686,1.3421949920085243,216.68081513052744,406.7966915290356,52.12222695791156,33.23258923814598,8.200005327650507,2.6359030367607885,0.04468833244539158,52.021603622802346,16.92420884389984,0.14151305274374001,0.8733244539158231,0.1376558337773042,0.5246297282898242,0.36848694725625997,0.34379861481086843,0.6075972296217368,27.0,17.822843743196746
Adrián Bernabé,66.7,50.0,0.17,0.34,0.0,27.0,4.9,1.6,45.51,2.36,0.17,1.18,1.69,1.18,1.6,0.25,6.92,0.76,1.18,2.36,0.08,0.68,2.28,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,-0.06,0.0,0.0,0.59,0.51,1.69,54.71,0.84,0.0,-0.06,0.0,0.17,0.0,83.7,66.4,87.0,90.5,61.800000000000004,10.3,27.19,22.29,0.8,51.75,6.84,23.64,20.18,0.17,50.23,4.47,6.5,0.93,0.0,0.0,0.0,0.0,2.36,143.02,7.09,0.59,356.2,0.0,0.51,0.0,0.17,2.79,0.08,0.08,0.0,3.63,0.76,1.77,0.51,0.17,9.5,0.0,45.5,0.84,0.93,31.800000000000004,2.28,0.34,1.35,0.59,1.44,1.86,0.25,0.17,0.59,2.79,225.59,997.18,72.02,15.2,0.34,18.32,3.04,72.02,39.6,0.08,0.14,0.03,0.06,0.08,0.08,0.06,23.0,16.523560759066484
Adrien Tamèze,52.9,11.1,1.2,1.35,0.0,15.1,3.6099999999999994,1.2,30.400000000000002,1.2,0.0,1.2,1.05,0.0,1.35,0.15,1.51,0.45,0.15,1.35,0.15,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05999999999999999,0.0,0.0,0.0,1.51,0.9,40.64,1.35,0.0,-0.05999999999999999,0.0,0.0,0.0,85.4,72.2,92.0,85.6,42.14,2.71,17.01,19.87,0.75,35.97,1.96,15.65,17.01,0.0,36.57,1.2,1.51,0.9,0.0,0.15,0.0,0.0,2.11,88.19,3.46,3.01,128.23,0.0,0.0,0.0,0.0,0.9,0.15,0.15,0.0,1.2,0.75,1.05,0.0,0.45,42.9,0.0,26.7,0.6,0.0,53.3,0.75,0.0,0.3,0.45,0.3,2.26,0.0,0.3,1.2,2.26,185.72,571.61,51.62,14.0,1.96,12.49,2.26,51.62,25.13,0.45,0.18,0.05999999999999999,0.05999999999999999,0.11,0.11999999999999998,0.05999999999999999,31.0,15.068273526459642
Alan Matturro,46.39999999999999,21.4,1.82,1.58,0.0,16.9,2.91,0.73,24.5,0.49,0.0,1.33,4.0,0.0,0.61,0.24,2.7899999999999996,0.36,0.36,1.6999999999999997,0.0,0.97,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,1.46,0.36,35.9,0.73,0.0,-0.01,0.12,0.0,0.0,79.7,52.2,90.29999999999998,80.5,38.81,5.579999999999999,22.439999999999998,9.34,0.55,30.930000000000003,2.91,20.26,7.519999999999999,0.12,28.75,0.49,1.09,0.49,0.0,0.0,0.0,0.0,1.21,72.53,1.6999999999999997,0.97,196.37,0.0,0.0,0.12,0.0,0.8499999999999999,0.0,0.0,0.0,0.97,0.24,0.36,0.0,0.36,100.0,0.0,66.7,0.24,0.12,33.3,1.21,0.0,0.61,0.61,0.61,0.36,0.0,2.18,0.12,2.67,134.51,629.03,48.76,4.25,0.8499999999999999,27.170000000000005,5.700000000000001,48.76,17.59,0.24,0.04,0.05,0.01,0.04,0.02,0.01,20.0,15.89495209964411
Albert Gudmundsson,25.0,55.6,1.19,0.39999999999999997,0.0,22.8,3.56,0.53,24.110000000000003,1.45,0.53,0.53,0.66,0.79,2.24,0.0,3.82,0.92,0.66,1.19,0.13,1.05,1.84,0.0,0.0,0.26,0.0,0.0,0.0,0.26,0.53,0.53,0.18,0.13,0.39999999999999997,0.79,0.66,1.05,27.94,1.7100000000000002,0.26,0.12,0.0,0.0,0.0,78.4,41.7,79.3,92.7,31.76,3.16,10.81,14.49,0.9249999999999999,24.900000000000002,1.32,8.57,13.440000000000001,0.0,27.01,0.92,3.03,0.26,0.26,0.0,0.26,0.13,2.5,72.87,3.43,3.9499999999999997,86.44,0.0,0.26,0.0,0.39999999999999997,1.84,0.39999999999999997,0.13,0.0,3.03,0.0,1.98,0.26,0.66,33.3,0.0,46.2,0.79,0.13,23.1,0.79,0.26,0.26,0.26,0.26,1.7100000000000002,0.0,0.53,0.39999999999999997,1.45,165.9,366.59,40.59,15.680000000000001,2.24,5.53,0.66,40.32,20.03,0.13,0.25,0.07,0.14,0.07,0.12,0.34,27.0,17.14771506813948
