Player,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Won,Per90_Assists,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries into Final Third,Per90_Challenges Lost,Per90_Clearances,Per90_Crosses into Penalty Area,Per90_Dribblers Tackled,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Fouls Drawn),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goals + Assists,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Interceptions,Per90_Key Passes,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Offside,Per90_Passes into Penalty Area,Per90_Progressive Carrying Distance,Per90_Red Cards,Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Shot),Per90_Shots from Free Kicks,Per90_Successful Take-On %,Per90_Switches,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Touches (Att 3rd),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_npxG/Shot,age,player_market_value_euro,Finishing_Efficiency,Assist_Efficiency,Pass_Efficiency,Progressive_Play,Ball_Retention
Hamari Traoré,2.4898334117486973,1.6717924311471284,0.22853509687808685,-0.5236141050734292,-0.353185569199816,-0.8789728575758928,-0.09656823944166198,-1.2706671263307512,0.9601686154892247,0.6275101347512998,0.3780086501261299,1.8724762619105924,-0.5774460203190697,-0.6243020485047053,-0.6222092709802001,-0.6803979748078862,-0.585473667629665,-0.5949007623421987,0.3126353681897438,1.5217460307454238,0.3754811369266386,-1.1188202338085829,-1.4274316133381357,-0.4936738762006885,0.10757698884897597,-0.6511521725594454,-1.8826710567699445,-0.6001086022336831,-0.7810690279087817,-0.4696013024434064,-0.8027691375733707,-0.039429361753126765,0.037812576107548845,-0.45589198706705464,-0.6975180753070254,-1.1250052652473999,0.12136650834082455,0.6678941909780819,0.09789050111522662,-0.1480566364027892,-0.9441783031210851,-0.8754510841139416,2.2589986838797076,-0.03685147256328693,0.2561761445353652,-0.9825947676026275,-0.22927320703504472,-0.1612272617467548,-0.005647432693360949,-0.8401821610294968,0.6769462856039022,14.914122846632385,0.17357226661746,0.22314475807927067,0.2792682828690493,-0.4613737070965158,-0.7198650720975808
Alejandro Balde,-0.962684228826549,-0.1815301025761641,-0.4500528788282033,0.5098146682507285,0.18203068346113052,1.0478118822571962,0.9361586793316476,1.293910196717913,-0.6783013387149086,1.4527141033619995,0.8893026114573988,-0.38966002166953245,0.22128532902779852,0.3444186672096969,-0.06705324213762145,1.279444922818681,0.1306824711625588,0.2536874577553098,-0.780753501663159,-0.7966309254884487,-0.11925430124178513,1.3673153941434486,-1.7241084202417447,-1.6226485302930673,-0.9156815679184294,1.5278694326037172,0.653555628229721,0.26695854076128245,-0.11714798815926614,0.3581140276078448,0.6026120549696947,1.052739251228546,0.45832328520369614,4.440359671931668,-0.43341619653542335,-0.004456010763354543,0.8259104699965177,0.7612854637262787,0.4219975844224909,0.7967783678863138,0.5449030928168,-0.41433301154467506,-0.46082131009133287,1.601992895376762,0.522756700543161,0.1150986736570946,1.0119033633948382,-0.7204515994629875,-0.7446819824138644,-0.5950830589358287,-0.7669918180674667,17.72753356339242,0.03837053958936747,-0.2335979279637615,-1.9416888349908008,-0.0006619267280259693,-0.49677319425188615
Alejandro Balde,-0.6422235490030742,0.4556788894310002,-0.5405573526964677,-1.3148791524125183,-0.15610720545708026,0.4409417786634867,-0.5658718144380804,0.6343685787890487,0.9281926998083012,-0.7871455157487243,1.3215759838974064,1.8812186258499195,0.6542319727316632,-0.2081325706540405,-0.6222092709802001,-0.6803979748078862,-0.585473667629665,-1.3108645564105117,-1.3609538837961943,-1.3879691231776623,0.11497100437086147,-1.324489793867039,0.5933746621256869,0.09411531309801802,-0.13428438844206098,-0.4383889578345281,-1.2888039917141165,-0.6596424933180947,-0.9042848947275266,-0.4696013024434064,-0.8027691375733707,-0.5557310056871893,-1.1952198654022128,-0.45589198706705464,-0.3586978527989047,-0.4560099170068566,1.0410632080360662,-0.46081700618984966,1.8787586029932337,0.01589176621947156,0.3310830156840221,-0.48715480702555386,1.4756627721715885,-0.22504495521636012,0.775985999346124,-1.0141085290093377,-0.7843325772129508,0.4039298919177305,0.7023122567642344,-1.4736798631813195,-0.7669918180674667,17.72753356339242,0.1156283694564429,-0.9608978811209522,0.36711450557050235,-0.7624229133354373,-0.3873082976577152
Alejandro Balde,-0.6763080382974256,0.47545285204491466,-0.611613020525948,-0.49622991177443887,0.054566883130147535,0.5747996403246036,0.6870670065032943,0.1361717719005094,0.8821553794954714,0.8064528470644579,0.8518528061937833,-0.26083035790264475,-0.7568953671633907,-0.049958763480098076,-0.6222092709802001,-0.6803979748078862,0.004113233621918937,-0.6137148675407167,-0.29756341906718387,0.13513456393756218,-0.1546308045262716,-0.19780184978157356,-1.6231199311234867,-0.33660494082915876,-0.08745861582929725,0.7588764480779181,0.0878040545829961,-0.18781923451201665,-0.12019510087758413,-0.4696013024434064,-0.21421446202322048,0.02042782192707468,-0.4693591119183408,-0.45589198706705464,-0.1397868696329929,-0.40492977326908436,0.5500024177265093,-0.02036431865783499,1.4278296325740363,-0.5734679429156784,0.49642204462005773,-0.26673014426774144,2.039505860968957,0.06972067902576953,0.31703790378713487,-0.26623776341657085,0.07481036340896166,0.4387403952022822,0.36617616837665024,-1.0552504929939952,-0.7669918180674667,17.72753356339242,0.21848165914378567,-0.2685317945130715,-0.4967431592778951,-0.264544832921335,-0.08471513171745038
Aihen Muñoz,0.48589306636550483,0.8469060294293123,0.19995545962880934,-0.7639531969313296,0.06679529424076394,-0.06409781944814245,0.2062507855239502,0.14313149525783309,0.6378194008506828,1.3503854782052922,1.6372370127125193,-0.6578491721063114,0.002476649624774759,-0.7225798197096521,-0.28919252381703414,0.2525289527796981,-0.585473667629665,-1.0616161922476577,-1.3609538837961943,-1.3879691231776623,-0.15715832416320866,-0.7462143906812372,-1.3723969838177739,-0.44823601197729995,0.2955216596704326,0.33856233646116823,-0.012946693899354551,-0.18421690831965962,-0.3634824538141734,0.6255445686441627,-0.6070161625033975,-0.6004447173160788,-0.4956570847077789,-0.45589198706705464,-0.1377187535580858,-0.7160612695075104,0.567465105355858,-0.08885677686972213,0.8432003162313851,0.15176119602640098,0.6682500672419415,-0.8754510841139416,3.109567710102003,-0.15433864880178796,0.3266669593250858,-0.37993590992505244,-0.021447186034198183,0.5884143209121638,0.12533801876007672,-1.4530512927394572,0.5894567960975173,15.60727002719233,0.1156283694564429,-0.26185399692041617,-0.5628739991740253,-0.16679971057722595,-0.11490900175761481
Alejandro Balde,0.7997046727792954,0.9656417684381721,-0.5502096728626933,0.708426705623074,-0.03827968257898675,-0.46056083575987766,1.2864919427252741,-1.213147054157984,-0.5660793823250166,1.024430720715155,-0.5343433027856829,-0.1913951685255333,-1.2084798093781868,0.0017570997593427454,1.9354247703624612,-0.6803979748078862,-0.585473667629665,-0.32947234977637785,-1.1294893889854398,-0.9855431710828981,-1.1814746903752023,-0.14937503149168707,0.40710327540624647,0.9235414018636993,1.5536562551869746,-0.14979623127424735,0.47364968729506046,0.7882725842630304,1.411098400753973,-0.4696013024434064,-0.5427017397420779,0.9780195837056171,-0.5694881058450947,-0.45589198706705464,-0.39529067040915883,-0.661800472267876,-1.0083081348381822,-0.7431504543394123,-0.43532175113620425,-1.1269686830186745,-0.8325058530783607,-0.37512691392894687,1.712709598074682,0.9126440887621494,-1.2460108131760246,1.316369561607925,0.9321227234006109,0.007869495219476795,-0.3863181761091069,-0.731839526302288,-0.7669918180674667,17.72753356339242,0.09948449906224581,0.1511482415456612,1.139661449346777,0.606832254696565,-0.45313889594439494
Alejandro Balde,-0.5321766487287196,1.507524186984523,-0.685435382764852,-1.3148791524125183,-1.4600714564358597,-0.395507355560073,-0.6968632138760561,0.0996356550359995,1.059349421312482,0.25159282638218533,3.4920375135594868,-0.6578491721063114,1.093053489036977,0.1492487665235732,-0.6222092709802001,-0.6803979748078862,-0.585473667629665,-1.3108645564105117,-1.3609538837961943,-1.3879691231776623,1.470636168738209,-1.069594755581182,0.27767362700288045,1.3477105905213327,0.7464116517224011,0.9547299271489704,-0.8831788813217543,-0.24933250353763395,0.6077372673683464,-0.4696013024434064,-0.8027691375733707,-1.0176701171273947,-0.2152704834284965,-0.45589198706705464,-0.15506172796342751,0.9926055173742738,1.3426176684856177,-0.5230406915041577,1.646160015834914,0.8813411598748374,1.7350340913852373,-0.2244268959402119,2.2305311030931563,-0.5532200173280769,1.6130686253732605,0.49322629726779055,-0.47335098855885344,1.2243851885659818,0.6554061347899887,-1.0595773281271774,-0.7669918180674667,17.72753356339242,0.1156283694564429,-0.9608978811209522,0.8715359351877399,0.2692921798538468,-0.20735995087918246
Alex Král,0.2959218958476502,0.007141770427789183,-0.04075194434147506,-1.053747050788618,0.2597527476885637,0.06392452566292522,-0.5077311374948105,-0.6339074248695002,-0.014147990141665302,-0.3177720013540819,-0.6366120968449978,-0.6578491721063114,-0.5685689017463937,-0.7407511354905754,-0.6222092709802001,-0.6803979748078862,-0.585473667629665,-1.1352029492981501,-1.2165893523264433,-1.092682904961275,0.0011577777208841699,-0.9065054626628712,-0.7758410211255935,-0.18914528263375116,-0.9573344802527374,-0.11996930410321749,0.4178183971895216,-0.6043990799308814,-0.8444668862893652,-0.4696013024434064,0.8237164491679569,-0.230529853887625,-0.46212138464712327,-0.45589198706705464,-0.2129437253212971,-0.5091726528817195,-0.04158175630104707,-0.8540700916712799,-0.3037617314820788,0.6044125949234469,0.3010450673249577,0.29550973402921726,-0.5373724783449473,-0.22678985014542624,-0.028738286150256705,-0.8528374655349655,-0.768435633345497,-0.44312353146473654,-0.08633632291408455,-0.5295890268432005,2.2987555828171278,15.60727002719233,0.10977612686937632,-0.6443074207459869,-0.910421246348413,-0.4752531766112558,-0.23364482041213616
Alexander Sørloth,1.2502677839901608,-0.2756645840131908,1.904580247203222,0.49275104907120076,-1.6541638343818696,-1.5826714352748075,-0.05346509814634223,-1.482190560794344,-0.49916995456332525,-0.7683555977440388,-1.6677715788477168,-0.4873243918381149,0.11198781550803534,-0.8445665632921997,0.2936319761697278,2.299272132490546,1.8551528698655717,2.959128059362923,1.9369223153778286,1.271520852720601,-1.7762335256586441,0.4158433679985654,0.039112205566599494,-0.96508299229969,-1.0977996491999846,-1.2185711547026128,0.19261757777946906,-0.3356266212984669,-1.079562929223983,-0.4696013024434064,-0.24851943804092877,-0.26963357494752854,1.6960595464062878,-0.45589198706705464,-0.1455666526498755,-1.049691335906897,-1.8031580647649506,-0.14055282211638806,-1.8172141925205092,-1.300105694555219,-1.9638060097371937,-0.35282525668502196,-0.6022152670207482,0.516413969246121,-2.077013603317452,-0.9250571872025917,0.16442923483494976,-1.1951176405457393,-0.6199623133836822,2.1299001796533696,-0.287607259863104,17.034386382832476,0.25841868044451255,0.21186366926355552,-0.9942500390551725,-0.9187989418323018,-0.1926595048822639
Pedri,0.4601334312947689,-0.15353442604194678,-0.29036070101871375,0.3105924977304343,0.1820542000244516,0.24914390433636213,0.9506889311999644,0.44648387300260495,-0.03086813350552837,1.9096108277201909,0.1911735927857906,-0.2650381561094816,0.47690416898359816,-0.4410620957322327,0.43144480945985775,0.19381034719910525,1.0237110099870281,-0.053134040388325726,-0.2032039957423264,-0.2837441152821847,1.044905174823766,0.23382444875297284,-1.3540162679626426,-0.5350273177884421,0.2938654553979493,2.0311950038010003,0.06856889809010103,0.6936120567112452,0.6355755148178842,-0.090216027991802,0.07750366010550233,-0.4133131310982661,0.16325830988239376,-0.45589198706705464,-0.08592061703638965,-0.6014057111844392,0.4948139998762525,0.4447667932755966,0.7488844611409218,-0.10121543385802095,0.6404090552083972,-0.529528837663271,1.7512810852692762,0.6145698444544822,0.8224895511994206,0.5544441226959188,0.6398808378872471,0.19511042165912676,0.04170190640380585,-0.34536169458401095,-0.8190516795919222,18.420680743952367,-1.915243249460671,-0.13577232106606094,-0.6014631545645185,0.3531763279918585,-0.20329370127455296
