Player,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Carries,Per90_Carries into Penalty Area,Per90_Crosses,Per90_Dead-ball Passes,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Shot),Per90_Goals/Shot on Target,Per90_Interceptions,Per90_Non-Penalty Goals - npxG,Per90_Pass Completion % (Long),Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Red Cards,Per90_SCA (Defensive Action),Per90_SCA (Shot),Per90_Successful Take-On %,Per90_Tackles (Att 3rd),Per90_Tackles (Mid 3rd),Per90_Total Carrying Distance,Per90_npxG/Shot,Per90_xAG: Exp. Assisted Goals,age,player_market_value_euro,Finishing_Efficiency,Assist_Efficiency,Shot_Efficiency,Progressive_Play,Ball_Retention
Aarón Martín,0.1731329740296681,-0.6102805940191547,-0.9293393850216995,0.0033732164631530563,-0.4023069819473984,-0.6183824016593804,3.2908115311259936,2.8873717291137857,-0.4558137537033282,-0.41219145164054416,-0.6624782855222303,1.829384902692818,-0.8050194462517415,-1.2419807528928828,0.1639895429766384,0.003084401507921063,-1.8985534791995264,-0.4020770857443165,-0.3414466116487992,-0.11616449449170466,-0.44160511834066235,-0.23683090510678403,-0.6591222014820736,-0.8505711936610004,1.1037381800857204,-0.2335929856446931,0.1174152686056072,-0.3169350985560299,-1.2862551580848391,1.0313244883425512,1.726499365033968,15.424948470398377,-0.020976652577173762,-0.7775635722858539,-0.6126158881511607,-0.20485513136369618,1.1851177197815654
Adam Masina,-0.42989876773945157,-0.26449962624576995,1.2870746847432566,-0.607994926852623,0.2712401027628787,-0.8094846874066952,0.08753813502921322,1.4243755567060268,0.17736289971353164,0.017472290848104623,-0.8518623371088022,-0.1582729354589447,-0.0015268024092610307,0.2643783004416649,1.0495798474494238,0.24657514571927036,-0.8833523315645846,-0.4020770857443165,0.20168055201942545,-0.06326174218332231,0.4935424212688826,-0.1741089544685683,-0.1755549955031227,-0.819106648109986,0.6663900147645788,-0.7489005812206913,0.09693737544627055,-0.2578253425388639,-0.7539541575591971,-0.8801884739674647,2.9285966626694213,14.22097566607244,0.07594446681051123,-0.05007318912483308,0.06822636889567735,-0.03250505772943477,0.48426936810675647
Adam Obert,0.20601096543104788,0.11201835851387276,0.7581887124997988,-0.4593511801793435,-0.01358630320721488,-0.8397755467060561,-0.28110314189271485,0.8610413589140551,2.857557025464101,-0.25527597643926403,-1.033668907892507,-0.4227889081596452,-0.8050194462517415,-0.9490315627288626,1.2602356987409669,-0.5323629773472198,-0.13792983531042163,-0.4020770857443165,-0.6525068862390364,0.10072053750168665,0.4101107080293447,0.4545033789007707,-1.0249594349447444,0.06407885540858678,1.161705710142344,-1.185678186408055,0.9139123150873224,-0.1963802692296579,-0.6092751934547957,-0.3995849620480194,1.074695496982721,14.914122846632385,0.04453352456155911,0.5681481085461,-0.7831127992727077,0.07777624351934624,1.1130553881470278
Alessandro Bastoni,-1.2066988015908298,1.0064776448444492,0.8973236901805913,0.1671427010273784,-1.4259139211430942,0.4338559111803181,-0.1716966914012303,-1.0069496236426023,-0.9004361921136336,0.7220775958999511,0.3335634230271312,-0.4227889081596452,-0.016863591381936823,1.148118282578263,-1.0836220293322647,1.316276486864609,-1.4399276867497033,4.399493578262006,0.5980759452320069,-1.292905403774072,-0.8831197485119997,-0.5213970334839203,-1.0249594349447444,0.4135315866443694,-2.0645057021660245,-0.6328838721688633,-1.101212004746944,-1.433624609782833,1.2408448819503572,-0.1709314682776266,-0.7440967952492507,18.132998671500584,0.09445532573722921,-0.16065856265516137,2.072925254418217,-0.8209400365097375,-1.9231172176750784
Alessandro Bastoni,0.15673938189009123,-1.0495674484441215,-0.9889661071394541,-0.15781299689065914,1.6386235597711232,-0.16246151116335636,0.5641547552494618,0.7032571096814613,0.7700948638923583,-0.4609164230514179,1.5847831907831575,0.7840932472775016,-0.43989040368899807,-0.43316426572485695,-0.6013954617675629,1.183416846912926,0.7383634287080064,-0.4020770857443165,-0.011003622835821623,1.2764290070583917,3.2874452596353665,-0.5213970334839203,0.6890925073318634,0.4344945566095878,-0.3617583514529358,1.20476312693319,1.5825604406845266,1.0708705073897375,-1.2010625758938176,0.5189673142769631,-0.7440967952492507,18.132998671500584,0.07360851740298358,-0.7956795509679211,-0.29845800515643034,2.762399355979282,-0.2821171575728872
Alessandro Bastoni,-0.4684415319213257,-0.21459384433901663,-0.277032520527756,-0.6563359312093447,0.06201162989642085,-0.6666311552979358,-0.6036875966987768,-0.5512611262125546,1.2006927873895872,-0.3636831073221238,-0.3067322178572978,-0.4227889081596452,-0.8050194462517415,-0.6266036906158423,1.4521052593042942,-0.2217193495991125,1.011501267800327,-0.4020770857443165,-0.6525068862390364,-0.1745556682655631,0.44437055495418865,0.06681684577557717,0.5209185298408635,-0.8387253686417426,0.7054880495105514,-0.2002768521237528,0.43246989671087427,-0.16212786793277553,-0.7546671273693168,-0.5070150608769387,-0.7440967952492507,18.132998671500584,0.03149042630036658,-0.35893162207556273,-0.631360814681873,0.08951973400943511,0.6772247347355729
Alberto Moreno,-0.34228745806944844,-0.680972375821494,-0.8827938712320987,-0.08519874744623444,0.5908171746257466,-0.2757235383476758,0.8533117787752744,1.6535165259884037,0.24952941453881083,-0.265301337177563,-0.5343723541129805,0.6428268191735015,0.21063703363282252,-1.0375217986732879,0.8982107369884048,-0.31873736377242473,-0.30652642175057915,-0.4020770857443165,-0.05463075794074001,0.12204499931954331,0.392930199525756,1.4624146367405295,-0.5611524137569608,-0.31043996463754187,-0.0805519987245548,-0.8405382249436925,0.019190729407655125,0.0027755065598437344,-0.9112326430536546,0.2295137127960172,1.5135564151670942,14.403297222866392,0.029915973190869347,-0.62633684614602,-0.6319218355376659,0.5047171765590929,-0.08092612982266491
Alessandro Bastoni,0.4989948676050638,-0.2502190581936254,-0.6301516086284366,-1.3037178476861513,0.703508002125891,3.238824421032384,1.167337653432281,0.29539421502801994,-0.9004361921136336,-0.5891343522368437,0.9871320710259527,-0.4227889081596452,-0.8050194462517415,-1.8474053834298918,-0.22295895419105036,-1.4203065866398596,-0.13169219151752812,-0.4020770857443165,-0.6525068862390364,2.22845025959209,0.043169435775419616,-0.5213970334839203,-1.0249594349447444,0.10129898760758894,0.25882350671162846,-0.4744447049290216,-0.06475896775154796,1.851632268271055,-1.1697134685613688,0.6489639096442248,-0.7440967952492507,18.132998671500584,0.05466876744064607,-1.5098032511250956,-1.5282856881922935,1.9334341279739318,0.2011648617221774
Alessandro Bastoni,0.5945952964499246,-0.48341703007672004,-0.0005613436592939387,0.45186087178615897,2.5309451573595725,-0.5930271792974213,0.10789110053396236,0.7032891014341679,0.8291882571689176,-0.17841620756267798,-0.13740728834913987,0.11090464423047461,-0.8050194462517415,-0.2322735557131465,0.33924287451960344,-0.05926041937523669,0.8068855557222004,-0.4020770857443165,-0.6525068862390364,2.3752916951151812,1.1343867012146662,-0.2559423746991234,0.17226756466013096,-0.6420465639770281,0.6758098415661943,-0.5722374510479167,-0.33470745078150155,1.7760785451642114,-0.16566392450894984,-0.1563319727699853,-0.7440967952492507,18.132998671500584,-0.11319375309760801,0.44482697468103277,-0.26443449162720417,0.9418415243097582,0.5033920250966075
Alessandro Bastoni,0.5773252282357838,-0.9266218968240955,-1.1001479827741838,-1.1287975809613353,1.3395883986934207,-0.6152268078310345,-0.38527460513366807,-0.2566644943111972,2.0781643679379056,0.1302352664750011,1.4951809858514293,-0.4227889081596452,-0.8050194462517415,-0.4671163548843297,-0.20946486772370904,-0.14050859985275396,1.1807475472343862,-0.4020770857443165,-0.6525068862390364,1.0307083058695212,1.450895010650538,-0.5213970334839203,-0.7217387109518881,-0.14878601461425672,0.3237696157365153,0.3344953460957921,-0.058788189093817694,1.0698499163298443,-1.222979549281534,-0.6785256129460079,-0.7440967952492507,18.132998671500584,-0.0053178659755762836,-1.2819436661715167,-0.7455154016772059,1.273722452760713,0.4045369273820706
