Player,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,age,player_market_value_euro
Hamari Traoré,78.15929509329648,69.85549412577748,0.4320732550103663,1.5542225293711127,0.06310988251554941,14.588873531444369,4.231554941257774,0.7479267449896337,24.256710435383553,1.3678507256392536,0.30733241188666205,0.36896337249481687,3.107926744989634,0.0,2.9884450587422253,0.36896337249481687,8.952377332411887,1.1168901174844506,0.8741465100207325,1.2431098825155493,0.12474084312370422,0.9936281962681411,0.8726675881133379,0.0,0.0,0.0,0.06310988251554941,0.0,0.0,0.06310988251554941,0.06310988251554941,0.12621976503109883,0.03310988251554941,0.1051831375259157,0.5259156876295784,0.0,0.9974084312370421,0.30733241188666205,34.021603317208026,1.6173324118866619,0.06310988251554941,0.03310988251554941,0.0,0.0,0.0,80.30960608154803,39.95991706979959,76.46219765031098,92.77850725639253,42.979239806496196,1.8662957843814787,19.031174844505873,20.585397373876987,0.6831859018659294,34.52056668970283,0.7494056668970284,14.556876295784383,19.094284727021424,0.0,27.678707671043536,0.6199239806496198,3.107926744989634,0.49370421561852107,0.0,0.0,0.0,0.0,1.4294816862474085,61.14366275051832,3.2356254319281272,2.1803662750518313,154.74564616447822,0.0,0.12474084312370422,0.0,0.12474084312370422,0.9319972356599863,0.12474084312370422,0.12474084312370422,0.0,1.4309606081548032,0.36896337249481687,0.4951831375259157,0.0,0.06310988251554941,10.518313752591569,0.0,39.91997235659986,0.7494056668970284,0.0,46.673324118866624,1.7415549412577744,0.30733241188666205,0.8110366275051832,0.6231859018659295,0.6231859018659295,1.8677747062888737,0.0,8.332453351762267,0.8741465100207325,2.738963372494817,116.68123013130615,530.0462474084312,53.42960608154803,13.74288182446441,1.244588804422944,12.312743607463718,2.6094816862474084,53.42960608154803,27.488721492743608,0.12474084312370422,0.05577747062888736,0.05474084312370422,0.024740843123704212,0.04525915687629579,0.04051831375259157,0.024740843123704212,29.0465753424658,14.914122846632385
Alejandro Balde,30.19117964533539,43.21321511179646,1.6832235929067074,0.7236530454895914,0.14553430994602928,22.605289128758677,4.892779491133384,1.4494919043947574,26.73880570547417,2.2217856592135696,0.7924217424826522,1.401865073245952,0.7506306861989206,3.3999182729375486,7.356752505782574,0.5488103315343099,5.399569005397071,1.5818149575944487,1.0492336160370084,2.452260601387818,0.013221279876638398,1.4225666923670008,1.5403053199691594,0.05005397070161913,0.0,0.014009252120277562,0.1673924441017733,0.057142636854279116,0.02104703161141095,0.30444564379336936,0.1320454895913647,0.2758203546646107,-0.05195759444872784,0.036464919043947566,0.10688126445643793,1.4712929838087894,0.7920007710100231,1.776154973014649,27.3748565921357,2.9073770239013106,0.08351811873554356,-0.06047340015420201,0.47339784117193534,1.2162251349267539,0.0,62.45572089437162,36.68895142636855,65.98885119506554,81.21847340015421,33.02224518118736,6.836323824209716,9.583941403238242,13.299740169622206,1.4014579799537394,20.66515574402467,2.4994163454124902,6.322850424055512,10.844501156515037,0.2515628373168851,28.74063685427911,1.4207355435620665,1.2955134926754048,0.9526676946800309,0.04958442559753277,0.007037779491133385,0.04958442559753277,0.007037779491133385,3.3518141865844253,85.33083191981495,2.4102320740169625,6.259408635312259,104.20992521202776,0.014009252120277562,0.9371195065535851,0.06288974556669236,0.2640092521202776,1.8451888974556667,0.1672821896684657,0.3121218195836546,0.014009252120277562,3.589525057825752,0.09193369313801078,2.2613939861218193,0.4316754047802621,0.7758789514263686,33.90891287586739,0.02166538164996145,43.83585967617579,1.7893361603700848,0.36132459521973787,51.61365458750964,2.1932860447185814,0.3197864302235928,0.9362683114880495,0.9385659213569776,1.2196168080185044,4.110285273708558,0.0699514263685428,0.4573562066306862,2.108231303006939,2.982131071703932,183.15650269853506,344.92029992289895,47.983936777178094,23.926639167309176,2.449693909020817,6.981693909020817,0.860598303777949,47.93389822667694,18.04653508095605,0.22946491904394756,0.3363045489591365,0.0643130300693909,0.1459005397070162,0.1699136468774094,0.19040400925212028,0.18385967617579027,23.5753424657534,17.72753356339242
Alejandro Balde,34.643552228649206,52.37335828513099,1.0677067029601905,0.6128785301122831,0.0,25.432868322558697,4.475032323919701,1.2285233072473631,22.63421231711467,0.979795848928207,0.05890438924804355,1.1362300102075535,3.061922422592719,0.0,0.764076216400136,0.06064988091187479,6.401364409663151,0.5210956107519564,1.197260973120109,2.3261279346716575,0.12517182715209257,1.655069751616196,1.159489622320517,0.0,0.0,0.0,0.09054780537597823,0.0,0.0,0.09054780537597823,0.0,0.0,-0.007363048656005444,0.0,0.0,0.0,0.8892480435522286,0.18582170806396736,32.887264375637976,1.3769547465124194,0.0,-0.007363048656005444,0.12517182715209257,0.0,0.0,80.60751956447771,62.24001361007146,81.91503912895544,87.38356583872067,39.34753317454918,3.922803674719292,14.9733208574345,18.86333106498809,0.75331915617557,31.87969717591017,2.480816604287172,12.435855733242597,16.474807757740727,0.05890438924804355,27.28323579448792,0.3370193943518203,2.421401837359646,0.46219122150391284,0.0,0.09054780537597823,0.0,0.0,1.16,56.65481116025859,2.7883191561755694,2.4763048656005444,156.94306226607688,0.0,0.0,0.0,0.05890438924804355,0.5527390268798911,0.0,0.05890438924804355,0.0,0.6779108540319837,0.5210956107519564,0.27462402177611434,0.0,0.05890438924804355,18.40762164001361,0.0,44.94372235454235,0.8308540319836679,0.21571963252807078,40.09424974481116,2.3312351139843486,0.15681524328002724,1.499145968016332,0.6779108540319837,1.1339741408642396,1.837910854031984,0.05890438924804355,6.06434501531133,0.7324328002722014,3.2131201088805716,114.77278666212996,523.157761143246,51.3840149710786,9.188662810479753,0.18582170806396736,17.700350459339912,4.284828172847908,51.3840149710786,25.351371214698876,0.27636951343994554,0.01,0.03,0.007363048656005444,0.02,0.002636951343994556,0.007363048656005444,23.5753424657534,17.72753356339242
Alejandro Balde,34.169993832236834,52.6576171875,1.0726798930921053,0.5259087171052631,0.06529399671052631,23.87655222039474,4.735306332236842,1.277262541118421,26.302691200657893,2.0158182565789473,0.3518400493421053,0.9355777138157896,2.9956877055921054,0.23981393914473684,3.88665193256579,0.4079625822368421,8.925986842105264,0.8608429276315789,1.0364093338815787,1.973004728618421,0.019572368421052633,0.8972594572368422,1.268502261513158,0.0,0.008939144736842106,0.0,0.111171875,0.0,0.017327302631578948,0.14135176809210528,0.05481291118421053,0.1229029605263158,0.016200657894736844,0.06683285361842105,0.27529296875000003,0.13855674342105265,0.7773129111842104,0.8514751233552631,35.026875,1.8513651315789472,0.05481291118421053,0.016200657894736844,0.07517989309210527,0.027086759868421052,0.017327302631578948,74.15532483552632,37.80238486842105,77.9193050986842,89.08830180921052,44.148425164473686,5.829869449013158,16.338277138157896,19.196733141447368,1.1479744037828947,32.72318976151316,2.18087890625,12.74809724506579,17.088409745065793,0.19544716282894736,31.48103001644737,0.9882319078947369,1.8980787417763156,0.7119407894736842,0.0,0.0,0.0,0.0,2.3886019736842106,85.21982319078947,2.7451480263157895,4.46859683388158,186.07746504934212,0.0,0.24144017269736842,0.026337376644736846,0.13237356085526317,1.3683316200657896,0.07343236019736843,0.14866981907894736,0.0,1.9905849095394736,0.323046875,0.8518523848684211,0.0,0.23200657894736842,26.81517269736842,0.0,48.18955592105263,1.0548715049342106,0.23219058388157895,45.490388569078945,2.0163826069078947,0.21555098684210527,1.324911595394737,0.4811862664473684,1.2001983963815788,2.116858552631579,0.0923427220394737,7.696923314144738,0.9543976151315788,2.7944798519736844,160.0631301398026,530.5437664473684,56.73975431743422,16.237863898026315,1.1582051809210527,18.03219675164474,3.4893811677631574,56.73975431743422,23.12804995888158,0.23149773848684213,0.12206311677631577,0.04634148848684211,0.040414268092105264,0.080078125,0.08079050164473683,0.040414268092105264,23.5753424657534,17.72753356339242
Aihen Muñoz,50.31722393094553,57.99741045738665,1.4825210834408173,1.5192419882924895,0.0439408671495188,22.430052584581805,4.750413731520984,1.0446324040083341,30.888692330588352,1.618243873400139,0.16888977081059628,0.9383807917452127,2.644157158448259,0.009320369084234548,2.895133445778351,0.5265085822006151,11.698078182359362,0.6420795713860502,1.3053556900486156,2.240587359857128,0.0,1.3050610179581308,0.8049350133941859,0.0,0.00875979759896815,0.008403611469391805,0.062080563547971035,0.027201111221351326,0.0,0.10644508383768232,0.0,0.0439408671495188,-0.012395078876872705,0.0,0.0,0.0,0.7762635182061712,0.527469987101895,42.11214306974898,1.026731818632801,0.0,-0.012395078876872705,0.008935410258954262,0.009320369084234548,0.0,73.51916856831035,40.56669312431789,76.88371862287926,88.07753745411252,53.99663061811688,7.573599563448755,21.448055362635184,21.923573767238814,1.0094260343288026,39.7375463835698,3.0533634289115983,16.527823196745707,19.305970830439527,0.18545391407877765,34.47607203095545,0.892552832622284,2.8771584482587556,0.7138476039289613,0.0,0.01790653834705824,0.0,0.0,2.054978668518702,76.35667228891755,3.311499156662367,3.518999900783808,265.7951453517214,0.018535569004861592,0.10590137910506996,0.00875979759896815,0.05320269868042465,1.072018057346959,0.07077190197440222,0.11635281277904554,0.018535569004861592,1.430080365115587,0.3485276317094949,0.3845947018553427,0.0,0.06161325528326223,16.11711479313424,0.0,48.22022025994642,0.8287895624565929,0.13186526441115193,47.77904554023217,2.027579124913186,0.20641730330389924,1.099016767536462,0.7232632205575951,1.269021728346066,1.6787181267982934,0.0,10.795231669808512,0.7856761583490426,2.803263220557595,153.17767834110526,656.8505198928465,64.07832820716341,15.44807818235936,0.617027482885207,19.459028673479512,2.9194513344577833,64.07832820716341,29.64521877170354,0.24106855838872904,0.06902768131759104,0.03080563547971029,0.012395078876872705,0.05337533485464828,0.059126897509673586,0.012395078876872705,28.7150684931507,15.60727002719233
Alejandro Balde,54.67721653126104,59.70428588249146,0.5205545743553515,0.6010644059813964,0.16137525020605203,20.259083951489462,4.620600494524903,0.9002755210173085,41.042591545979036,2.5114670905451546,0.8689556105027669,0.39212998940303784,0.9120864241139762,0.0,2.5457494407158836,0.45546920993759565,7.916328741316379,1.0803650064759214,0.5617214176380548,0.9532238313905569,0.022995407983044863,0.6547474390674674,1.3041445896620747,0.0,0.0,0.0645413870246085,0.32991640174261155,0.0,0.0,0.3917237725185447,0.011637819380666431,0.17301306958671847,-0.02191451783821971,0.01454727422583304,0.0727363711291652,0.0,0.350980807724008,0.8800859531378783,48.87390321441187,1.5985046508889673,0.011637819380666431,-0.02191451783821971,0.09455551630754738,0.0,0.0,87.11398799010951,60.18630636995172,89.60951371717887,92.46086188625928,57.02523725420935,3.115338514070411,20.239611444719184,30.881561285764743,0.848448133757212,49.72114093959732,1.8993641822677498,18.151848581184503,28.568720122453783,0.2337183562934181,46.74256328741316,1.1669139291180972,2.0348145531614272,1.2286141528317436,0.0,0.0,0.0,0.02160485105380902,4.006895090074178,141.00605793006008,3.201574237607441,9.08025903685388,154.6607665135994,0.0,0.06440480395619923,0.011637819380666431,0.25448133757211816,2.02427293064877,0.06330271988696573,0.19147651006711408,0.0,2.608129047450842,0.16971034969975274,0.5281879194630872,0.0,0.09793594725067703,17.428081949841047,0.0,44.40115389144001,1.8452702225362063,0.1493618273872601,37.97673378076063,1.0172436123866715,0.11916519486636054,0.6050088308018369,0.29643117861768514,0.6679147533262687,4.174806311079713,0.07589897562698693,6.750701754385965,1.5891369363004826,1.3687083480513362,255.90432709290005,730.3405333804309,66.61119039208761,23.272045213705404,2.2238784881667257,13.924732132344284,1.708645943718356,66.61119039208761,30.390949016837393,0.0980725303190863,0.15887083480513364,0.05897209466619569,0.03355233721888615,0.12322265395031204,0.12469092193571177,0.03355233721888615,23.5753424657534,17.72753356339242
Alejandro Balde,36.17250673854448,67.49407008086253,0.7788948787061994,0.4355525606469003,0.0,20.112398921832884,2.864070080862534,0.9239622641509434,40.89986522911051,0.8714824797843665,0.19789757412398923,0.9208625336927223,3.250619946091644,0.0,1.8440700808625337,0.2870350404312669,10.189784366576818,0.19789757412398923,1.9405121293800538,2.8613746630727763,0.0,1.8907277628032346,1.4057951482479785,0.0,0.0,0.0,0.09913746630727763,0.0,0.0,0.09913746630727763,0.0,0.0,-0.036172506738544476,0.0,0.0,0.0,1.4521024258760107,0.33641509433962263,55.8911320754717,0.7291374663072776,0.0,-0.036172506738544476,0.09913746630727763,0.0,0.0,85.02345013477088,58.759299191374666,93.544474393531,91.66415094339622,66.17388140161725,9.07177897574124,29.3089218328841,25.133935309973044,1.212533692722372,56.28078167115903,5.336576819407008,27.411644204851754,23.047628032345013,0.09913746630727763,50.944959568733154,1.9435849056603771,4.999002695417791,0.6793800539083558,0.0,0.0493800539083558,0.0,0.0,1.4551752021563344,111.73897574123988,4.949622641509435,1.8899730458221025,293.286846361186,0.0,0.0,0.0,0.0,1.3564150943396225,0.09913746630727763,0.0493800539083558,0.0,1.5011051212938007,0.29358490566037737,0.7287601078167116,0.0,0.0493800539083558,6.172506738544475,0.0,47.96307277628032,0.5346900269541779,0.6828301886792454,43.82749326145552,2.524582210242588,0.14851752021563341,1.4092722371967654,0.9667924528301888,1.6963072776280324,1.114932614555256,0.0987601078167116,8.250026954177898,0.48530997304582213,3.9766846361185983,206.0555525606469,1022.4087331536388,77.04725067385446,11.74024258760108,0.8213477088948786,25.52169811320755,4.173827493261455,77.04725067385446,40.266792452830195,0.19789757412398923,0.0546900269541779,0.04617250673854448,0.036172506738544476,0.05617250673854447,0.0246900269541779,0.036172506738544476,23.5753424657534,17.72753356339242
Alex Král,47.67782857142857,45.92545142857143,1.3172365714285714,1.2246240000000002,0.020827428571428573,18.19795428571429,4.9888,1.091246857142857,20.972093714285716,1.027870857142857,0.18693828571428572,0.6254228571428572,1.70616,0.0,1.1633965714285714,0.1629462857142857,1.3357314285714286,0.9779554285714286,0.5267005714285714,1.1505577142857142,0.0,0.9983954285714287,0.7924114285714287,0.0,0.0,0.0,0.06319200000000001,0.0,0.0,0.06319200000000001,0.01014057142857143,0.030967999999999996,-0.05267542857142857,0.009073142857142858,0.05337142857142857,0.0,0.8419942857142858,0.43276914285714285,28.883762285714283,1.4209497142857141,0.01014057142857143,-0.05267542857142857,0.04998514285714286,0.0,0.010774857142857143,70.88014857142856,47.143931428571435,79.28726857142857,79.1603657142857,30.446108571428574,3.619594285714286,11.244690285714286,13.003169142857143,0.8582799999999999,21.560912,1.7076274285714284,8.887163428571428,10.306052571428571,0.22818057142857145,23.470974857142856,0.45232,2.5193977142857147,0.49143314285714285,0.0,0.0,0.0,0.0,1.4937542857142858,58.834028571428576,3.1383062857142856,2.6743759999999996,104.47234285714285,0.0,0.020354285714285714,0.07278399999999999,0.10037257142857142,1.2971508571428572,0.07416457142857144,0.08163542857142857,0.0,1.6447085714285714,0.3498137142857143,0.9467337142857143,0.0,0.11498857142857144,11.185782857142858,0.0,47.104845714285716,0.8124777142857142,0.19857714285714284,42.90770285714286,1.6370777142857142,0.10437371428571428,0.6558422857142857,0.8743554285714287,1.1219428571428571,1.7084879999999998,0.17763428571428572,0.2357062857142857,0.7311188571428572,2.4790719999999995,124.53920914285715,359.08545371428573,40.60923085714286,9.319096,1.622696,9.625444571428572,2.418536,40.60923085714286,22.297880000000003,0.08095314285714285,0.106344,0.06687085714285715,0.062816,0.05586171428571428,0.045086857142857144,0.062816,35.1917808219178,15.60727002719233
Alexander Sørloth,60.93718840835022,41.859992953404394,2.188731612789571,3.6056469655597643,0.14417334625209197,12.130326785871576,2.62428168765965,0.49170175284065887,18.64590592794856,1.4034915881264864,0.9538218972958689,0.2837708094776711,1.0083502158019906,0.007764467541618956,0.4022020611292169,0.06474500132123667,0.8879908394257026,2.2686444111688537,0.17359112128952703,0.46165594996917114,0.008406588566898616,1.3638712234651633,0.7208623271382014,0.0,0.0,0.023111071963357703,0.18380516163128688,0.08687747731877037,0.0717272967497578,0.3641918435655774,0.6093790187615608,0.7527719545494584,0.1297348718400423,0.2072676825508676,0.48068880472121905,0.0,0.10404474588214568,1.2140200827974983,19.858420681758126,3.368729851140668,0.6093790187615608,0.1360900202589624,0.5944781115123755,0.0,0.0,70.25504271998591,56.12907601515018,72.08899850259843,76.93220294195368,20.951673566458204,0.8078701664758213,5.636007222760504,12.003049414251741,0.49614727384832197,14.696984937901876,0.46038315863648377,4.067799700519686,9.196087377785608,0.20584338941249009,25.69252620452744,0.007764467541618956,0.745666343697701,0.6337021051704396,0.007626178102704131,0.0,0.0,0.03192460142693561,1.9995833700343522,50.26929357878975,1.5764097595349247,5.859233682727033,31.30628820576059,0.0,0.0,0.024802254910596316,0.09538624152206465,1.7660160310050208,0.2924988989694353,0.2858002290143574,0.0,2.468107989077777,0.08602660089844094,2.808112393200035,0.0,1.2036175460230778,42.28210164714172,0.0,48.103858011098396,1.26795824892099,0.024285210957456182,49.118647053642206,0.5076112040870254,0.19952347397163744,0.07105963181537919,0.23863912622214392,0.21478816171936932,2.6316083854487804,0.07928212807187529,0.04795736809653836,1.290767198097419,0.6106896855456707,120.16565136968201,191.39058927155816,33.151868228662025,16.97317977627059,5.430653571743152,2.4567330221086934,1.1557403329516427,33.14424205055932,14.184568836430897,0.11886725975513081,0.6322232009160574,0.17073548841715847,0.4724354796089139,0.10438826741830354,0.1582348277988197,0.47879062802783406,25.3917808219178,17.034386382832476
Pedri,49.95932825086306,43.615664556962024,0.9251999424626006,0.9191110471806674,0.12964470655926352,18.094627445339473,4.892808544303797,1.1586874280782509,31.43302359033372,2.2338003452243957,1.1576819620253165,1.0605581127733026,1.682104430379747,0.019938866513233604,4.091292433831991,0.6483875143843498,7.31287327387802,0.809953250863061,0.8101668584579977,1.8705775316455697,0.01936493095512083,1.559840333716916,0.9989556962025317,0.0,0.0,0.026588751438434987,0.16673978711162254,0.025489067894131183,0.047292146144994246,0.266109752589183,0.09033012082853854,0.2217297180667434,-0.0013521288837744525,0.0727632336018412,0.19958285385500577,0.007046892980437283,1.2753445051783658,1.1064823072497123,37.75066887226698,1.960981012658228,0.09033012082853854,-0.0013521288837744525,0.1539995684695052,0.007019562715765248,0.006021288837744534,72.43847813578827,40.769346950517836,76.07856731875718,85.89462025316456,45.25903121403912,4.222102272727272,14.991764240506328,21.911781501726125,1.5673694620253162,33.167815736478715,1.741536248561565,11.488726265822784,19.004613780207137,0.1935392692750288,34.21589830264672,0.42099539700805527,1.5405336593785959,1.1785076237054086,0.0,0.0,0.0,0.025832134637514385,3.9486982163406217,112.75314513808976,2.6558249424626004,8.278958573072497,163.8232587744534,0.006421173762945915,0.05741369390103567,0.0393915420023015,0.07706487341772152,1.6440599827387803,0.1374316743383199,0.25460299194476416,0.0,2.208383199079402,0.2399036248561565,1.263639240506329,0.0,0.4462154775604143,35.99649741081703,0.0,48.98824079401611,1.3080667433831992,0.16883630609896433,49.36539844649022,1.9809975546605292,0.2775776754890679,1.0625740794016112,0.6388212025316454,1.257870397008055,2.7240427215189875,0.05247626582278481,6.862383486766398,1.364680667433832,3.2555394131185267,209.76284594361334,497.5168066743383,57.83491297468353,20.87422324510932,3.0505480437284236,15.709687859608746,2.7215312140391252,57.83491297468353,21.905680379746837,0.21991944764096663,0.25439298043728426,0.07406573647871117,0.09071202531645571,0.13341700230149597,0.16192750287686997,0.09071202531645571,23.3780821917808,18.420680743952367
