Player,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Carries into Penalty Area,Per90_Clearances,Per90_Crosses into Penalty Area,Per90_Dribblers Tackled,Per90_Errors,Per90_Fouls Drawn,Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Interceptions,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Passes Attempted (Long),Per90_Penalty Kicks Made,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_SCA (Defensive Action),Per90_Shot-Creating Actions,Per90_Shots on Target,Per90_Shots on Target %,Per90_Successful Take-On %,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles Won,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_npxG + xAG,Per90_npxG/Shot,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,age,player_market_value_euro,Shot_Efficiency,Possession_Lost_Ratio,Progressive_Play,Ball_Retention,Set_Piece_Involvement
Abdoulaye Touré,0.931197740630396,-0.6393188569793894,-0.5986158691764119,-0.4641664957063232,-0.46654316273753893,-0.6166470987814571,0.6115262597835628,0.39703197337628177,0.2288687509121044,-0.6947960376919154,-0.722277419049074,-0.935947951201377,-0.862743418121793,-0.6310126308315205,-0.9982548987745694,-0.9249651715742063,-0.9454027837915638,-1.5032613902093974,-1.7648928550781948,0.09969728895126997,-0.9503512201464018,-0.017686217161527223,-0.33514437104524347,-0.40682860552041583,-0.1242462971447348,-0.4090270711950179,-1.0694063864086392,-0.680408255730006,0.8267373771210123,-1.0211738023075352,-1.1514701944903205,-1.0307472223682441,0.6701541477939389,-0.07296744135304742,-0.24286162658366034,-0.6502136363480283,0.5162036960090474,-0.269737854024857,-0.49310000623327016,2.0182270480198468,-0.7939863390467731,-0.10254421039431122,-1.342607538374129,-0.5742821763310823,-1.0852851782914252,0.2492320944603148,-1.0394270849358176,-1.6660997757599567,-0.6176748148391508,-0.9907214642668684,1.27091866230539,14.914122846632385,-1.4793699691020772,-0.7955532919108521,-0.7493404927082462,0.06739943227814484,-0.608891633818034
Abdoulaye Touré,-0.4656414875359224,-0.03399196308650309,0.2603729400532722,2.0614007904001173,1.3965010920500436,-0.752705671626962,-0.5206801662634849,-0.5901489697425641,0.1129684698052489,0.23921377260997073,0.7851164263137806,-0.24671919983667234,-0.3919403765575018,0.10893629216699399,-0.35403011183441757,-0.12514453309279377,-0.38959781891596346,-1.1076008494890934,-1.0392287402564127,0.645331989489109,-0.6513509815424985,-0.6024753682408338,-0.6332741577805087,-0.40682860552041583,-0.16189626198035123,1.9741424293631793,-0.7667677769632902,0.8373244000140357,0.07991080490119247,-0.08322639781856526,-0.2780300571196245,-0.6887365336298782,1.4865985631078504,-0.8731562914098372,0.2331245531488161,-0.19361951988813259,-0.09442129748842598,0.09540083061662234,-0.34132828895944745,-0.6550950918230082,-0.4363688432327935,0.46528804742705404,-0.6128060433725963,-0.4722516304994721,-0.8437948846597333,-0.4000302761825246,-0.6601846809506506,-1.1559976670506829,-0.7064968178666242,-0.025223502290007135,1.27091866230539,14.914122846632385,-0.22436604502335847,-0.10888567244699782,0.27046604584010725,1.4856784090433994,-0.8288843679457891
Abner,0.7202065180311674,-0.35970476459406353,-0.5104911020909225,0.5224303298084498,-0.06659734429498103,-0.22474971953029657,0.27283978698625583,0.8467775874906028,0.7784782840251425,-0.6947960376919154,-1.2724268527146612,-0.16948567201875153,-0.5908564805237353,-0.6310126308315205,-0.3614771862968914,-0.5071441134833251,-0.3050220131937859,0.27603028623107895,0.03761868279734931,-0.15376924062002703,-0.47372942492979175,0.17858376026014955,-0.39642161726294056,0.4014068231592333,0.37647321316290794,-0.4090270711950179,-0.44204823236303764,0.2928721884079923,0.21395847367719983,0.04349797463716734,-0.7613765866545997,-0.4231202674970554,0.09891194575280186,0.509134795481688,0.3995732127039314,0.02242149469311378,0.5835428239871141,0.659268887847236,-0.510272094595423,2.5364631329399994,-0.5385034984362637,0.17814576166817486,-0.8956848582756959,0.460792380521603,-0.3429249239772008,0.08569529410584346,-0.3667181351749542,-0.2206425330030439,0.07912671099727529,-0.6295463538112306,-2.1607917465885675,16.012735135300492,0.12295748089589308,-0.5063513884214864,0.19621809243065275,-0.08895397621677299,0.03847774672480774
Ado Onaiwu,-1.043594146828579,1.987487795120215,1.720940718949159,-0.5371150270104798,-0.9293256323619553,0.12102744615062357,-0.7657386281192642,0.4225527016882182,-1.2164866839891184,-0.6947960376919154,0.11345554273669643,-1.0126684523881402,-0.862743418121793,-0.6310126308315205,-1.1751223683727856,0.8341648237775098,0.3264954936805708,0.527760616021082,0.7371602022468335,-1.5609754736651016,1.0563444218467097,-1.9958240801533123,0.3098107658401539,-0.40682860552041583,-1.469966074404243,-0.4090270711950179,-1.075575189847398,-0.7407278428214975,1.1591051912540673,0.07370163164280928,1.6391659281201332,0.633521034301109,-1.1422383227568333,1.1360632760366565,-1.2561206370816793,-0.6622929215519866,-1.3877932334795937,-1.0354845602731393,-0.31578159577044074,-0.6416460572228697,0.13565442100582675,-1.57170489368405,-0.9135465468073066,0.6255834079201679,0.9932820778805715,-1.1382828393536824,1.2641908287389703,1.339992637996646,-0.23366097648562603,1.6179599717605755,-0.5028040813164335,14.403297222866392,0.2489440129653018,1.39143421481314,-0.7822478146790796,-1.3092598049797737,-1.2117903904489393
Aleksandr Golovin,0.05738104548798613,-0.40807043032829676,0.12339662200169345,-0.024910257599291656,0.680724194172404,-0.17528540037084936,-0.504538938959739,-0.24390989885859984,-0.10023922074266271,-0.33465988669693597,-0.027828860337607977,0.6616159692423144,-0.10397001037364532,0.6367414743974096,0.49507988343219334,0.1756514760546753,0.211737746651527,0.6505420898947064,0.4440555214281155,0.10276872738699323,0.3051572619657244,0.5748561932723805,-0.18810397522630726,-0.40682860552041583,-0.6156811587047791,-0.4090270711950179,1.0749950993823578,0.8555536684304936,-0.48997546748239873,0.08973787555392226,0.21253918502167457,0.5381745438633673,0.9620669063859407,-0.6174659385126842,0.7079408386419651,0.947446174806411,0.11339318147460022,0.749783492599084,0.08657563845290459,-0.4943497533505894,-0.3092601161370061,0.5044576840263093,1.1934141031512882,0.3596955128647892,0.11254931411576653,-0.3980005448897951,0.031849065114211136,0.3270601831150888,-0.02523190191779113,-0.013257456864962849,-0.7898270756236142,17.216707939626428,0.49351404284618067,-0.30849241267099703,1.130425715222769,0.99345363832503,-0.6143469448814405
Aleksandr Golovin,-1.1218715308150065,0.14407538483976526,-0.8215349690933821,-0.23609139591423564,1.120348191668073,-0.057669847017827694,-0.9366888941759061,0.3442040946716927,0.2944549769792212,-0.1725345067037173,0.44551153742811145,0.8925909009561884,1.1803278828832717,0.10452249576072248,0.8336445394970035,0.4880851338613469,0.7037189331555116,0.4458867870049605,0.689123306687422,-0.7550718282971938,0.6615602914116877,-0.0026030444480045693,0.6588103630671689,0.3048752242451324,-0.5089050035334407,-0.4090270711950179,-0.9582679080732397,0.38779556335630144,0.3803223976364634,1.277015648457745,0.4447785021063673,0.010551750079166547,0.3959255785624226,0.060441730444254195,0.5252012991259503,1.9879899525068874,-0.18977150652263639,0.2670844660071256,0.15040740584163756,-0.5378530984858918,-0.19504577965204825,-0.032534453991280333,-0.6277257851260216,1.178735926855269,1.1757628302195724,-0.8080385595036422,0.9958422267115294,0.572143652222944,1.0480752719140054,0.532955037252002,-0.7898270756236142,17.216707939626428,0.259579465977339,0.3116585050146011,0.19701339790539213,0.16624737684426513,-0.2634875990577234
Aleksandr Golovin,0.607419427324689,-0.32799659964148,-0.5263466481916814,0.7862916650608419,-0.0658695063194651,0.04089539162067076,-0.10670509441579808,1.7437943855162679,0.1819835526964182,-0.5560498057806006,-0.10449391426974065,0.03186621508785106,0.2036166901577072,-0.6310126308315205,0.014974088091014325,-0.4891044261960644,-0.3223538237984942,-0.42323019193544176,-0.01170270164969906,-0.30925921301139614,-0.4531509787899846,-0.09214395200261254,-0.14837107178014158,-0.31183837062718955,-0.572733776366042,-0.4090270711950179,0.4108722752560272,0.1897861201552667,-0.6460541909523584,-0.14588806532449528,-0.4244225369922264,0.012859756787212838,-0.22573555281833402,0.3239129509119806,0.1670743073263251,0.725791821147358,0.1900981851428372,-0.15809349143278464,-0.8565397295591222,2.1547875421113187,-0.09300828287869581,-0.04135327271390126,0.6139648498721118,1.0039847354232456,-0.0660457926036846,-0.07610929523391104,-0.3339819609365958,-0.3926402396452642,-0.0721701897361072,-0.4786064839283644,-0.7898270756236142,17.216707939626428,-0.3904665541564846,-0.45132559930079785,0.5174892606406964,-0.4186899675891882,-0.4601572341687895
Aleksandr Golovin,1.1069035919184396,0.1097729542007372,1.9949230543176777,-1.4316107430536151,-1.399683770830722,-0.8492896325243425,2.2406939562253734,-0.9941876982590779,-1.0807883503174849,0.23785612679636708,-1.1092391958699754,-1.2535388502148292,-0.45360457827062334,-0.6310126308315205,-1.2148568984237318,-0.6897529557539988,-0.9206551075149297,-0.5884869679718562,-0.3005822268565118,1.318185825449512,-0.6820371503066779,0.08074660405556855,-0.559646819406425,-0.40682860552041583,0.20681844255424892,-0.4090270711950179,-1.2665909059057436,-1.2880070935982475,-0.7840321713837354,-1.4767121437088406,-0.7762124800191794,-0.17558789285947088,-2.01667899136724,-1.668226528700672,-1.4037591598413508,-1.411096012899975,-0.5888944929627115,-1.2714231437288086,-0.9150229104210581,-0.6163312064791961,-1.1173075179600926,-0.2546334547579823,-1.4490774032312517,-1.4683394948124664,-0.5832820800693622,1.036995885258217,-1.0324105316143766,-0.6742032592554789,-1.0942579975880513,-0.7824177990768764,-0.7898270756236142,17.216707939626428,-0.5442011951995308,-1.1382886905313006,-1.7646164262635304,0.5816423221196809,0.08006630224346206
Hamed Junior Traoré,0.7084362852663152,1.4878947615727922,0.7717760186834104,-0.7439619391926746,-2.2070108512077242,0.7701983363982586,-1.0130934201784476,-0.8030612829882029,-1.652264978446728,-0.03683969791053679,-0.6287432215115929,-0.7024486610335161,0.549873383837036,2.324282778343988,0.22113359306730107,1.1246794753196496,0.7375857062020781,0.42366038998750444,0.1654961987203157,-1.7272336568402742,1.3877437423774253,-2.9799006298873283,5.296121302036874,-0.40682860552041583,-1.5774549502314232,-0.4090270711950179,-2.0202519787491475,-2.0279103061141557,-1.0695670629596723,-0.25570921572919875,2.0202857179547995,0.8356850173330688,-1.1679911136206205,1.0163814013553931,-1.9647151599405481,-0.4725111013362505,-1.6905930587315339,-2.012455920063008,-0.2413567896666998,-0.663100245295786,-0.05479914415172937,-2.106943653127864,-2.1051973905959245,-0.21834379316112118,1.6131577374928965,-1.3317549177082568,1.894930034554084,1.882959571002497,-0.058075697342423724,2.3378588100527584,0.5308755041723603,16.70588231586044,0.22520255120538424,2.137153711170316,-1.769872386379561,-1.427399006694956,-1.2459486258457444
Aleksandr Golovin,-1.217924507743338,-0.6883163675618186,-0.9896411115624456,0.807313746655124,0.9393087074439708,0.8369624077808153,-1.0143521260763724,0.2853691139174353,-0.18435706453155562,-0.6947960376919154,0.36380014941104616,1.2455880649463942,-0.47337152017944156,0.21043064190085226,1.095604773532835,0.5162556695762778,1.000811663332322,0.40976958510493033,0.10178642797423498,-0.10851413159266603,0.6936953191817422,0.9000658670249662,-0.10318084759854175,3.4769748386941113,0.4806873440624579,-0.4090270711950179,0.7259284069462411,1.2260822119688217,0.25934167514236856,1.7674125476209808,0.9157977618061288,0.6449993829665354,0.9212614641846117,-0.5634325219999049,0.43804609619573376,1.5672253176030086,-0.6535678498468656,0.4090370013508829,1.6042011564886967,-0.5189230328493496,-0.11928401318870559,0.23041340290730836,1.0254801032099974,1.4837623426362394,0.26295692294033457,-0.9185016855679701,0.9495099844511257,-0.02123749310409642,1.459368523519716,0.23465926583922736,-0.7898270756236142,17.216707939626428,0.2819579334023347,0.03882796393146096,1.6757331101511734,0.9110736538782338,1.9856536785784957
