Player,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Blocks,Per90_Carries,Per90_Challenges Lost,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Fouls Committed,Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_Goal-Creating Actions,Per90_Goals + Assists,Per90_Goals/Shot on Target,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes into Final Third,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_SCA (Defensive Action),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Successful Take-On %,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles (Mid 3rd),Per90_Through Balls,Per90_Throw-ins Taken,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches (Att Pen),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xG: Expected Goals,age,player_market_value_euro,Finishing_Efficiency,Assist_Efficiency,Shot_Efficiency,Progressive_Play,Ball_Retention
Aaron Cresswell,0.5466625846793375,-0.4482768516953419,-0.3542064018241279,-0.03773983385031411,-0.7979391870582051,1.2774298563140298,2.5793810280334495,-1.559343252736441,-0.5782518392693885,-0.6951243724568086,-0.4899098062102884,-0.32235645458684636,-0.5233619267507617,-0.11486348213818351,0.17499212420784255,-0.5612595043324926,-0.40242083460645106,-1.109783079465559,0.7483528838306307,2.143356927886429,0.07044893900872638,0.7472137438237219,-0.6548146849368314,0.7451038715584283,-0.37225233717105893,-0.9467189488557366,-0.5696081552317444,-0.6710399212497534,2.304096793798272,-0.9706873365002863,-1.340663811096381,-1.2976827642622963,0.17428378694577104,1.8548224134837556,-0.6566810577265507,-0.8220199433347962,2.1368687629788505,-0.6831995642731185,0.48922461170023257,-1.0184365654530074,-0.3634095986842165,-0.6111722201513642,-1.2307968454374978,-0.890265112887398,-0.8561622140086358,2.1472193406530096,13.458835614025542,0.0006557393747890508,0.08852986515568961,-0.5175224372967776,0.23607260324845247,-1.3328462892805486
Aaron Wan-Bissaka,2.0425572786429087,-0.48048298939085166,0.9119774143200138,-0.20603788245080232,-1.1426643476168916,0.4330692658143757,1.5302670925509048,-0.9034041640896767,-0.7803219545427246,-0.38425714045154896,-0.23297491906999698,-0.5896703173369708,-0.7661132376943347,-0.5028735114503606,0.005106150744117834,-0.635915695089656,0.23981586900321772,-1.0746312402595564,0.5852973345995154,-0.47521970782281275,-0.1791452598289202,-0.13994803036658915,0.06306657624988164,0.058896123737104344,-0.07818628481470116,-0.2035982323099881,-0.36610683679629136,-0.9989525944387494,-0.4871416785180818,-1.0563310856346986,-0.8233787943372679,0.6165627200035239,-0.9603673899523096,-0.44233727570154235,0.9253194924098508,-0.7000148724964614,2.1666924448338056,-0.07989849105193635,-0.15617696069393175,-0.7417277247086658,-0.65712079003778,-0.9549160586031321,-0.4666314197499769,-0.9117743613344536,-0.8751234982666528,0.13553068702542134,16.90655301132259,1.5184907510904626,0.23130278581987865,-0.14975387346512678,0.28344107901258836,0.5297599450267763
Abdoulaye Doucouré,-0.8863247615561651,-0.24713284560253837,-0.14205173516637842,-0.25002284910173167,0.8113560802091181,-0.8101655144652704,-0.8928159953801965,0.4798050931027126,-0.7803219545427246,-0.3985929584937085,0.2940085598802072,-0.48132092656523584,-0.27671444670006123,0.19131301103795764,-0.2534027006472886,0.3275314175673724,0.23960515415453804,0.7065549769677621,-0.24918649174717772,-0.1385832849395888,-0.3109094991651835,-0.13480908962886715,-0.5505732932458961,0.24391862909557344,-0.4217854168742969,0.6446371360350251,0.25646936611696297,-0.15321018672955128,-0.4871416785180818,-0.22734281653424773,-0.03787656975421538,0.6061371914688746,-0.579184942312399,-0.10680302282422423,0.528703384930241,-0.6254648801654891,-0.6531402732052767,-0.626775863819303,-0.26193066207227467,-0.23307379030663963,0.45321197199769064,-0.184075319599219,0.4636570668195456,-0.07688726609648057,-0.13913629838268016,1.3761066957602646,15.89495209964411,-0.18815047482856673,0.2556922590167634,0.031854586468515876,-0.03125267665368924,0.5522077361360047
Issahaku Fatawu,0.7381460577843169,-0.16522831351414538,0.5652868308904362,0.13400816881035768,-0.03110025883223658,2.643015750375301,-0.5243935990977958,0.7735906638972853,0.4601072504704332,3.060228604688571,0.5429416877880371,2.3344353023220616,1.26357025625159,0.43046222010791174,0.42043668253093125,0.6528776145508685,-1.0637958521743518,-0.5029220380107935,-0.7259564627075777,-1.474541615878728,-0.28225318313575803,-1.0457971846651843,1.1140383416938642,-0.2547555468225687,2.376527736641256,-0.2727742294299799,1.2715287789283762,-0.015406585358698146,-0.4871416785180818,0.18566627654403955,-0.7922874575792562,-0.3656332596902881,1.0456454956584094,0.22614238170475756,-0.5743957098954475,0.8952221682033956,-0.3536014302792889,1.1528344945646332,-0.5568615428583633,1.3061695622026381,-0.7535348163233562,1.1498300074162848,-1.0877217522972487,-0.05177063982685113,-0.11699496269291512,-1.45384897313123,16.38045991542581,0.049392523649629434,0.12286306424468281,-0.5260463532738467,1.0840813924874857,-0.4905463330176143
Adam Wharton,-1.421591783788085,-0.6297581748816945,-1.2192623423949582,-1.2277607888985251,-0.9115503961465957,0.07462205194628796,-0.598636234075524,-0.48925377064609954,-0.27250388708083784,0.277593300200206,2.7681231073226953,0.40008789593455873,1.1971031359185407,-0.16655561496425894,-0.4542064556099566,1.794434654892238,-0.4958991763367811,-0.6334398158915222,-0.266136320708116,-0.5239489014804937,-1.1510832316316537,-1.254244712063848,-0.9072613380821132,-1.0548986870241257,1.1049619068096843,-0.4129532586299381,-0.06341199191759984,1.21787529047636,0.25835711791076993,1.8396435830600293,0.8773282159257436,-1.1914908969258187,-0.41047367542716373,1.4776768485276783,-1.2004102890414894,-0.28356057329196027,-0.5229722641262766,-0.8022633644916531,-1.1781943490611295,1.318478525778104,-1.0828737763030238,1.0987750880021383,0.33211346894833493,1.3849054945920356,1.559214343289186,0.335936761102764,17.281246460764002,-0.2295923091229694,0.3193086211471276,0.4022686927976917,-0.5728427453774431,-1.2046881719712603
Adam Lallana,-2.048991913650386,-0.5446400414434427,-0.749912219761191,0.2328683624820746,1.2019730332097012,-0.2846133053434825,-0.7393564929160744,-0.6743226790342782,-0.22587424205821452,0.3431447458256415,-0.9618791968953386,-0.1886032561330435,-0.6334853890928134,-1.3826195365286542,-0.6902377176710057,-0.36471170201577835,0.9449197627378865,0.5653417272515786,0.6215109848904098,0.3241316846032359,0.8104431543727649,0.13677045383681302,-0.7729340168391803,0.7298272154153581,0.05116097423876911,-1.2550110330683881,0.9504383459054402,-0.9323606547178507,-0.4871416785180818,-0.5851659859385238,-0.8867993396577697,0.0347702980514445,-0.8962072924144809,0.3721123455751798,0.07501619632903601,0.03728293956202089,-0.6132104561363454,-0.6750905081940615,-0.1519630581543227,0.41735233396222926,-0.0156940645147385,-0.2953235000452447,-0.7179444870664446,-0.5167658508190153,-0.5269073032352393,2.5521921685463274,13.710150042306449,-0.07218356686342325,-0.5585203929437393,-1.0688925877253128,0.26504574474221093,0.040435669438207554
Adam Smith,0.1828692723029977,-0.3081094450338969,-0.12691467707969,-0.6080104916249969,0.24128893110225447,0.6034497122437139,1.7050966882908225,-0.12372859805668766,-0.26450736050249773,-0.5411958744507217,-0.9618791968953386,-0.7411544595182086,-0.9233885524864907,-1.1034307898453486,-0.3919999276582372,-0.6363922466908566,-0.052308954865349144,-1.2490229139575004,0.4427891257041756,-0.6179884904179719,-0.820215715183327,-0.2089864261748068,-0.419523899195323,-0.1928268239613271,-0.44654804115322605,-0.5724941892141897,-0.7379316903467608,-1.118193269228935,-0.4871416785180818,-1.0853346750135933,-1.411794630849131,-1.145508515726271,-0.8089918811259705,0.9825054193719632,-0.4476884440357166,-0.8535792656707127,2.162383688320454,-0.522839248847094,-0.2384144504425187,-0.8332866268640635,0.9425736990826268,-0.9900741440756197,1.2655840302571049,-0.8969218246640112,-0.862030378325522,1.8004960291005165,13.815510557964274,-0.060226203030898755,0.005059233784679648,-1.1873375259339805,-0.17702399041314487,-0.8554600834451991
Adam Webster,0.2085765211819607,0.35754568232651734,0.7960411541999698,1.3404427182414256,-0.7964113968680883,-0.893913883052155,-0.36702234012057877,-0.9179994901677321,-0.7803219545427246,-1.2185372054362174,-0.701578098922364,-1.2875463236174418,-0.973906062847237,0.28538041207517323,-0.043917412055281026,-0.7311365371903144,0.45385602154633603,0.2581937396859138,0.07761032013978436,-0.3764967842301857,1.2562819852894462,1.1951461753728676,2.429442689996457,0.9530100027319061,-1.2360782215875807,-0.3935704786503804,-0.9109072873577225,-0.9148826415995488,-0.4871416785180818,-0.8173380062515936,-0.7546878442951749,1.172969069449645,1.6177442420593513,-0.7554978215496663,-0.8321827180883109,-0.8279783432512056,-0.34441518140193506,1.688959455024492,1.6025722111497553,-0.7018202800895393,-0.454581921606587,-0.9503924757532548,-0.19438607688680737,-0.6494603871277663,-0.643882976682369,0.8678103210242986,16.300417207752275,-0.3778192457193206,-1.1934731954778557,-0.368016648160619,0.3813503976194365,1.7148989564112713
Adam Wharton,-0.235227421059925,-0.43385583815373724,0.274196848222101,-0.19748018789572153,2.4816660746432784,-0.1064983550552612,-0.29232873950728083,0.005284602968056408,-0.7803219545427246,0.5187716275994234,-0.9618791968953386,-0.013942688242383582,-0.4195317229919343,-0.699724755524096,0.25090033556818164,-0.7450330886789802,0.14857242723925895,0.18512110471047538,0.1443412959254123,3.153810183034544,0.10475406751272641,1.038529228716874,-0.7904547116420729,1.6474112971717048,-0.8932110120462446,1.031845121239863,0.8105308789896849,-0.8914376297662212,-0.3016057756231677,-0.5381660776199539,-0.24911435472054147,-1.2848995742005718,-0.3142698493279353,0.2538722633634236,1.5909174756535593,1.66881023139978,-0.6285252829898493,-0.9644669087617247,0.3157163155224237,-1.0428329144026864,-0.6031017797583378,-0.5033576678728862,-1.5110041532066898,-0.8123603754211514,-0.7874859942987891,-1.4330455744380843,17.281246460764002,-0.0010271293467213488,0.004250824324300433,-0.7792002780883018,0.7079633673600262,-1.2343035823478383
Adama Traoré,-0.005507150737084864,0.43256475035576564,-1.4561580254334618,-0.3215307139541413,-1.061119982486613,3.314060746467103,-0.8473512763710352,0.477018879283047,-0.00653491342058643,0.2322327520101267,0.3666418508349893,0.19175004594764514,0.10788685197661456,-0.28371184636376506,-0.6995305454326535,0.41211169760861943,-1.5079505924228427,-0.5192821084042191,-1.188538920361387,-1.238240758629137,-0.41331247097089935,-0.9736810898138414,2.148107344322348,-0.7072404698907733,1.2369980777381229,0.5820042834271373,1.0937430065781024,-0.07107413655955813,-0.4871416785180818,0.11712490090139384,0.06553757358410034,1.17945617705483,-0.9223649501426716,-1.0661184683123368,-0.9382820518097087,0.27730926109806386,-0.37639021103590575,2.101873073955232,-1.0869500253878144,0.7016031651992612,-0.7736964946577243,0.4950726414309128,-0.13254288247925675,0.045858193653051514,-0.030931143775782016,0.6001399245057796,16.11809565095832,-0.10077925995627017,-0.21286824696176254,-0.4728441809422537,1.8143996721331046,1.2979540393997733
