Player,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,player_market_value_euro
Aaron Cresswell,2.5962727537287233,2.24312558136142,-3.062761227754411,8.325374411070802,-2.545198489478667,0.6898900846971348,-0.41006675180619095,-0.20976404090058193,-0.10779391821177253,0.4234446788059724,0.03517700132841527,1.6566805860587346,1.579965277487574,0.4414984155861391,-0.3937912527575792,-0.442248510028998,-0.7144690196072884,-0.36203390162788857,-0.08035574700381205,0.4871889772510519,0.3990839650543527,-0.1879804798982223,0.839335360831351,0.8541895247716823,-0.3261195223892841,0.49198376039231717,-0.18631301526117172,-2.1077026493143194,0.7971271948172738,-0.2609212798101447,-1.160996073929239,-1.0634597788142681,0.47624002978183844,-0.44745142906133445,0.6363325433441945,-0.11210468370926857,-0.015411079419371096,700000.0
Aaron Wan-Bissaka,3.443151432117782,-1.2286611741919693,-3.594963911828892,-3.7598610333767613,-0.04229339116897589,1.133622628362751,-0.6308764274212836,0.1350820476064829,0.36297365131027853,-0.24575103996360217,-0.6137087836790424,1.244990409208531,-1.6136687154567892,1.214116212587019,2.400094757736632,0.869503699306821,-1.7394459476197448,-0.2548020185519282,-0.24672907244520076,0.9290593373116943,-0.29904282676233973,0.0916138809868887,0.2202088860385085,-1.0437179718181557,-0.6757251587835768,1.4581954942858217,-1.0461201862526033,0.39609874862770045,1.7517662074820164,-0.1295726517414168,-1.2495741878418742,-0.651808254585056,0.1863589221035221,-0.02807705733568171,-0.7816613105226567,-0.580930113434228,-0.1866043201488543,22000000.0
Adam Smith,2.7324754640429156,-3.887080474567732,-3.1294587078278076,-0.723920538962409,-2.4096910608093576,0.1642149034493516,0.09795075570275806,0.3918056203134896,0.5297838548955369,0.8298469123333416,0.9131529852322439,-0.4563936424590704,1.4210607509693682,0.7025486623430572,-0.2459516932446636,-0.6990967978642367,0.4326613081075403,1.1941585877829275,-0.7992798950740696,-1.026171067776111,-0.7641767832458228,0.7904600993266255,0.4437270913143096,0.480815464313288,-0.47500727279598814,-0.6261659512114417,1.7597934156074497,-1.0885874869377021,0.04549656337131198,-0.7844096854831105,0.8577820388398846,-0.8539432546338726,-0.06894157130782322,-0.3601637355599193,-0.04353816305153155,0.44568420814993914,0.10125661081957377,1000000.0
Adam Webster,-6.249375425331893,3.025655363177409,2.0310992926884,0.5080617157694064,0.8201999772805612,-1.3556057725346495,-2.0262756812154628,-0.5183562320120133,-0.7283377622060043,1.1383874167207266,-1.2959620858076928,-1.3063417639777386,0.30668638934098363,-1.2167961325993684,-0.33323775565663405,1.5442828440858798,0.154303808274723,0.9492529438729268,-1.461113281239139,-0.5013651709611574,-0.22992899640064107,0.29941979889110554,-0.5230205788565314,0.10176895651603536,0.5802149011675787,0.8714427019171608,0.19171174655690137,-0.05228572029980117,-0.03219945531611352,-0.667061997081268,0.005344335198951445,-0.8490007969341864,-0.2512360442977859,0.5246905581360144,-0.15752196667126747,0.6172975922610827,-0.26529048741319683,12000000.0
André,-7.033841339087275,-2.2324792556815374,0.3194718307882236,-0.12599678344604,-1.508763462168669,0.24782585823153822,1.166294529079594,-0.6301267625897256,0.11392211889180189,-2.0642437382599836,-2.427348649004882,-1.246866759787291,0.334671245191764,1.976429134098126,-1.2397595677005282,0.1616949561011179,0.2519399013601562,0.24059762275714383,0.035172799429458924,0.632095472653404,-0.6250159799549497,0.9497438572071077,-0.9298107238850486,1.4164857521902792,0.5612612448323806,0.23071583516360594,0.05568529218066853,-0.5231190942638644,0.7402041180046219,0.37597311828123464,-0.3978680048643203,0.4252144189449452,-0.11481443172017332,1.2734074651623724,0.1477130498573561,-0.21392588060840073,1.0628196916263117,25000000.0
Andrew Robertson,5.573966421850016,9.856565205125277,-0.6496159650690637,4.031754308876292,-2.9782203204120856,1.6962137415549363,0.29593513744989275,1.421264608699941,0.6781089232151214,0.49347866462571327,-0.6983120894289958,-0.728164993672713,-0.7609895608431088,-0.8720493731992159,0.10681042808593025,1.60385290889071,0.024399796364955578,0.3174345692964191,-1.0219065821911621,-0.16255823383936407,-1.4046625337706928,-0.8390996118588565,1.5624250080814042,-0.670294464968513,-0.5559338651348439,-0.4350444471071473,-0.7671540176872431,-1.1654292462207148,-0.10184152350926517,-0.40836617635885125,1.040484136318884,-0.7464403552860531,0.1127493285440217,0.6231349558667174,-0.75020801504999,0.29854719806231833,-0.08854293932719053,25000000.0
Archie Gray,0.47922569435086393,-0.9224708961177223,-3.163600164873004,-2.543928218750184,-3.991674498270169,0.8852020334507193,0.5742029867850079,0.28392186878769454,-2.252156903819758,-2.236866292996265,-0.3102887080493678,1.2468269310233644,-0.39677971995914785,-0.22797412821042068,-0.9475710995481699,-0.09392354864701327,-1.495123813305168,-1.4184810576996758,0.39311222600311946,0.49334766131850066,0.5078869028017607,0.676705344013843,-0.20011366951828802,-1.3475092192308527,0.15357070619760177,-0.037991057921645886,-0.5147875695224633,0.6826826648744784,-1.0675380035790536,-1.0455124662418782,1.1545317776490842,0.6830301535135457,0.557608654799699,-1.1019211830012192,0.7815281928526101,1.249485735697546,0.01920438472482151,25000000.0
Armel Bella-Kotchap,-4.278343355011199,-5.3027948624137675,-1.0185399387963021,0.8052183511769991,1.909265595125508,-2.070059732303999,-0.5552260166436666,-0.23395457104990294,1.4672095124846338,-1.0876453792055376,-0.9320153861484569,-0.39944427946644284,0.25651651600376835,-0.3484914374673721,1.0727995129063954,-0.9402071980273197,-0.08337827879347741,-1.3443866843275163,-0.003229492527696476,-0.2638744964322723,-0.4048560163998253,1.1766948383889255,0.08477608432564426,1.027617173412919,-0.3070363374942506,1.869491033026302,-1.0800558654904238,0.6120149648095542,-0.2870171123575268,-0.24404043177358326,0.43660533116055816,-0.8868712612695283,-0.17235178991449068,0.4215600885097449,0.3594968751113626,0.19329694803554598,0.177301690108831,12000000.0
Ashley Young,5.28033735927944,0.06592614991260203,-2.8539639777172017,4.355411093361603,-0.49935428757381073,-0.30502347748312875,1.4270025152960768,-2.101401365341764,1.2149150372459545,1.1761870192168662,0.721735582938397,3.3223667152338936,2.4340351469245025,-0.5879638696500953,-1.607166351873353,-0.33720169595475097,-0.6069660712787717,0.41781308782768656,0.5678516201927893,-1.056399178154783,1.7237302216879917,1.229270123445645,0.4601378864985657,0.5272673092368846,0.33319181606732584,0.015115808915558877,1.6042606041289011,2.4480235365524114,2.465614766312331,0.12158689435768161,-0.06834305274841088,1.0636396211736137,0.8919723412694134,0.3291583218370798,-0.9658634065885064,-0.3205501795123267,-0.35115410511709866,500000.0
Axel Disasi,-5.252512407859715,1.8491307398716796,3.1350617892415067,0.20524280129029623,0.3986381490127035,-0.00677357587030672,0.9325764575674363,-1.1887563525773728,-1.433085137935509,-0.6308691792398372,2.1615095458048694,-0.2990371555539203,0.013558495941726463,0.12605373720783253,1.0175112269718551,0.3541807051484183,-0.009735674023915522,1.927377582879673,-0.30236853840861994,-1.0888340434124366,-0.5160564737792958,1.1533207496180196,0.6049416959344456,-0.4091429658080878,0.9777749183720921,0.36068037113535395,-0.7971830852676618,-0.6452496469080964,0.530734584083543,-0.8193457456892606,0.163888231828271,0.4824562547847403,-0.28418956211404245,0.10806117398689648,-0.15944662231227896,0.8225882087576578,-0.18516535891919061,30000000.0
