Player,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22,PCA_23,PCA_24,PCA_25,PCA_26,PCA_27,PCA_28,PCA_29,PCA_30,PCA_31,PCA_32,PCA_33,PCA_34,PCA_35,PCA_36,PCA_37,PCA_38,player_market_value_euro
Abdoulaye Doucouré,1.7654179773052117,-2.284858954544245,-1.1427245589429194,-1.3768712047493679,1.1968006658478891,-1.034046064710245,-0.3885778177229074,-0.9599918467611968,-1.0230833279508202,0.5336366796009476,0.6841033468653281,-1.177200776966096,0.02527522333940127,1.0167653681890578,-0.2554380578193452,-0.10026547440462676,-0.48923884779753873,1.8618832526545457,1.0750931753566724,0.1369656624619506,0.754137721826047,-0.6970713221906553,-0.24637924273910788,-0.3808153723389365,0.09938610483234564,1.1007173701646038,0.4398449827549173,-0.20945194013431365,-0.06762786871456557,0.4551735397127814,0.08191617567343745,0.21893820623729804,0.22464506826574923,-0.23969759679580982,0.48323527493806784,0.3341350340927564,0.4198634011405246,0.22032929130575224,8000000.0
Adam Lallana,2.6778711334224345,-0.04482668652794219,-1.2954836267695427,-1.2928546076090526,-0.4585263485605224,-0.8513823987485041,-1.8232312428795718,-0.7837075679225647,0.40894839167077013,-1.3892008899045336,1.4604060730874548,-2.0990634884893677,-0.7721810837801201,2.271074241657175,-0.7110170855817367,0.0861234503390797,-1.9462695217985182,0.878171551422054,-0.29456902744111385,-0.025844542671444464,-1.0740695575617074,-1.5830282600338108,0.4487915653598856,0.49235459520968666,-0.5028207747966983,0.24033721232213034,-0.8872499119805983,0.043275196965962937,0.22455447004296827,1.0124010861155834,-0.6242183200290319,-0.05185705695698657,0.22441941793707382,-1.2471066090205287,-0.3225641353222264,-0.7448298993133884,-0.21819723659549284,0.6102316081106969,900000.0
Adam Wharton,4.387843989512672,0.98777108612004,2.907020849234959,1.9382516049541403,-1.0473451770948337,-2.7040935930246213,0.48458481245774665,0.6275520623060233,0.5431327204829168,0.18963332858373233,-0.555065985203249,-1.7895539331088728,0.2896186895695685,-0.5510671912645062,1.256220662525994,0.829919308449294,0.07790728361255413,-0.6633548543172696,-0.04384161395532713,-0.9041301863130347,-0.8536401550603584,1.0532280778977654,0.16264166359708024,0.5353042802642676,-1.3189738501094808,1.3983476374334327,-0.3910612070914632,0.427911238217382,-0.3237929969192011,-0.4578655416085945,0.08473501000048313,0.30998981445381435,0.006906881384325537,0.5917221938435907,0.9874653949501142,-0.7911068576451792,-0.2570248523570986,-0.40224006898796705,32000000.0
Alex Iwobi,-1.8134554863445804,-1.2296195636733336,0.4337915286762482,-0.7930146104070352,-2.0105603373487817,-0.9711694702979725,-2.2268770378022187,0.5230798579755939,-1.532881662223474,0.5773622519826629,1.5385524444404322,-2.616734443680781,0.008548080906896629,-0.6722995132216357,-0.14922629952804034,0.34493923123191284,-1.9094839156317482,-0.6699219645623685,0.15430314128086683,-1.4673179712872733,0.63566752611725,0.5382461562135282,-0.16930593947741113,-0.07591344031835305,-0.34931875864861417,1.0537432617709128,0.24433887026055645,-0.986654661553647,0.8226826680565115,0.195387124120157,-0.5284934738760825,-0.5839944289961599,0.10250832098161301,0.445333354182742,-0.1392842467852692,0.03260613366419815,0.1884792309301504,-0.573275011131555,25000000.0
Alex Scott,0.10045038145862853,-2.466971471632775,3.3607807080436887,1.1073340229676434,-1.5288326335074585,-0.2614564905573977,0.2480991642097963,1.3353407884214474,0.2637671440320367,-0.5705382740223779,-0.7809258508285227,0.23928848261933688,-0.8023287974402561,-0.007491019372240049,-0.05592305484882168,0.3022039606126215,0.4414112211541731,-0.6968322510518964,0.01061655464927713,0.6272114314239544,-0.13451475561019255,0.16851573273706522,0.3552239604138182,0.6113428922976428,-0.3674585937920443,-0.41846017450969475,-0.05997438100018388,0.0007296987898654861,-0.251104144241901,0.05447018228434306,0.9125775965193849,0.41831652795339985,-1.4362438601328364,-0.7828521562929964,0.8517542034334262,-0.4872395945199721,-0.5004492304931126,-0.5742792116199572,20000000.0
Alexis Mac Allister,1.7884597001069504,2.9658742500220505,0.6847849743728517,3.436117767236429,1.4272609950699466,-1.4011155469493313,1.0590716166533207,-0.5754080812158692,1.635930474654686,-1.1896293587056876,1.5074451763603012,-1.18759412674888,0.4334082413159968,0.19638112173153766,-0.05613659929062311,-0.4390454795186728,0.6329810584126916,0.005072701429876001,0.2946410362073182,0.9879240879872321,0.9173340642523067,0.028381423036302537,-0.29728832149450607,0.00952272267852501,-0.8412729516823996,-0.3541662711348472,1.0088045503448062,-0.2914303582843241,0.7782354308479272,0.11472220708789585,0.39152224608642205,0.31036309983796323,-0.27351252579588065,0.8339274567493455,-0.3843643235157542,-0.5724123372227694,-0.24120991054535354,0.031570391819720586,80000000.0
Alfie Devine,-3.0757672053786047,-2.7758412240075896,-0.2491742220923267,-3.194520540081466,-1.5114918856275938,-0.35823210544528744,1.5000077640368568,-0.053504785423566334,0.3474624742596205,-2.726444410539571,-0.1310829950744032,-1.7877642704296963,-0.6120557796010777,-4.079392608838693,1.453069547613003,-2.662144466050588,1.7662069145994028,-2.089614717770378,-0.10197284615664241,-0.29521286135683034,0.41648880111073305,2.2554882259362983,-0.5213918548077404,-0.6009398316738124,0.23730295005300064,2.0419611112253926,1.3939929046091797,0.7197160991476167,-1.18021363438364,-1.5906726313096198,-0.9083625296432551,-0.05352066679390441,0.5528453892785837,0.4165311427219473,0.968308817166752,-0.8878043955905294,0.1927430088343896,0.46781911745880606,0.0
Amadou Onana,4.443571010341632,-4.558237089630726,-0.8195721017717554,-0.9925669512510992,0.8404048766300759,0.26459194706561057,1.269499086141763,-0.6813480159062595,0.011575918147275486,-0.1481439410331327,-1.51659742931081,0.685809730106542,0.7689522259487819,-0.5368985407793289,-0.4065194883278514,-0.8346254709436003,2.0618525499313023,-0.6733106738163553,-0.6274653683247485,-0.8966686054440546,0.33277264808609247,0.2749483286482679,0.6167398290437748,0.16218788291216488,-0.6387137358169713,0.9429918022717686,-0.825587733559554,-1.0209151694479857,-0.07189884643941777,0.21992260689654158,-0.730517407490192,0.5310577628962903,0.9228443694509377,0.5949457300819584,0.02336836536784519,0.023967483483721422,-0.4245018324317361,0.21807343266165863,55000000.0
Andreas Pereira,-1.9055526368432303,3.891735660048439,4.496209777713058,-0.5275399277347596,-1.4334265695695885,1.0424553982858225,2.1727714061069583,-0.04581890811927628,-0.9636877538263411,-0.2559101881087337,-0.3654175718164508,-0.7574278094499969,-1.54749234997367,0.47775502665299924,-0.5663860309664649,-0.16375965380281884,0.1356848476943991,1.4317415317368132,0.3328821940398725,-1.070597497184847,-0.027685110317721175,-0.6737991935291329,0.9561337137608837,0.48114454229120357,0.1933167844745116,-0.43527620149564816,1.2371631269934111,0.06803385822304628,-0.35335136729763406,-0.5325246670539829,-0.41652704772625,1.002081366259708,0.07870983821817568,0.06023684632639695,-0.8781732988060063,-0.3596558005187727,0.5202015782107177,-0.8886516094018335,20000000.0
André,9.643124785781586,2.2229732689549877,-3.118475287974937,-1.5024131804422514,-2.036691105495489,1.7380102297802285,0.14153524800466025,-1.0457875227306284,-0.017318669587633083,-0.7491940942549221,-0.0034526081720878603,1.7098448890173075,-0.039645400717362396,-0.3445505655073113,1.2432739149038874,0.9990782659812268,-1.06144836645474,0.07349393624391268,0.26940594348612884,0.325102113347864,-0.019388634083420658,-0.16239635767960098,-1.2633223441668904,-0.30037927045218615,1.3320225485855663,-0.9476056354727567,-0.56976357097931,0.42870992969617044,-0.14870555680501085,-0.02143563130718145,0.24270193402920595,0.1445150548501091,-1.1854937253187767,0.4092932853840747,0.6411365821782933,0.45819638251094336,-0.6143193472564122,-0.41850924735931055,25000000.0
