Player,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,Finishing_Efficiency,Assist_Efficiency,Shot_Efficiency,Pass_Efficiency,Possession_Lost_Ratio,Progressive_Play,Ball_Retention,Set_Piece_Involvement,age,player_market_value_euro
Aaron Cresswell,53.74489737250618,54.47805438969701,1.0505778186626802,1.2327764043005807,0.12607600758926005,23.713051227505318,5.019972977634681,1.0034628873684817,33.07136951647214,1.2593905594204564,0.07904789283044904,0.5086943023055253,2.4796814810555974,5.077946300235727,0.4337762318173979,11.90240211579371,0.3218208474673719,0.575176220318519,1.083088598861611,0.02720404760535848,0.4348703501408613,0.4392968435577531,0.09776864255735067,0.0,0.005467716897602484,0.10981429310642213,0.010935433795204967,0.0,0.22222158339561895,0.037287989421031446,0.1615994940493302,0.07337262116943598,0.2672540677283965,0.5950014373598574,1.1298298165928822,1.221585120450756,47.76478755821307,0.4905933421491404,0.037287989421031446,0.00861151037773817,0.058932904041855916,0.9667665152647618,0.0,75.51316621629391,44.33515207267292,79.47087333984936,90.67089633760708,10.043416316909102,21.211228655206117,25.562540102340023,1.0429350888288391,4.418539067440924,16.957397228770194,23.217612257804863,0.3358805266486517,39.40220088541367,4.151306272638418,0.7776979244523659,0.004701891565572357,0.0,0.0,1.4169579715977692,71.81190363939515,5.080828494221813,3.074511010176508,339.4748921980107,0.010404185591904789,0.7804191341344219,0.010534697866957973,0.06316449146208244,1.288328063013856,0.07758868510320244,0.015464842177887657,0.0,2.23502903466912,0.41393146668199854,0.2149013971137814,0.10462082446961422,19.454199965503364,0.026702121543149545,36.91976657275916,0.3577025240039096,61.24268383832576,1.0664899672281953,0.10932099120335767,0.510952107169551,0.4455683320876215,0.6009900534697866,0.031955959293968834,8.174916920600241,0.32629448628758695,2.1943804979014545,146.72180302420514,769.6344034956592,67.72766687747944,17.054681193583626,0.6777956649226701,19.719553268556318,3.829973552578623,67.72766687747944,31.3634002184787,0.15200655436094984,0.15150290346691198,0.0532587822687288,0.028676479043293276,0.12596159374460988,0.028676479043293276,1.257215982047811,1.235572192425524,0.07492579260760888,0.7550064889678447,0.012262869487516337,6.4977864658195825,0.3677337493236937,3.724807681251078,35.158904109589,13.458835614025542
Aaron Wan-Bissaka,46.982566740142055,74.92841048248836,1.019510164095028,0.9166191525838845,0.08032965956404603,15.204834680382072,5.334216017634092,1.4420127357335293,31.43653392113642,1.8786789125642909,0.305791329904482,0.37129610580455547,3.1646691158461913,1.7371672789615478,0.27290374724467303,8.542884153808474,0.81573891746265,1.1685265735978447,1.5371178055351458,0.022135684545677197,0.7321876071516042,0.5294308106784227,0.004605437178545187,0.0,0.0,0.1456595640460446,0.016888562331618905,0.009116825863335783,0.17604506490325741,0.027178055351457262,0.1075077149155033,0.08031447465099191,0.21685427381827088,0.0,1.9170173891746263,0.7134156257653685,44.82698114131766,1.0316140093068822,0.027178055351457262,0.00022091599314229672,0.04079500367376929,0.0,0.0,80.14838599069311,44.72334557923095,79.03216262552044,89.7339995101641,3.0160333088415383,15.775588048003918,30.768232182218956,1.2633130051432768,1.313757041391134,12.512455547391621,27.682982120989468,0.11706882194464854,36.7027592456527,2.7508023512123443,0.7287979426891991,0.021703159441587065,0.0,0.0,2.6099696301738917,97.30479059515062,3.988664217487142,4.017774185647808,215.03102228753366,0.004605437178545187,0.05729267695322068,0.035927994121969134,0.012586333578251285,1.451149155033064,0.04016017634092579,0.11061376438892973,0.0,1.707551800146951,0.49368601518491306,0.0,0.07085476365417585,24.03395542493265,0.0,60.18847416115601,0.07525887827577761,34.899995101640954,2.772729855498408,0.20261572373254957,1.5773548861131519,0.9920592701445016,1.7898995836394809,0.04898408033308842,8.262089150134704,0.8250506980161646,4.691795738427627,181.22567376928728,581.5948983590497,66.27336370315943,17.237448444771,1.1998530492285084,21.91588586823414,4.094385500857213,66.27336370315943,27.89225226549106,0.12662356110702916,0.08653392113641929,0.0813235366152339,0.025678667646338478,0.06198628459466079,0.025678667646338478,0.7520124091762593,1.5902003662106527,0.08057626431058126,0.8014194151653197,0.02802737991223481,6.5986338476610324,0.6025138196012728,0.2796140093068822,27.2109589041096,16.90655301132259
Abdoulaye Doucouré,48.89034153669421,34.887703795343086,1.2446114081208852,1.1777077718375821,0.08810763045111121,16.69140193522732,6.906969911191624,1.0769438430610172,31.009266999513983,1.38837273008439,0.3104793885035126,1.1501162020059206,1.097367560641541,0.6068143860734325,0.03603543498431493,0.7835828215437636,1.1103539080104272,0.6294640569080547,1.7784544691379842,0.032849379225025406,1.3591543321698405,0.4041072769849335,0.00405867538549905,0.008238412936862104,0.0,0.14400653912428754,0.029098661246851943,0.01294834975478284,0.19476163124641016,0.1309198957274776,0.2165594485927628,0.1016210842575001,0.307024256616445,0.0,0.909155657668007,1.0154968408960368,44.103077364909645,1.5594251756285071,0.1309198957274776,-0.012546723810365397,0.2748667874342774,0.0,0.008241947598639155,80.14686519683647,64.39358017054744,85.59551539787037,84.9391596341625,3.0971846418945788,15.792009013387533,22.317749304113462,0.9805516281535809,2.0469513542172932,13.603422878098353,19.003426854592853,0.1451986038085981,35.277686563866915,2.7589148588344456,0.7232010780718421,0.020598683338488046,0.0,0.0,1.6455065612159236,75.5136495382848,4.28314496531613,2.915625856050899,133.1937290681748,0.004063977378164626,0.02102416824990059,0.06491317987010117,0.0162572350108249,1.9492714178412054,0.13669464940573497,0.11503821853046436,0.0,2.297814253523616,0.22326646931471747,0.0,0.39769319135775194,30.988357707771836,0.0,60.06174612291786,0.17014492113285906,38.74773560729907,1.9419661556134848,0.2726143242168515,0.8096323951751868,0.8550510316794061,1.1263504617151945,0.05938894534529228,0.019944329077011443,0.5923721998851235,2.851203994167808,149.948775681527,550.7832695621438,54.85698449167146,14.995122608580392,2.1595135421729337,11.14229443732603,1.8646697300402069,54.85698449167146,29.530725931162458,0.22258030309724738,0.232225953254098,0.11548932973976052,0.14203949984535855,0.08826801572924492,0.14203949984535855,-2.6196571378076263,1.300937789952724,0.10041857957888228,0.8014269695567084,0.05124244115755512,5.928651526532056,0.5998574946192778,0.4193332744223037,32.1123287671233,15.89495209964411
Issahaku Fatawu,57.04621753857734,57.09582235604065,1.3236206247647722,1.7148212269476857,0.3909785472337222,22.707866014301846,5.051253293187806,1.3219345126082047,34.7397177267595,2.119235980429055,2.3544410989838163,0.8143357169740311,1.339649981181784,4.619917199849454,0.6939555890101619,1.9633609333835151,1.2708091832894242,1.0831087692886714,1.8949190816710577,0.0,1.4923184042152802,1.8291719984945425,0.0,0.0,0.03356417011667294,0.5428340233345879,0.03486639066616485,0.06460293564170116,0.6811629657508469,0.16879939781708694,0.5597779450508091,0.07014301844185171,0.338088069251035,0.43747835905156196,0.6608957470831766,1.778889725254046,33.95560030109146,2.5221979676326685,0.16879939781708694,0.020733910425291685,0.3539104252916824,0.015886337975159957,0.0,70.73981934512608,51.03692133985698,76.52081294693262,82.19969890854347,5.9963229205871285,13.58063605570192,14.480530673692135,1.265481746330448,3.068663906661649,10.396883703424917,11.956345502446368,0.03356417011667294,35.587613850207006,1.3207978923598043,2.219461799021453,0.0,0.0,0.03356417011667294,4.8137372977041775,134.62614979299966,3.489458035378247,11.891656003010914,101.80799021452766,0.015886337975159957,0.152913059841927,0.03356417011667294,0.2880203236733158,2.7614188934888975,0.15242378622506586,0.5767218667670304,0.0,3.9597666541211893,0.14933007150922095,0.0,0.5605269100489274,24.309220925856227,0.0,48.24934136243884,0.5746066992849078,42.56578848325179,2.3011290929619874,0.5225818592397441,1.3070794128716596,0.4739932254422281,1.5380579601053819,0.2716296575084682,0.8954723372224314,2.8592322167858484,2.9642039894617986,251.72788483251787,464.85435453519005,51.80949190816711,29.010071509220925,5.0635528791870525,7.82703424915318,1.8765863756115921,51.80949190816711,16.36080541964622,0.1182913059841927,0.4843394806172374,0.05851336093338352,0.14554008280015054,0.33879939781708696,0.14554008280015054,3.879055325555137,1.239621904805991,0.06866185879696253,0.7078161591458257,0.07331772288985411,8.303195333082424,0.48289177088276236,1.0700677455777192,20.9315068493151,16.38045991542581
Adam Wharton,36.22223557090654,27.570075586924958,0.8755118386144066,0.4634339490413976,0.16263402913350353,17.21140811933724,2.588938279020874,0.7038459228112329,21.511588326575563,1.5198127847024077,1.1004159783751313,0.4634119237122691,0.3930159683636182,1.7023186664664365,0.2046103018471242,1.7256179606547528,1.2244631326024928,0.17895830204735447,0.6423702257596235,0.005194473644691395,0.919909395805176,0.6649181558792612,0.0,0.00467787956149572,0.013740801922210543,0.22197577213795863,0.08642338689492918,0.021903689242629025,0.34701857135706066,0.3818851679431346,0.5449672122941381,0.10273764829553987,0.2605396205636482,0.018065775641988285,0.27147970165690544,1.0775817189768235,22.86373329328728,2.0739200080092104,0.3244651349051409,-0.022464333984081698,0.6312544426090003,0.012971917705361165,0.0,74.8385042799219,49.5955699053912,77.39468388646945,84.84176803323822,2.1837277869549983,8.637089152525405,11.92822796215648,0.7612544426090004,1.0415893277268857,6.677433548580868,10.203634179306203,0.11299694648846174,26.190937077639283,0.9917354958201932,1.0001992291134805,0.0,0.05929468889222606,0.00852830755368674,2.559652600490564,62.847198278019725,2.215954848075287,7.812908344596286,52.705700555638984,0.0,0.04493167142213546,0.028774090203734295,0.1338193923011463,1.6933348350603195,0.29319267157230816,0.32031986784802524,0.0,2.5133543575111377,0.06212143965560395,0.057397006557541166,1.2126270210742354,39.09107473594634,0.0,38.21058717525154,0.2121414626820844,56.91776543024478,0.6578570355909295,0.20842669069429842,0.19455423737297894,0.25774090203734296,0.3161215397707363,0.10710817440056064,0.40041497722380737,1.323102567953146,0.9271892676578066,139.9123306802823,283.82734995244533,35.09471992791711,20.13245382189518,5.086775792160985,2.9152104920658757,0.4467272363217701,35.01250688291535,12.474269910396957,0.08982930369925413,0.47468989337738404,0.11065825699554489,0.34577414026130054,0.13101216398858687,0.41055163437953646,-10.36169127584958,1.6133497111421726,0.11722453822988739,0.7484228342405421,0.09492303984190135,4.77560744856585,0.38217311591045794,0.2819111978775592,28.0027397260274,17.281246460764002
Adam Lallana,44.93976716720095,18.992896912434624,0.9576210561835666,0.6973915977729037,0.0931432427872448,17.68277374725831,5.147879196895562,0.8664079635566053,35.70003880546651,1.1242702885102074,0.45591024126877,1.305805635228615,0.5616551375063269,0.6373899105787075,0.13616669478656993,1.274997469208706,1.2608672178167706,0.40949384174118436,1.7140678252066814,0.01580226084022271,0.8360232832799056,1.1991833980091107,0.0,0.0,0.015002530791294079,0.2295343344018897,0.0,0.0,0.2453264720769361,0.0466104268601316,0.13706090771047746,0.043917664923232666,0.10258140711995951,0.04616163320398178,0.714476126202126,1.2461380124852373,51.91661042686013,1.5920499409482032,0.0466104268601316,-0.03412181542095495,0.10668466340475788,0.0,0.0,85.23733760755864,62.83411506664416,86.19588324616163,89.94207862324953,2.293693268095158,13.48308081660199,32.23896912434621,0.8130318879703055,1.3645064956976547,11.722652269276194,29.03369326809516,0.183863674708959,47.40547663236038,3.187639615319723,1.4891243462122492,0.016156571621393622,0.0,0.0,1.5029559642314831,67.61733423317024,5.056514256790957,4.432675889994939,148.6877864012148,0.0,0.045797199257634556,0.0,0.12293909228952252,2.5045149316686346,0.04776109330183904,0.05962544288847646,0.0,2.777359541083179,0.19952589843090937,0.0,0.25661717563691583,23.47246499072043,0.0,53.116467015353464,0.09122996456892189,44.2396996794331,1.625480006748777,0.21452842922220344,0.7138231820482538,0.6983279905517125,0.8200101231651763,0.15188797030538215,0.136655981103425,0.6367909566391092,2.3358292559473592,147.18557448962375,582.8226303357516,62.473597098025984,20.195228614813566,3.3866509195208367,11.175307912940777,1.5205989539395985,62.473597098025984,31.41819132782183,0.18205668972498734,0.21119959507339295,0.0720938079973005,0.08073224228108655,0.1289843090939767,0.08073224228108655,-0.32102484996023045,0.6976106116480674,0.04348334848179736,0.8525139421051858,0.04631561076646113,6.559470221022439,0.5312091956323406,0.7595208368483213,36.758904109589,13.710150042306449
Adam Smith,45.68496111503888,49.50464094535906,1.1857903242096757,1.0226547823452177,0.06306231693768306,18.76310473689526,4.062984042015958,1.0821866478133522,27.53179981820018,1.5280608019391981,0.2003262296737703,0.9229027370972629,2.545236844763155,1.5055964044035957,0.30536561963438036,9.102731037268963,0.49884658115341884,0.9011948288051711,1.8215256034743967,0.03082567417432583,1.0855908494091506,1.3538324411675589,0.004173315826684174,0.0,0.013957176042823956,0.12756337743662255,0.0,0.004183415816584183,0.14987728512271487,0.008356731643268358,0.07246237753762247,0.022973437026562973,0.13884607615392386,0.014456115543884455,0.9583814766185235,0.6189526310473689,36.48183668316332,1.0230017169982832,0.008356731643268358,-0.01939198060801939,0.04067922432077568,0.0,0.0,78.0400313099687,42.797480052519944,80.48229471770529,88.91516513483487,5.025305524694476,16.665730229269773,21.743418846581157,0.9483529441470558,2.159325825674174,13.437720432279571,19.365891324108677,0.10513887486112514,29.76937582062418,2.641815978184021,0.626984143015857,0.04033380466619533,0.0,0.004320270679729321,2.0302812847187157,80.16738208261792,3.5880234319765685,2.8361958388041617,204.57506211493788,0.008493586506413494,0.10065851934148067,0.02332239167760832,0.07671346328653672,1.1536526613473388,0.02654984345015655,0.06818856681143319,0.0,1.4505721644278353,0.2725027774972225,0.0,0.05941975558024443,18.824447025552974,0.0,38.76952833047168,0.11294010705989292,51.239384910615094,1.7535385314614684,0.21176850823149174,1.0234435915564084,0.5177633572366428,1.1595556004443996,0.027551257448742553,8.249495000505,0.6493399656600343,2.7131532168467833,155.89309716190283,557.6347818402181,55.55422482577517,13.54380315119685,1.0271119078880921,17.98335572164428,2.850015654984345,55.55422482577517,24.60756236743763,0.2648717301282698,0.07988890011109989,0.14494091505908493,0.02774871225128775,0.05246136753863246,0.02774871225128775,0.41783658216341785,1.002531430206665,0.021381438142371378,0.780347591199058,0.02687861893256949,5.618304716695283,0.3871103565237814,0.8521927078072923,33.7890410958904,13.815510557964274
Adam Webster,68.04877330716388,49.856084396467125,1.8279146221786065,3.9922753399691575,0.005610542548717229,12.248668162063648,5.8245899341090706,1.4018575634375439,46.45893943642226,1.0420419178466285,0.06370531333239872,0.5093032384690873,3.639297630730408,0.1573117902705734,0.02007920930884621,2.4673019767278843,0.2411460815925978,0.49262862750595815,1.0053581943081453,0.0821540726202159,0.7255719893452965,0.5687081172017384,0.0,0.0,0.0,0.049460956119444836,0.006031122949670545,0.0,0.05549207906911538,0.05559512126734894,0.06120566381606618,0.09418056918547597,0.319242955278284,0.0,1.559386653581943,0.3657262021589794,67.0804577316697,0.5736218982195429,0.05559512126734894,-0.0022003364643207635,0.017660872003364643,0.0,0.018982896397027896,81.6931795878312,59.442177204542276,87.85661012196832,86.81689331277163,10.455236225991868,33.82012407121828,23.620386233001536,0.4974295527828404,6.042817888686387,29.883398990607038,20.69269802327212,0.12531823917005466,52.22736716669003,4.85842773026777,0.23196621337445675,0.018340109350904247,0.0,0.0,1.3953518856021307,181.3378501331838,5.411730688349923,0.30365344174961445,420.652076265246,0.0,0.03090775269872424,0.02943642226272256,0.02358755082013178,1.0152551521099116,0.049756063367447076,0.010859385952614608,0.0,1.1661152390298613,0.8651780457030703,0.0,0.16508061124351606,24.642107107808776,0.0,66.95189962147764,0.717016683022571,31.308825178746666,1.193496425066592,0.09627365764755363,0.7137740081312212,0.3849425206785364,0.6629314453946447,0.031124351605215195,0.9223230057479321,0.13782279545773168,2.7502586569465866,282.3898331697743,1094.011257535399,79.43786275059581,5.148647834010935,1.275145100238329,36.61426889106968,7.638976587691014,79.43786275059581,38.2437515771765,0.14412729566802185,0.08738889667741484,0.09132202439366326,0.06223818870040656,0.025103042198233564,0.06223818870040656,0.31654349669210174,0.18701808495724098,0.09328209378495324,0.8170072658886617,0.010477429445738944,6.807082573952053,0.6682178342360179,1.5263493621197253,30.1041095890411,16.300417207752275
Adam Wharton,37.2691094890511,43.78884671532846,1.0644890510948906,0.6287941605839416,0.13284087591240876,23.40632116788321,6.321781021897809,1.2211138686131386,31.51966277372263,1.380240875912409,0.11683211678832116,1.8158569343065691,1.39434598540146,2.102236496350365,0.1701021897810219,2.7064890510948905,0.9963620437956207,1.4073649635036498,3.2213284671532842,0.055407299270073,1.1440686131386864,1.486665693430657,0.014284671532846717,0.014284671532846717,0.0,0.24978540145985403,0.0,0.0,0.2754978102189781,0.05189489051094891,0.18473576642335768,0.05959562043795621,0.19128467153284673,0.592280291970803,1.4069649635036494,1.3936934306569344,47.23223649635037,1.2070379562043796,0.05189489051094891,0.012360583941605842,0.014284671532846717,0.4186759124087592,0.0,79.48985401459854,58.63521167883212,85.4799708029197,87.20032116788322,7.3311620437956195,20.509715328467152,20.0107299270073,0.8536109489051096,4.323880291970803,17.54245693430657,17.487509489051096,0.42031532846715325,39.77322189781022,4.611186861313868,1.3131094890510948,0.0,0.0,0.0,0.985505109489051,66.99515182481753,6.516935766423358,1.4034540145985401,231.51817518248174,0.0,0.4882948905109489,0.07814452554744525,0.08004087591240876,2.3925751824817523,0.05243211678832117,0.028145985401459857,0.0,3.1133985401459854,0.21134160583941608,0.014284671532846717,0.27514744525547447,29.118175182481753,0.025712408759124086,37.07515328467153,0.2360890510948905,42.88378102189781,2.9301649635036497,0.39580145985401466,1.3142715328467154,1.221985401459854,1.8538306569343068,0.3795985401459854,0.09189197080291972,0.46244233576642335,4.334328467153285,130.6356189781022,719.082289051095,60.81945985401459,15.34370218978102,0.6317678832116788,13.768506569343064,2.1283664233576642,60.81945985401459,32.3082,0.1312919708029197,0.1718802919708029,0.04296788321167884,0.039534306569343064,0.13080583941605842,0.039534306569343064,1.472638164754953,1.17911635895234,0.05946105350889625,0.7950203153091431,0.03587457294129456,7.5024408759124075,0.37015647741836555,2.4291883211678837,21.013698630137,17.281246460764002
Adama Traoré,51.54035329599311,46.92934941835414,1.900281775096941,1.961498492029298,0.17881085738905647,17.976992675570873,3.962845325290823,0.6217957776820336,30.314644549763035,3.4267841447651874,2.115613959500215,0.4037975010771219,0.4956742783283067,5.125718224903059,0.8218069797501076,0.9291719086600604,2.1187048685911245,0.34973804394657476,0.7501732012063768,0.037860404997845765,1.3578914261094355,2.3888634209392503,0.0,0.0,0.020937526928048258,0.21674536837570013,0.030781559672554932,0.03711848341232228,0.3110297285652736,0.12456613528651445,0.3022593709607928,0.08020508401551055,0.2453218440327445,0.0,0.2719276174062904,1.7374295562257647,30.004685911245154,3.2497750969409736,0.12456613528651445,-0.03458078414476519,0.2954157690650581,0.0,0.0,67.53421800947866,50.8562516156829,67.7082809133994,79.5417578629901,2.8085084015510557,9.521439896596295,15.044604049978458,0.9930000000000001,1.396409306333477,6.445160706591986,11.965109004739336,0.05330978026712624,34.17016544592848,1.4346428263679447,1.3497147781128824,0.0,0.0,0.014387763894872903,7.0887557087462305,171.34727014218012,2.7692856527358893,8.2364351572598,76.66855234812581,0.0,0.007539853511417493,0.06277294269711331,0.29555967255493315,2.6191727703576047,0.1460697975010771,0.7991503662214562,0.0,3.9310495476087897,0.05192503231365791,0.0,0.5335036622145627,31.903929340801376,0.0,67.03075398535114,0.08471865575183112,27.746781559672556,0.9992925463162431,0.21801120206807412,0.4350271434726411,0.3482912537699267,0.6213209823352004,0.185388194743645,0.828862559241706,1.986728134424817,1.2717587246876347,306.0051038345541,310.4116320551487,44.08929685480397,23.243700129254634,3.9229375269280484,4.662311072813442,0.6189418354157691,44.08929685480397,17.767551055579492,0.11654890133563121,0.36058767772511846,0.09359327875915555,0.15914691943127962,0.1998595433003016,0.15914691943127962,3.1780268333098007,0.8575486097917101,0.07993541450363363,0.675352092824453,0.12105476995490023,9.85804136148212,0.6704030579339528,0.030006031882809137,29.0465753424658,16.11809565095832
