Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
André Onana,Goalkeepers,180,2021-2022 Champions League,22.4,20.2,31.9,0.0,0.0,0.0,9.0,0.0,0.0,1.5,0.0,0.0,5.5,1.0,13.3,27.3,0.5,0.0,0.55,0.52,11.1,22.5,4.5,0.5,0.5,0.5,0.0,0.0,1.55,75.0,0.0,1.0,2.0,2.5,0.5,1.0,90.0,44.0,18.0,18.0,79.0,26.0,6.0,6.0,84.0,15.0,58.0,44.0,79.0,4.0,38.0,68.0,63.0,96.0,96.0,1.0,36.0,9.0,1.0,10.0,83.0,48.0,43.0,44.0,76.0,43.0,3.0,4.0,10.0,75.0
André Onana,Goalkeepers,540,2019-2020 Champions League,35.6,13.9,44.3,50.0,0.5,0.17,10.33,0.67,6.5,1.17,0.17,0.0,8.17,1.0,43.2,53.1,0.33,0.0,0.83,0.31,25.5,29.33,17.0,4.33,0.33,0.5,0.17,0.0,1.83,86.7,0.0,4.0,5.0,4.67,0.5,61.0,50.0,65.0,88.0,88.0,24.0,30.0,68.0,77.0,66.0,46.0,51.0,55.0,79.0,65.0,60.0,37.0,60.0,99.0,34.0,11.0,77.0,70.0,45.0,18.0,93.0,96.0,44.0,43.0,91.0,44.0,79.0,52.0,44.0,68.0
André Onana,Goalkeepers,540,2020-2021 Champions League,29.3,15.9,26.8,0.0,0.0,0.0,10.67,0.33,3.1,0.83,0.17,0.0,5.17,1.17,25.4,16.1,0.5,0.17,0.4,0.27,28.6,47.33,12.83,3.67,0.17,0.17,0.0,0.0,1.4,78.6,0.0,3.67,4.67,5.67,0.33,34.0,57.0,21.0,18.0,18.0,74.0,40.0,34.0,43.0,50.0,49.0,60.0,17.0,71.0,32.0,18.0,66.0,12.0,85.0,37.0,11.0,99.0,62.0,38.0,65.0,33.0,48.0,49.0,62.0,66.0,49.0,74.0,54.0,80.0,51.0
André Onana,Goalkeepers,540,2021-2022 Eredivisie,33.3,14.5,29.5,0.0,0.0,0.17,10.83,0.5,4.6,0.67,0.0,0.0,3.67,1.67,34.5,22.7,0.17,0.0,-0.25,0.48,46.0,28.0,10.5,4.83,0.0,0.0,0.0,0.0,1.42,44.4,,1.33,3.0,4.0,0.83,16.0,36.0,5.0,4.0,4.0,63.0,23.0,38.0,45.0,21.0,4.0,66.0,5.0,18.0,16.0,5.0,21.0,79.0,16.0,98.0,91.0,41.0,9.0,23.0,82.0,16.0,41.0,36.0,45.0,2.0,,2.0,13.0,20.0,98.0
André Onana,Goalkeepers,540,2023-2024 Champions League,34.6,9.0,48.2,16.7,0.17,0.17,12.83,0.33,2.6,0.33,0.17,0.33,3.17,2.5,38.6,68.4,0.67,0.0,-0.35,0.29,41.5,35.0,15.67,6.5,0.33,0.67,0.17,0.17,2.15,62.9,33.3,3.17,5.83,4.33,0.17,87.0,14.0,86.0,47.0,47.0,42.0,55.0,40.0,37.0,17.0,44.0,1.0,4.0,6.0,91.0,94.0,82.0,64.0,6.0,35.0,58.0,76.0,88.0,88.0,15.0,97.0,95.0,95.0,13.0,29.0,65.0,55.0,81.0,47.0,18.0
André Onana,Goalkeepers,540,2024-2025 Europa League,28.8,17.9,34.5,16.7,0.17,0.0,9.5,0.33,3.5,1.5,0.5,0.0,2.17,1.33,24.4,38.5,0.0,0.0,0.03,0.35,44.4,33.5,9.0,4.0,0.0,0.0,0.0,0.0,1.37,66.7,,2.67,4.0,3.33,0.5,15.0,87.0,27.0,39.0,39.0,74.0,20.0,13.0,13.0,75.0,85.0,54.0,1.0,56.0,15.0,32.0,10.0,57.0,37.0,82.0,92.0,68.0,20.0,39.0,68.0,21.0,48.0,39.0,49.0,23.0,,24.0,27.0,32.0,75.0
André Onana,Goalkeepers,1080,2018-2019 Champions League,35.0,12.6,47.8,33.3,0.33,0.17,11.83,0.5,4.2,0.58,0.33,0.0,7.08,1.08,41.9,58.8,0.17,0.0,0.43,0.33,22.6,25.25,14.75,3.33,0.08,0.08,0.0,0.0,1.51,77.4,0.0,3.33,4.42,4.08,0.5,42.0,45.0,55.0,64.0,64.0,41.0,42.0,55.0,60.0,42.0,68.0,63.0,40.0,68.0,50.0,37.0,18.0,56.0,88.0,68.0,1.0,47.0,55.0,10.0,55.0,45.0,47.0,42.0,42.0,81.0,42.0,56.0,53.0,45.0,69.0
André Onana,Goalkeepers,1170,2022-2023 Champions League,34.0,10.1,40.4,61.5,0.62,0.15,15.08,1.08,7.1,0.23,0.23,0.0,6.77,0.85,34.6,45.5,0.23,0.08,0.58,0.31,44.0,33.62,14.69,6.46,0.0,0.0,0.0,0.0,1.35,80.7,,3.62,4.38,4.85,0.54,78.0,14.0,66.0,85.0,87.0,55.0,85.0,87.0,70.0,6.0,50.0,53.0,62.0,80.0,71.0,62.0,29.0,15.0,94.0,58.0,71.0,80.0,78.0,87.0,74.0,21.0,47.0,38.0,57.0,78.0,,71.0,48.0,76.0,80.0
André Onana,Goalkeepers,1800,2020-2021 Eredivisie,29.9,18.6,33.2,45.0,0.45,0.1,7.55,0.45,6.0,1.85,0.1,0.0,4.95,0.75,28.2,34.3,0.1,0.0,0.21,0.26,48.2,33.35,11.1,5.35,0.0,0.0,0.0,0.0,0.96,80.0,,3.0,3.75,4.75,0.8,5.0,95.0,2.0,94.0,95.0,66.0,2.0,60.0,95.0,89.0,5.0,68.0,5.0,95.0,8.0,2.0,5.0,73.0,89.0,23.0,98.0,82.0,15.0,34.0,98.0,2.0,40.0,34.0,92.0,92.0,,50.0,21.0,47.0,95.0
André Onana,Goalkeepers,1890,2024-2025 Premier League,28.9,11.7,45.3,28.6,0.29,0.43,10.76,0.62,5.8,0.71,0.24,0.0,3.67,1.38,26.8,62.3,0.43,0.05,0.14,0.33,28.3,36.67,12.1,3.43,0.14,0.19,0.0,0.05,1.47,69.0,25.0,2.62,4.0,4.33,0.33,31.0,9.0,63.0,74.0,74.0,9.0,17.0,28.0,43.0,13.0,37.0,63.0,28.0,54.0,35.0,69.0,65.0,37.0,69.0,74.0,28.0,87.0,50.0,31.0,33.0,83.0,50.0,78.0,43.0,44.0,70.0,24.0,30.0,61.0,43.0
André Onana,Goalkeepers,2160,2019-2020 Eredivisie,28.8,17.3,33.8,33.3,0.33,0.04,7.71,0.71,9.2,1.71,0.08,0.0,6.33,0.88,27.5,31.6,0.17,0.0,0.23,0.34,45.4,25.5,9.0,4.08,0.08,0.08,0.0,0.0,1.1,73.6,0.0,2.13,3.0,5.25,0.75,2.0,98.0,6.0,85.0,85.0,90.0,2.0,60.0,94.0,94.0,10.0,73.0,2.0,94.0,6.0,2.0,8.0,73.0,85.0,92.0,98.0,40.0,2.0,10.0,77.0,10.0,42.0,29.0,85.0,60.0,29.0,2.0,6.0,44.0,90.0
André Onana,Goalkeepers,2160,2022-2023 Serie A,29.6,12.5,35.4,33.3,0.33,0.21,11.79,0.63,5.3,0.42,0.13,0.0,6.33,1.0,25.5,30.9,0.29,0.08,-0.11,0.21,38.9,36.46,11.25,4.38,0.08,0.08,0.0,0.0,0.8,73.5,0.0,2.54,3.46,4.79,0.58,12.0,18.0,35.0,72.0,72.0,32.0,28.0,55.0,58.0,5.0,8.0,70.0,38.0,73.0,18.0,8.0,32.0,8.0,42.0,7.0,62.0,92.0,42.0,42.0,65.0,32.0,42.0,28.0,85.0,60.0,28.0,38.0,35.0,42.0,85.0
André Onana,Goalkeepers,2920,2018-2019 Eredivisie,28.0,15.6,40.0,46.9,0.46,0.06,9.43,0.59,6.2,1.14,0.03,0.03,5.83,0.83,24.4,41.3,0.12,0.03,0.02,0.24,33.2,22.07,7.8,2.59,0.03,0.06,0.0,0.03,0.83,74.3,50.0,2.37,3.21,3.91,0.86,2.0,81.0,2.0,94.0,94.0,94.0,2.0,35.0,90.0,73.0,2.0,65.0,2.0,94.0,2.0,2.0,6.0,73.0,77.0,6.0,10.0,10.0,2.0,2.0,90.0,19.0,44.0,75.0,94.0,98.0,90.0,10.0,6.0,23.0,98.0
