"","Player","age"
"162","Stefan Ortega",32.2657534246575
"163","Scott Carson",39.441095890411
"164","Rúben Dias",27.7479452054795
"165","Josko Gvardiol",23.0520547945205
"166","Manuel Akanji",29.5671232876712
"167","Nathan Aké",29.9808743169399
"168","John Stones",30.7095890410959
"169","Jahmai Simpson-Pusey",19.2712328767123
"170","Josh Wilson-Esbrand",22.1287671232877
"171","Rico Lewis",20.2246575342466
"172","Kyle Walker",34.7095890410959
"173","Rodri",28.641095890411
"174","Matheus Nunes",26.4602739726027
"175","Mateo Kovacic",30.7698630136986
"176","İlkay Gündoğan",34.3013698630137
"177","Bernardo Silva",30.5068493150685
"178","Kevin De Bruyne",33.6246575342466
"179","Claudio Echeverri",19.1095890410959
"180","James McAtee",22.3178082191781
"181","Jérémy Doku",22.7123287671233
"182","Jack Grealish",29.4219178082192
"183","Phil Foden",24.7095890410959
"184","Savinho",20.841095890411
"185","Oscar Bobb",21.586301369863
"186","Erling Haaland",24.5616438356164
"187","Robert Sánchez",27.2328767123288
"188","Filip Jørgensen",22.8246575342466
"189","Marcus Bettinelli",32.7205479452055
"190","Lucas Bergström",22.4356164383562
"191","Levi Colwill",21.9590163934426
"192","Axel Disasi",26.9232876712329
"193","Wesley Fofana",24.1534246575342
"194","Benoît Badiashile",23.8821917808219
"195","Tosin Adarabioyo",27.3835616438356
"196","Trevoh Chalobah",25.6054794520548
"197","Aarón Anselmino",19.7890410958904
"198","Marc Cucurella",26.558904109589
"199","Ben Chilwell",28.1424657534247
"200","Renato Veiga",21.5397260273973
"201","Malo Gusto",21.7342465753425
"202","Reece James",25.1780821917808
"203","Josh Acheampong",18.772602739726
"204","Moisés Caicedo",23.2767123287671
"205","Roméo Lavia",21.0986301369863
"206","Enzo Fernández",24.0684931506849
"207","Kiernan Dewsbury-Hall",26.4328767123288
"208","Carney Chukwuemeka",21.3123287671233
"209","Cesare Casadei",22.0876712328767
"210","Cole Palmer",22.7698630136986
"211","Mykhaylo Mudryk",24.1013698630137
"212","Jadon Sancho",24.8849315068493
"213","Tyrique George",19.0191780821918
"214","Pedro Neto",24.9287671232877
"215","Noni Madueke",22.9260273972603
"216","João Félix",25.2547945205479
"217","Nicolas Jackson",23.6465753424658
"218","Christopher Nkunku",27.2438356164384
"219","Marc Guiu",19.1041095890411
"220","Jordan Pickford",30.9342465753425
"221","João Virgínia",25.3397260273973
"222","Asmir Begovic",37.6465753424658
"223","Jarrad Branthwaite",22.627397260274
"224","Jake O'Brien",23.7452054794521
"225","James Tarkowski",32.2301369863014
"226","Michael Keane",32.0849315068493
"227","Vitaliy Mykolenko",25.7068493150685
"228","Ashley Young",39.5945205479452
"229","Nathan Patterson",23.3232876712329
"230","Séamus Coleman",36.3369863013699
"231","Orel Mangala",26.9041095890411
"232","James Garner",23.9178082191781
"233","Tim Iroegbunam",21.6191780821918
"234","Abdoulaye Doucouré",32.1123287671233
"235","Idrissa Gueye",35.3780821917808
"236","Harrison Armstrong",18.0630136986301
"237","Dwight McNeil",25.2219178082192
"238","Iliman Ndiaye",24.9369863013699
"239","Jesper Lindstrøm",24.9534246575342
"240","Jack Harrison",28.227397260274
"241","Dominic Calvert-Lewin",27.9095890410959
