Player,age,player_market_value_euro,season_start_year
Faouzi Ghoulam,29,9500000.0,2019
Giacomo Bonaventura,30,9500000.0,2019
Grégoire Defrel,29,9500000.0,2019
Jakub Jankto,24,9500000.0,2019
José Callejón,33,9500000.0,2019
Manolo Gabbiadini,28,9500000.0,2019
Mattia De Sciglio,27,9500000.0,2019
Pol Lirola,22,9500000.0,2019
Seko Fofana,25,9500000.0,2019
Carles Pérez,22,9000000.0,2019
Mateo Musacchio,29,9000000.0,2019
Sebastiano Esposito,17,9000000.0,2019
Yann Karamoh,21,9000000.0,2019
Adama Soumaoro,28,8000000.0,2019
Andreas Cornelius,27,8000000.0,2019
Antonín Barák,25,8000000.0,2019
Diego Godín,34,8000000.0,2019
Eddie Salcedo,18,8000000.0,2019
Gastón Pereiro,25,8000000.0,2019
Gian Marco Ferrari,28,8000000.0,2019
Javier Pastore,31,8000000.0,2019
José Luis Palomino,30,8000000.0,2019
Mattia Perin,27,8000000.0,2019
Ola Aina,23,8000000.0,2019
Stefano Sturaro,27,8000000.0,2019
Daniele Baselli,28,7500000.0,2019
Simone Zaza,29,7000000.0,2019
Soualiho Meïté,26,7000000.0,2019
Jony,28,6800000.0,2019
Nikola Kalinić,32,6800000.0,2019
Victor Moses,29,6800000.0,2019
Andreas Skov Olsen,20,6700000.0,2019
Aleksandar Kolarov,34,6500000.0,2019
Andrea Cistana,23,6500000.0,2019
Antonio Sanabria,24,6500000.0,2019
Bartosz Bereszyński,27,6500000.0,2019
Denis Vavro,24,6500000.0,2019
Diego Perotti,31,6500000.0,2019
Gastón Ramírez,29,6500000.0,2019
Gianluca Caprari,26,6500000.0,2019
Iago Falque,30,6500000.0,2019
Ignacio Pussetto,24,6500000.0,2019
Jeison Murillo,28,6500000.0,2019
Kwadwo Asamoah,31,6500000.0,2019
Lyanco,23,6500000.0,2019
Marlon,24,6500000.0,2019
Matteo Darmian,30,6500000.0,2019
Matteo Pessina,23,6500000.0,2019
Patric,27,6500000.0,2019
Rade Krunic,26,6500000.0,2019
Roberto Soriano,29,6500000.0,2019
Robin Olsen,30,6500000.0,2019
Salvatore Sirigu,33,6500000.0,2019
Alexis Saelemaekers,21,6300000.0,2019
Rogério,22,6300000.0,2019
Ronaldo Vieira,21,6300000.0,2019
Amin Younes,26,6000000.0,2019
Emiliano Rigoni,27,6000000.0,2019
Léo Duarte,23,6000000.0,2019
Lucas Leiva,33,6000000.0,2019
Marko Pjaca,25,6000000.0,2019
Nicola Sansone,28,6000000.0,2019
Adam Marusic,27,5500000.0,2019
Alberto Grassi,25,5500000.0,2019
Antonio Candreva,33,5500000.0,2019
Diego Laxalt,27,5500000.0,2019
Francesco Caputo,32,5500000.0,2019
Gervinho,33,5500000.0,2019
Kevin Lasagna,27,5500000.0,2019
Lukasz Skorupski,29,5500000.0,2019
Mario Balotelli,29,5500000.0,2019
Mattia Zaccagni,25,5500000.0,2019
Omar Colley,27,5500000.0,2019
Pedro Obiang,28,5500000.0,2019
Rachid Ghezzal,28,5500000.0,2019
Ricardo Rodríguez,27,5500000.0,2019
Sami Khedira,33,5500000.0,2019
Tomás Rincón,32,5500000.0,2019
Khouma Babacar,27,5200000.0,2019
Nicola Murru,25,5200000.0,2019
Simon Kjaer,31,5200000.0,2019
Mattias Svanberg,21,5000000.0,2019
Adrien Tamèze,26,4800000.0,2019
Álex Berenguer,24,4800000.0,2019
Alfredo Donnarumma,29,4800000.0,2019
Felipe Caicedo,31,4800000.0,2019
Filippo Romagna,23,4800000.0,2019
Gianluca Lapadula,30,4800000.0,2019
Leonardo Pavoletti,31,4800000.0,2019
Marco Silvestri,29,4800000.0,2019
Mohamed Salim Fares,24,4800000.0,2019
Rodrigo Becão,24,4800000.0,2019
Samir Handanovič,35,4800000.0,2019
Stefano Denswil,27,4800000.0,2019
Vlad Chiricheș,30,4800000.0,2019
Walace,25,4800000.0,2019
Andrea Favilli,23,4500000.0,2019
Gonzalo Maroni,21,4500000.0,2019
Igor,22,4500000.0,2019
Mert Müldür,21,4500000.0,2019
Andreaw Gravillon,22,4000000.0,2019
Christian Oliva,24,4000000.0,2019
Cristian Ansaldi,33,4000000.0,2019
Darko Lazović,29,4000000.0,2019
Davide Santon,29,4000000.0,2019
Fabio Borini,29,4000000.0,2019
Fabio Depaoli,23,4000000.0,2019
Federico Di Francesco,26,4000000.0,2019
Federico Dimarco,22,4000000.0,2019
Federico Santander,29,4000000.0,2019
Fernando Llorente,35,4000000.0,2019
Francesco Vicari,25,4000000.0,2019
Giorgio Chiellini,35,4000000.0,2019
Jesse Joronen,27,4000000.0,2019
Jordan Lukaku,25,4000000.0,2019
Juan Jesus,29,4000000.0,2019
Juraj Kucka,33,4000000.0,2019
Ken Sema,26,4000000.0,2019
Kevin Bonifazi,24,4000000.0,2019
Luigi Sepe,29,4000000.0,2019
Lukas Lerager,26,4000000.0,2019
Mario Mandžukić,34,4000000.0,2019
Maya Yoshida,31,4000000.0,2019
Mitchell Dijks,27,4000000.0,2019
Paolo Faragò,27,4000000.0,2019
Samir Caetano,25,4000000.0,2019
Sebastiano Luperto,23,4000000.0,2019
Ștefan Radu,33,4000000.0,2019
Valon Berisha,27,4000000.0,2019
Antonino La Gumina,24,3800000.0,2019
Riccardo Sottil,21,3600000.0,2019
Sebastian Walukiewicz,20,3600000.0,2019
Alberto Cerri,24,3500000.0,2019
Artur Ioniță,29,3500000.0,2019
Bremer,23,3500000.0,2019
Diego Farias,30,3500000.0,2019
Jasmin Kurtic,31,3500000.0,2019
Jeremy Toljan,25,3500000.0,2019
Albin Ekdal,30,3200000.0,2019
Antonio Barreca,25,3200000.0,2019
Ashley Young,34,3200000.0,2019
Bastos,29,3200000.0,2019
Bosko Sutalo,20,3200000.0,2019
Danilo Cataldi,25,3200000.0,2019
Davide Biraschi,25,3200000.0,2019
Davide Faraoni,28,3200000.0,2019
Federico Fazio,33,3200000.0,2019
Filippo Falco,28,3200000.0,2019
Franck Ribéry,37,3200000.0,2019
Giangiacomo Magnani,24,3200000.0,2019
Hernani,26,3200000.0,2019
Jeff Chabot,22,3200000.0,2019
Jerdy Schouten,23,3200000.0,2019
Kevin-Prince Boateng,33,3200000.0,2019
Koffi Djidji,27,3200000.0,2019
Lennart Czyborra,21,3200000.0,2019
Lucas Castro,31,3200000.0,2019
Lucien Agoumé,18,3200000.0,2019
Paolo Ghiglione,23,3200000.0,2019
Saša Lukić,23,3200000.0,2019
Stefano Okaka,30,3200000.0,2019
Valerio Verre,26,3200000.0,2019
William Troost-Ekong,26,3200000.0,2019
Mariusz Stepinski,25,3000000.0,2019
Szymon Żurkowski,22,3000000.0,2019
Alessandro Murgia,23,2800000.0,2019
Andrea Consigli,33,2800000.0,2019
Bram Nuytinck,30,2800000.0,2019
David Ospina,31,2800000.0,2019
Dimitri Bisoli,26,2800000.0,2019
Federico Ceccherini,28,2800000.0,2019
Ilija Nestorovski,30,2800000.0,2019
Jacob Rasmussen,23,2800000.0,2019
Jens Stryger Larsen,29,2800000.0,2019
Lorenzo De Silvestri,32,2800000.0,2019
Lorenzo Tonelli,30,2800000.0,2019
Luca Ceppitelli,30,2800000.0,2019
Lucas Biglia,34,2800000.0,2019
Mehdi Bourabia,28,2800000.0,2019
Senad Lulic,34,2800000.0,2019
Zlatan Ibrahimović,38,2800000.0,2019
Claud Adjapong,22,2700000.0,2019
Gonzalo Villar,22,2700000.0,2019
Kevin Agudelo,21,2700000.0,2019
Kwang-song Han,21,2700000.0,2019
Matteo Gabbia,20,2700000.0,2019
Enrico Brignola,20,2500000.0,2019
Riccardo Calafiori,18,2500000.0,2019
Andrea Bertolacci,29,2400000.0,2019
Andrea Poli,30,2400000.0,2019
Andrea Ranocchia,32,2400000.0,2019
Arkadiusz Reca,25,2400000.0,2019
Asmir Begovic,33,2400000.0,2019
Domenico Criscito,33,2400000.0,2019
Emanuele Ndoj,23,2400000.0,2019
Ernesto Torregrossa,28,2400000.0,2019
Etrit Berisha,31,2400000.0,2019
Francesco Cassata,22,2400000.0,2019
Gary Medel,32,2400000.0,2019
Georgios Kyriakopoulos,24,2400000.0,2019
