"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/matthias-ginter/profil/spieler/124502","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","28","Matthias Ginter","Centre-Back",1994-01-19,26,"Germany","SC Freiburg","1.89","right","2017-07-04","Borussia Dortmund",NA,2.8e+07
"2019","https://www.transfermarkt.com/milot-rashica/profil/spieler/291739","Bundesliga","Europe","Germany",2019,"SV Werder Bremen","7","Milot Rashica","Right Winger",1996-06-28,24,"Kosovo","Besiktas JK","1.78","right","2018-01-31","Vitesse Arnhem",NA,2.8e+07
"2019","https://www.transfermarkt.com/nico-elvedi/profil/spieler/192635","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","30","Nico Elvedi","Centre-Back",1996-09-30,23,"Switzerland","Borussia Mönchengladbach","1.89","right","2015-07-01","FC Zürich",NA,2.8e+07
"2019","https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","9","Paco Alcácer","Centre-Forward",1993-08-30,26,"Spain","Sharjah FC","1.75","right","2019-07-01","FC Barcelona",NA,2.8e+07
"2019","https://www.transfermarkt.com/raphael-guerreiro/profil/spieler/170986","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","13","Raphaël Guerreiro","Left-Back",1993-12-22,26,"Portugal","Bayern Munich","1.7","left","2016-07-01","FC Lorient",NA,2.8e+07
"2019","https://www.transfermarkt.com/moussa-diaby/profil/spieler/395516","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","19","Moussa Diaby","Right Winger",1999-07-07,20,"France","Al-Ittihad Club","1.7","left","2019-07-01","Paris Saint-Germain",NA,2.7e+07
"2019","https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393","Bundesliga","Europe","Germany",2019,"Bayern Munich","24","Corentin Tolisso","Central Midfield",1994-08-03,25,"France","Olympique Lyon","1.81","right","2017-07-01","Olympique Lyon",NA,25500000
"2019","https://www.transfermarkt.com/thomas-muller/profil/spieler/58358","Bundesliga","Europe","Germany",2019,"Bayern Munich","25","Thomas Müller","Second Striker",1989-09-13,30,"Germany","Bayern Munich","1.85","right","2009-07-01","FC Bayern Munich II",NA,25500000
"2019","https://www.transfermarkt.com/alassane-plea/profil/spieler/167329","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","14","Alassane Pléa","Centre-Forward",1993-03-10,27,"France","Borussia Mönchengladbach","1.81","right","2018-07-13","OGC Nice",NA,2.4e+07
"2019","https://www.transfermarkt.com/amine-harit/profil/spieler/372711","Bundesliga","Europe","Germany",2019,"FC Schalke 04","25","Amine Harit","Attacking Midfield",1997-06-18,23,"Morocco","Olympique Marseille","1.8","right","2017-07-10","FC Nantes",NA,2.4e+07
